iter	Passed	Remaining
0	2	2048
1	3	1660
2	4	1559
3	6	1629
4	7	1564
5	9	1580
6	10	1544
7	12	1512
8	13	1477
9	15	1519
10	16	1494
11	17	1472
12	19	1497
13	20	1478
14	22	1463
15	34	2129
16	36	2112
17	38	2089
18	40	2067
19	41	2051
20	43	2036
21	44	1997
22	46	1989
23	48	1983
24	49	1924
25	51	1913
26	52	1899
27	53	1873
28	55	1850
29	56	1835
30	59	1846
31	60	1830
32	61	1814
33	63	1817
34	65	1801
35	66	1784
36	67	1768
37	69	1754
38	70	1744
39	72	1731
40	73	1718
41	74	1706
42	76	1698
43	77	1686
44	78	1674
45	80	1662
46	81	1644
47	82	1633
48	83	1623
49	85	1615
50	86	1607
51	87	1598
52	88	1589
53	90	1580
54	90	1556
55	91	1539
56	92	1532
57	94	1528
58	95	1525
59	97	1520
60	98	1513
61	99	1507
62	100	1490
63	101	1484
64	102	1478
65	104	1472
66	105	1468
67	106	1453
68	107	1448
69	108	1443
70	109	1437
71	111	1433
72	112	1428
73	113	1423
74	115	1419
75	115	1406
76	116	1401
77	118	1402
78	120	1407
79	121	1401
80	123	1401
81	124	1398
82	126	1393
83	127	1390
84	128	1386
85	130	1382
86	131	1378
87	132	1377
88	134	1380
89	137	1385
90	140	1402
91	143	1414
92	145	1423
93	147	1426
94	149	1427
95	151	1430
96	153	1433
97	156	1436
98	158	1440
99	160	1443
100	163	1453
101	165	1455
102	167	1457
103	169	1463
104	171	1460
105	172	1456
106	173	1451
107	175	1446
108	177	1448
109	179	1455
110	181	1455
111	183	1454
112	184	1449
113	185	1445
114	187	1441
115	188	1437
116	189	1433
117	191	1434
118	194	1438
119	195	1436
120	197	1431
121	198	1428
122	199	1424
123	201	1420
124	202	1418
125	203	1413
126	205	1413
127	208	1420
128	210	1422
129	212	1422
130	214	1421
131	216	1421
132	217	1419
133	219	1418
134	221	1419
135	223	1421
136	225	1422
137	227	1422
138	229	1422
139	231	1422
140	233	1424
141	236	1427
142	239	1432
143	241	1433
144	243	1436
145	245	1436
146	247	1438
147	250	1439
148	252	1440
149	254	1440
150	255	1434
151	257	1434
152	259	1434
153	261	1434
154	263	1434
155	264	1430
156	266	1429
157	267	1426
158	269	1425
159	270	1421
160	271	1417
161	273	1416
162	275	1416
163	277	1415
164	279	1414
165	281	1415
166	284	1417
167	286	1416
168	288	1416
169	290	1415
170	291	1415
171	294	1416
172	296	1416
173	298	1418
174	300	1417
175	302	1417
176	304	1417
177	306	1413
178	308	1412
179	309	1411
180	311	1410
181	313	1408
182	315	1406
183	316	1402
184	318	1402
185	320	1402
186	322	1401
187	324	1401
188	326	1401
189	327	1397
190	329	1396
191	331	1395
192	333	1394
193	335	1393
194	337	1394
195	339	1394
196	341	1393
197	343	1391
198	345	1390
199	347	1390
200	349	1390
201	351	1389
202	354	1390
203	356	1390
204	358	1389
205	360	1388
206	362	1387
207	364	1386
208	366	1385
209	367	1384
210	369	1381
211	370	1377
212	372	1376
213	374	1375
214	376	1375
215	378	1374
216	380	1373
217	381	1370
218	383	1368
219	385	1367
220	387	1367
221	390	1367
222	392	1366
223	394	1365
224	395	1362
225	397	1362
226	399	1360
227	401	1359
228	403	1358
229	405	1357
230	406	1353
231	408	1352
232	410	1351
233	411	1346
234	412	1342
235	414	1341
236	416	1339
237	417	1337
238	419	1336
239	421	1335
240	423	1334
241	425	1332
242	427	1330
243	428	1328
244	429	1324
245	431	1323
246	433	1323
247	436	1322
248	438	1321
249	440	1320
250	442	1319
251	444	1318
252	446	1317
253	448	1316
254	450	1315
255	452	1314
256	454	1315
257	457	1315
258	460	1317
259	462	1317
260	464	1315
261	466	1314
262	468	1313
263	470	1311
264	472	1309
265	473	1306
266	475	1305
267	477	1304
268	479	1302
269	481	1301
270	483	1299
271	484	1296
272	486	1295
273	487	1292
274	489	1291
275	492	1292
276	494	1291
277	495	1286
278	497	1284
279	498	1283
