Plot_ID,GrainYield,Block,iBlock,Entry,Name,Blue,Green,Red,RedEdge,NIR,NDVI,MTCI,DVI,GDVI,MTCI_CI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR,Pedigree,MEAN Average temperature at 2m altitude (TM),MEAN Maximum air temperature at 2m altitude (TX),MEAN Minimum air temperature at 2m altitude (TN),MEAN Precipitation (RR),MEAN Relative humidity in 2m,MEAN Relative humidity in 2m.1,MEAN Wind gust (FG2),MEAN Wind speed in 2m,MEDIAN Average temperature at 2m altitude (TM),MEDIAN Maximum air temperature at 2m altitude (TX),MEDIAN Minimum air temperature at 2m altitude (TN),MEDIAN Precipitation (RR),MEDIAN Relative humidity in 2m,MEDIAN Relative humidity in 2m.1,MEDIAN Wind gust (FG2),MEDIAN Wind speed in 2m,MODE Average temperature at 2m altitude (TM),MODE Maximum air temperature at 2m altitude (TX),MODE Minimum air temperature at 2m altitude (TN),MODE Precipitation (RR),MODE Relative humidity in 2m,MODE Relative humidity in 2m.1,MODE Wind gust (FG2),MODE Wind speed in 2m,SUM Average temperature at 2m altitude (TM),SUM Maximum air temperature at 2m altitude (TX),SUM Minimum air temperature at 2m altitude (TN),SUM Precipitation (RR),SUM Relative humidity in 2m,SUM Relative humidity in 2m.1,SUM Wind gust (FG2),SUM Wind speed in 2m,MIN Average temperature at 2m altitude (TM),MIN Maximum air temperature at 2m altitude (TX),MIN Minimum air temperature at 2m altitude (TN),MIN Precipitation (RR),MIN Relative humidity in 2m,MIN Relative humidity in 2m.1,MIN Wind gust (FG2),MIN Wind speed in 2m,MAX Average temperature at 2m altitude (TM),MAX Maximum air temperature at 2m altitude (TX),MAX Minimum air temperature at 2m altitude (TN),MAX Precipitation (RR),MAX Relative humidity in 2m,MAX Relative humidity in 2m.1,MAX Wind gust (FG2),MAX Wind speed in 2m,STD_DEV Average temperature at 2m altitude (TM),STD_DEV Maximum air temperature at 2m altitude (TX),STD_DEV Minimum air temperature at 2m altitude (TN),STD_DEV Precipitation (RR),STD_DEV Relative humidity in 2m,STD_DEV Relative humidity in 2m.1,STD_DEV Wind gust (FG2),STD_DEV Wind speed in 2m,QUANTILE_25 Average temperature at 2m altitude (TM),QUANTILE_25 Maximum air temperature at 2m altitude (TX),QUANTILE_25 Minimum air temperature at 2m altitude (TN),QUANTILE_25 Precipitation (RR),QUANTILE_25 Relative humidity in 2m,QUANTILE_25 Relative humidity in 2m.1,QUANTILE_25 Wind gust (FG2),QUANTILE_25 Wind speed in 2m,QUANTILE_50 Average temperature at 2m altitude (TM),QUANTILE_50 Maximum air temperature at 2m altitude (TX),QUANTILE_50 Minimum air temperature at 2m altitude (TN),QUANTILE_50 Precipitation (RR),QUANTILE_50 Relative humidity in 2m,QUANTILE_50 Relative humidity in 2m.1,QUANTILE_50 Wind gust (FG2),QUANTILE_50 Wind speed in 2m,QUANTILE_75 Average temperature at 2m altitude (TM),QUANTILE_75 Maximum air temperature at 2m altitude (TX),QUANTILE_75 Minimum air temperature at 2m altitude (TN),QUANTILE_75 Precipitation (RR),QUANTILE_75 Relative humidity in 2m,QUANTILE_75 Relative humidity in 2m.1,QUANTILE_75 Wind gust (FG2),QUANTILE_75 Wind speed in 2m,Staur_Env,Vollebekk_Env
101,654.7081593927895,1,1,1,Zebra,0.7218805151060275,1.8888707552105255,1.4328548759222075,4.2238406054675535,10.71213947236538,23.284267837399724,70.58869873650991,9.279284596443173,8.823268717154853,70.58869873650991,1.6230061193928156,1.5058800483122508,14.654757372977103,16.884211296212456,21.353221722061466,13.084043562344903,17.210430222303714,-22.60678992759623,574.997710958123,6.37756724041337,13.276376127960592,151.85913606061075,-1.1635325416694258,12.533213222963395,5.204871104524425,15.399051553169517,14.396864065194235,16.53195447870801,15.309744446439332,41.85584486827554,263.8488406966209,182.85913606061072,-3.743648863114506,275.3540560683961,Ralle/Dragon,12.99099099099099,19.154054054054058,6.290990990990992,2.777477477477476,64.20900900900901,90.35675675675674,12.218018018018018,12.927927927927929,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,13.2,15.2,9.1,0.0,46.5,94.4,14.7,16.5,1442.0,2126.1000000000004,698.3000000000002,308.29999999999984,7127.200000000001,10029.599999999999,1356.2,1435.0,3.3,7.4,-4.5,0.0,36.0,65.9,4.0,4.1,23.3,31.3,16.7,42.4,93.9,99.7,18.3,19.2,4.790607278823646,5.415596731726612,5.258681990930455,6.63261479611013,14.8910806100928,8.833558138471123,4.135922414390074,4.421541713252418,9.6,15.7,1.9,0.0,50.55,86.25,7.95,8.25,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,15.8,22.05,10.8,1.2999999999999998,73.9,96.9,15.4,16.55,0,1
102,709.5954459203036,1,1,19,GN18666,0.7038099216297216,1.7960744565352753,1.3367474307306102,4.088164061307903,10.598144724965097,23.56495290855345,71.90017040639113,9.261397294234488,8.802070268429821,71.90017040639113,1.551591560710219,1.4762196142226407,14.71415889073231,16.87902229884077,21.507834082592133,13.221261448547526,17.093696399682138,-23.499263454294255,574.0569186862558,7.399589336676411,12.858112670953684,163.52861290034875,-0.9908447569235281,12.857903490525793,5.315166365874324,15.434645458962297,14.408430291354964,16.636475417919435,15.364705331672463,41.87864314039868,301.26788244837115,194.52861290034872,-2.5037158303887193,312.4562067038326,GN04528/GN03509,12.99099099099099,19.154054054054058,6.290990990990992,2.777477477477476,64.20900900900901,90.35675675675674,12.218018018018018,12.927927927927929,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,13.2,15.2,9.1,0.0,46.5,94.4,14.7,16.5,1442.0,2126.1000000000004,698.3000000000002,308.29999999999984,7127.200000000001,10029.599999999999,1356.2,1435.0,3.3,7.4,-4.5,0.0,36.0,65.9,4.0,4.1,23.3,31.3,16.7,42.4,93.9,99.7,18.3,19.2,4.790607278823646,5.415596731726612,5.258681990930455,6.63261479611013,14.8910806100928,8.833558138471123,4.135922414390074,4.421541713252418,9.6,15.7,1.9,0.0,50.55,86.25,7.95,8.25,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,15.8,22.05,10.8,1.2999999999999998,73.9,96.9,15.4,16.55,0,1
103,707.1005692599623,1,1,11,GN15590,0.75350641319528,2.0246284240856776,1.4618584322743184,4.504250215366473,11.171613544225693,23.564410713965593,69.50579578191858,9.709755111951374,9.146985120140016,69.50579578191858,1.833892002701757,1.8119186216033882,15.09422441400595,17.57311973392569,21.213424379065167,12.97726248638957,16.738608309350187,-23.9463047575518,605.0961063895369,7.80925194335743,13.334073632498619,153.3824816969471,-0.5876567206174979,13.871443450802317,5.7595280871512475,15.90238069708106,14.672166437053777,16.9148483633791,15.419569930737591,42.98229769767844,287.46808806232156,184.3824816969471,-2.728153365550699,298.6878197495478,Demonstrant/SW51114,12.99099099099099,19.154054054054058,6.290990990990992,2.777477477477476,64.20900900900901,90.35675675675674,12.218018018018018,12.927927927927929,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,13.2,15.2,9.1,0.0,46.5,94.4,14.7,16.5,1442.0,2126.1000000000004,698.3000000000002,308.29999999999984,7127.200000000001,10029.599999999999,1356.2,1435.0,3.3,7.4,-4.5,0.0,36.0,65.9,4.0,4.1,23.3,31.3,16.7,42.4,93.9,99.7,18.3,19.2,4.790607278823646,5.415596731726612,5.258681990930455,6.63261479611013,14.8910806100928,8.833558138471123,4.135922414390074,4.421541713252418,9.6,15.7,1.9,0.0,50.55,86.25,7.95,8.25,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,15.8,22.05,10.8,1.2999999999999998,73.9,96.9,15.4,16.55,0,1
104,724.9586337760911,1,1,5,Mirakel,0.712552501354367,1.9283614484593175,1.3228265843354106,4.351697364822031,11.371354617178435,24.329257353004998,71.96107653190673,10.048528032843024,9.442993168719116,71.96107653190673,1.8213438112288576,1.8977480416186003,15.609909187856584,18.207639173193268,21.773926841672747,13.626137570379381,17.143773657788696,-25.365495030953134,627.1330765355376,8.726719844447242,13.053511526828652,159.65103016790485,-0.16846775868395603,15.512663042301632,6.364218142594547,16.454832123174995,15.119848109861412,17.489905751936146,15.864005008468444,43.87358895943106,312.537836664332,190.65103016790485,-1.2215259987562916,323.1118502492162,SW38337/NK98533//NK98535,12.99099099099099,19.154054054054058,6.290990990990992,2.777477477477476,64.20900900900901,90.35675675675674,12.218018018018018,12.927927927927929,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,13.2,15.2,9.1,0.0,46.5,94.4,14.7,16.5,1442.0,2126.1000000000004,698.3000000000002,308.29999999999984,7127.200000000001,10029.599999999999,1356.2,1435.0,3.3,7.4,-4.5,0.0,36.0,65.9,4.0,4.1,23.3,31.3,16.7,42.4,93.9,99.7,18.3,19.2,4.790607278823646,5.415596731726612,5.258681990930455,6.63261479611013,14.8910806100928,8.833558138471123,4.135922414390074,4.421541713252418,9.6,15.7,1.9,0.0,50.55,86.25,7.95,8.25,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,15.8,22.05,10.8,1.2999999999999998,73.9,96.9,15.4,16.55,0,1
105,740.9783681214421,1,1,24,GN18751,0.658100212458521,1.7436764501035178,1.323602067772297,4.100731698796157,10.833495125174515,23.612455761809304,72.36172223550847,9.509893057402218,9.089818675070998,72.36172223550847,1.5056506199762174,1.396284175198519,14.906806391191823,17.19104187879975,21.86601281404924,13.393175263338694,17.294626851636334,-25.147813335896284,587.3965587373818,7.278403749934539,13.465021364682901,170.3651303610247,-0.8652874300421546,13.034391561832884,5.697492705880652,15.639317367469289,14.714344763598277,16.75484462466234,15.636113241677721,42.453848697726336,329.94714841448126,201.3651303610247,-1.8601976859781146,341.0281241079674,QUARNA/GN03531,12.99099099099099,19.154054054054058,6.290990990990992,2.777477477477476,64.20900900900901,90.35675675675674,12.218018018018018,12.927927927927929,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,13.2,15.2,9.1,0.0,46.5,94.4,14.7,16.5,1442.0,2126.1000000000004,698.3000000000002,308.29999999999984,7127.200000000001,10029.599999999999,1356.2,1435.0,3.3,7.4,-4.5,0.0,36.0,65.9,4.0,4.1,23.3,31.3,16.7,42.4,93.9,99.7,18.3,19.2,4.790607278823646,5.415596731726612,5.258681990930455,6.63261479611013,14.8910806100928,8.833558138471123,4.135922414390074,4.421541713252418,9.6,15.7,1.9,0.0,50.55,86.25,7.95,8.25,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,15.8,22.05,10.8,1.2999999999999998,73.9,96.9,15.4,16.55,0,1
106,663.637191650854,1,2,4,Bjarne,0.6760745793580996,1.8379965079948302,1.294846612494438,4.257581699639559,11.7872264906764,24.278730813061774,76.98594912090743,10.492379878181962,9.949229982681572,76.98594912090743,1.7050718241371225,1.7302830746397395,15.907441383460974,18.726367757056003,22.202231993796154,14.011696543958601,17.610863781380424,-28.261303712495696,651.2687885109334,8.67216170137767,13.849592622499712,175.77459922111845,-0.3225433549411949,15.414335809290636,7.045434194751782,16.7723893316883,15.604966491923815,17.624665392853174,16.24839234437502,44.89241276008214,361.53189420800396,206.77459922111845,-0.2004400139160678,372.0144854875872,SvB87293/Bastian,12.99099099099099,19.154054054054058,6.290990990990992,2.777477477477476,64.20900900900901,90.35675675675674,12.218018018018018,12.927927927927929,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,13.2,15.2,9.1,0.0,46.5,94.4,14.7,16.5,1442.0,2126.1000000000004,698.3000000000002,308.29999999999984,7127.200000000001,10029.599999999999,1356.2,1435.0,3.3,7.4,-4.5,0.0,36.0,65.9,4.0,4.1,23.3,31.3,16.7,42.4,93.9,99.7,18.3,19.2,4.790607278823646,5.415596731726612,5.258681990930455,6.63261479611013,14.8910806100928,8.833558138471123,4.135922414390074,4.421541713252418,9.6,15.7,1.9,0.0,50.55,86.25,7.95,8.25,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,15.8,22.05,10.8,1.2999999999999998,73.9,96.9,15.4,16.55,0,1
107,686.3537001897532,1,2,8,Alarm,0.6524814907461386,1.750407072715452,1.2236157781444459,4.013516768813132,10.762133583426476,24.311850459389312,73.56847377665362,9.53851780528203,9.011726510711025,73.56847377665362,1.624716876540319,1.6620618598535473,15.170586643121815,17.41246838736648,21.923941479471225,13.746175879659306,17.33248401681503,-24.75150049816802,593.3827200997621,8.244881548923011,12.575797705790517,167.8629041626336,-0.37660143918885053,14.546033541748407,5.802264553249027,15.914763572825922,14.732804561349154,17.16177495225708,15.691202419893031,42.590324741200874,319.43808005706376,198.86290416263358,-1.147445994443944,330.0097679586842,Avle//NK97537/NK98535,12.99099099099099,19.154054054054058,6.290990990990992,2.777477477477476,64.20900900900901,90.35675675675674,12.218018018018018,12.927927927927929,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,13.2,15.2,9.1,0.0,46.5,94.4,14.7,16.5,1442.0,2126.1000000000004,698.3000000000002,308.29999999999984,7127.200000000001,10029.599999999999,1356.2,1435.0,3.3,7.4,-4.5,0.0,36.0,65.9,4.0,4.1,23.3,31.3,16.7,42.4,93.9,99.7,18.3,19.2,4.790607278823646,5.415596731726612,5.258681990930455,6.63261479611013,14.8910806100928,8.833558138471123,4.135922414390074,4.421541713252418,9.6,15.7,1.9,0.0,50.55,86.25,7.95,8.25,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,15.8,22.05,10.8,1.2999999999999998,73.9,96.9,15.4,16.55,0,1
108,701.8481973434536,1,2,10,GN14512,0.6445789695717421,1.777231428772205,1.2177830878645226,4.0657961852848565,10.883057363331321,24.273351532379728,71.93614791709696,9.665274275466798,9.105825934559117,71.93614791709696,1.6921008001081457,1.7644359058700192,15.23443680214192,17.527946064416565,21.798993426637146,13.622036180401485,17.212405512194902,-25.452916422489018,602.2943901643154,8.538297355371233,12.72327470380208,164.09514291987907,-0.18139421696957703,14.323651862918105,6.008268802603045,15.970823342921815,14.728312173595178,17.161496634428445,15.628331117831474,42.82194172077287,324.6958807548769,195.09514291987907,-1.1309390810705746,335.2858755602386,GN03531/SW44431,12.99099099099099,19.154054054054058,6.290990990990992,2.777477477477476,64.20900900900901,90.35675675675674,12.218018018018018,12.927927927927929,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,13.2,15.2,9.1,0.0,46.5,94.4,14.7,16.5,1442.0,2126.1000000000004,698.3000000000002,308.29999999999984,7127.200000000001,10029.599999999999,1356.2,1435.0,3.3,7.4,-4.5,0.0,36.0,65.9,4.0,4.1,23.3,31.3,16.7,42.4,93.9,99.7,18.3,19.2,4.790607278823646,5.415596731726612,5.258681990930455,6.63261479611013,14.8910806100928,8.833558138471123,4.135922414390074,4.421541713252418,9.6,15.7,1.9,0.0,50.55,86.25,7.95,8.25,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,15.8,22.05,10.8,1.2999999999999998,73.9,96.9,15.4,16.55,0,1
109,688.5859582542696,1,2,13,GN15549,0.6439977176487454,1.71009197179228,1.15299622854217,3.7809544205665513,10.453103058040135,24.264860944692565,75.91128523804134,9.300106829497965,8.743011086247854,75.91128523804134,1.6231899973936446,1.7190872492268865,14.919377954220218,16.962707020254587,21.736231330523374,13.946297660220964,17.672504169775735,-24.32754636608581,580.2902394998824,8.545203939899464,12.123151420122575,162.4928956681968,-0.36419534270158277,13.639244831736185,5.611720066427154,15.58231722734194,14.338187138614014,16.923815541144766,15.376020226025883,41.8724320500718,314.61984780546,193.4928956681968,-1.344855128631404,325.24140503929686,SW45126/GN03529,12.99099099099099,19.154054054054058,6.290990990990992,2.777477477477476,64.20900900900901,90.35675675675674,12.218018018018018,12.927927927927929,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,13.2,15.2,9.1,0.0,46.5,94.4,14.7,16.5,1442.0,2126.1000000000004,698.3000000000002,308.29999999999984,7127.200000000001,10029.599999999999,1356.2,1435.0,3.3,7.4,-4.5,0.0,36.0,65.9,4.0,4.1,23.3,31.3,16.7,42.4,93.9,99.7,18.3,19.2,4.790607278823646,5.415596731726612,5.258681990930455,6.63261479611013,14.8910806100928,8.833558138471123,4.135922414390074,4.421541713252418,9.6,15.7,1.9,0.0,50.55,86.25,7.95,8.25,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,15.8,22.05,10.8,1.2999999999999998,73.9,96.9,15.4,16.55,0,1
110,735.0694497153702,1,2,2,Demonstrant,0.872072845231737,2.2575006652623366,1.6385789508931337,4.832409154623746,11.716867759823797,23.197552172243853,67.11098049888298,10.078288808930662,9.459367094561461,67.11098049888298,2.0043495343998026,1.9678396684117514,15.240356359510214,17.964516711534635,20.736820090593987,12.717799059682134,16.62130596184604,-24.63755114656979,629.454197110608,8.24866944834162,13.746718414008114,147.74073266313454,-0.5668468115042704,13.75216630174126,6.136261707247476,16.074147938357108,14.748609355063277,16.862331709367304,15.275217391732893,43.81066037445666,293.5220885114278,178.7407326631345,-3.0367243319889248,305.00332732175343,T1005/NK93512,12.99099099099099,19.154054054054058,6.290990990990992,2.777477477477476,64.20900900900901,90.35675675675674,12.218018018018018,12.927927927927929,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,13.2,15.2,9.1,0.0,46.5,94.4,14.7,16.5,1442.0,2126.1000000000004,698.3000000000002,308.29999999999984,7127.200000000001,10029.599999999999,1356.2,1435.0,3.3,7.4,-4.5,0.0,36.0,65.9,4.0,4.1,23.3,31.3,16.7,42.4,93.9,99.7,18.3,19.2,4.790607278823646,5.415596731726612,5.258681990930455,6.63261479611013,14.8910806100928,8.833558138471123,4.135922414390074,4.421541713252418,9.6,15.7,1.9,0.0,50.55,86.25,7.95,8.25,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,15.8,22.05,10.8,1.2999999999999998,73.9,96.9,15.4,16.55,0,1
