Plot_ID,GrainYield,Block,iBlock,Entry,Name,Blue,Green,Red,RedEdge,NIR,NDVI,MTCI,DVI,GDVI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR,Pedigree,MEAN Average temperature at 2m altitude (TM),MEAN Maximum air temperature at 2m altitude (TX),MEAN Minimum air temperature at 2m altitude (TN),MEAN Precipitation (RR),MEAN Relative humidity in 2m,MEAN Relative humidity in 2m.1,MEAN Wind gust (FG2),MEAN Wind speed in 2m,MEDIAN Average temperature at 2m altitude (TM),MEDIAN Maximum air temperature at 2m altitude (TX),MEDIAN Minimum air temperature at 2m altitude (TN),MEDIAN Precipitation (RR),MEDIAN Relative humidity in 2m,MEDIAN Relative humidity in 2m.1,MEDIAN Wind gust (FG2),MEDIAN Wind speed in 2m,MODE Average temperature at 2m altitude (TM),MODE Maximum air temperature at 2m altitude (TX),MODE Minimum air temperature at 2m altitude (TN),MODE Precipitation (RR),MODE Relative humidity in 2m,MODE Relative humidity in 2m.1,MODE Wind gust (FG2),MODE Wind speed in 2m,SUM Average temperature at 2m altitude (TM),SUM Maximum air temperature at 2m altitude (TX),SUM Minimum air temperature at 2m altitude (TN),SUM Precipitation (RR),SUM Relative humidity in 2m,SUM Relative humidity in 2m.1,SUM Wind gust (FG2),SUM Wind speed in 2m,MIN Average temperature at 2m altitude (TM),MIN Maximum air temperature at 2m altitude (TX),MIN Minimum air temperature at 2m altitude (TN),MIN Precipitation (RR),MIN Relative humidity in 2m,MIN Relative humidity in 2m.1,MIN Wind gust (FG2),MIN Wind speed in 2m,MAX Average temperature at 2m altitude (TM),MAX Maximum air temperature at 2m altitude (TX),MAX Minimum air temperature at 2m altitude (TN),MAX Precipitation (RR),MAX Relative humidity in 2m,MAX Relative humidity in 2m.1,MAX Wind gust (FG2),MAX Wind speed in 2m,STD_DEV Average temperature at 2m altitude (TM),STD_DEV Maximum air temperature at 2m altitude (TX),STD_DEV Minimum air temperature at 2m altitude (TN),STD_DEV Precipitation (RR),STD_DEV Relative humidity in 2m,STD_DEV Relative humidity in 2m.1,STD_DEV Wind gust (FG2),STD_DEV Wind speed in 2m,QUANTILE_25 Average temperature at 2m altitude (TM),QUANTILE_25 Maximum air temperature at 2m altitude (TX),QUANTILE_25 Minimum air temperature at 2m altitude (TN),QUANTILE_25 Precipitation (RR),QUANTILE_25 Relative humidity in 2m,QUANTILE_25 Relative humidity in 2m.1,QUANTILE_25 Wind gust (FG2),QUANTILE_25 Wind speed in 2m,QUANTILE_50 Average temperature at 2m altitude (TM),QUANTILE_50 Maximum air temperature at 2m altitude (TX),QUANTILE_50 Minimum air temperature at 2m altitude (TN),QUANTILE_50 Precipitation (RR),QUANTILE_50 Relative humidity in 2m,QUANTILE_50 Relative humidity in 2m.1,QUANTILE_50 Wind gust (FG2),QUANTILE_50 Wind speed in 2m,QUANTILE_75 Average temperature at 2m altitude (TM),QUANTILE_75 Maximum air temperature at 2m altitude (TX),QUANTILE_75 Minimum air temperature at 2m altitude (TN),QUANTILE_75 Precipitation (RR),QUANTILE_75 Relative humidity in 2m,QUANTILE_75 Relative humidity in 2m.1,QUANTILE_75 Wind gust (FG2),QUANTILE_75 Wind speed in 2m,Staur_Env,Vollebekk_Env
131,5.685677419354839,1,2,11,GN18545,1.7588959597100753,5.71935290838251,2.8333643850522274,11.56578143185101,35.35993042580864,52.68203226900541,180.12777944624094,32.73686270115856,30.227624142948386,6.846445472002719,8.59908824131211,41.16637299375339,51.08326678024339,45.748583156609286,32.07350471031146,37.20516180515807,69.29481652198552,2064.58130439792,30.713293712477842,41.19472479105448,395.7954918285653,28.443428920244983,45.06957045837939,29.545017121756604,43.03392249269849,38.36614092445003,41.397847946845985,36.396108417124445,112.18650008827954,189.09451709058627,457.7954918285653,11.80517846392055,1093.0820386708867,GN09543/GN07501,14.241441441441436,20.05675675675676,8.486486486486486,2.625759309798398,72.75045045045044,96.04954954954943,13.500000000000004,13.893693693693697,14.8,20.1,9.3,0.4,73.9,98.8,14.5,15.2,14.1,18.2,11.3,0.0,86.0,99.9,15.9,15.2,1580.8000000000002,2226.3000000000006,942.0,291.4592833876222,8075.3,10661.499999999998,1498.5,1542.2000000000003,2.6,4.6,-5.0,0.0,31.5,39.9,6.6,7.0,24.1,33.1,18.3,21.2,94.5,99.9,19.0,19.5,4.155926074862441,5.043458799125522,4.466206168886245,4.67889617773671,13.428564357530588,7.977854278323154,3.265995602067963,3.4660241639843643,12.3,17.75,5.800000000000001,0.0,62.55,95.65,11.2,11.55,14.8,20.1,9.3,0.4,73.9,98.8,14.5,15.2,16.8,22.950000000000003,11.5,2.838273615635182,84.0,99.9,15.95,16.8,0,1
137,6.112103225806452,1,3,24,GN18715,1.7665081991687963,5.691314964751488,2.875975030646785,12.110441954746141,35.815479806384964,52.11986363692538,159.618435919786,33.10597043115008,30.484951064765283,6.74014669968739,8.405096621533376,41.14885362671207,50.999238010323694,45.03517854969731,30.44325164618312,35.69636155981543,69.67068210432932,2091.199000524396,30.08222877101605,40.21712960218814,349.14028869548844,28.222065573726894,43.67814689527095,29.562026641722902,42.9353383192118,38.10709272257619,41.11909861879402,35.97777245484744,112.0293990056384,181.57528271520394,411.14028869548844,9.766971162750519,1037.2685262139396,GN07574/GN05567,14.241441441441436,20.05675675675676,8.486486486486486,2.625759309798398,72.75045045045044,96.04954954954943,13.500000000000004,13.893693693693697,14.8,20.1,9.3,0.4,73.9,98.8,14.5,15.2,14.1,18.2,11.3,0.0,86.0,99.9,15.9,15.2,1580.8000000000002,2226.3000000000006,942.0,291.4592833876222,8075.3,10661.499999999998,1498.5,1542.2000000000003,2.6,4.6,-5.0,0.0,31.5,39.9,6.6,7.0,24.1,33.1,18.3,21.2,94.5,99.9,19.0,19.5,4.155926074862441,5.043458799125522,4.466206168886245,4.67889617773671,13.428564357530588,7.977854278323154,3.265995602067963,3.4660241639843643,12.3,17.75,5.800000000000001,0.0,62.55,95.65,11.2,11.55,14.8,20.1,9.3,0.4,73.9,98.8,14.5,15.2,16.8,22.950000000000003,11.5,2.838273615635182,84.0,99.9,15.95,16.8,0,1
138,6.000232258064516,1,3,23,GN18697,1.7423350743685442,5.872389558144411,2.6638513631026406,12.380190736979175,36.800704340732345,53.408681092967434,166.65715098347104,34.25447676582634,31.418708158449935,7.338592678817635,9.48159032861835,42.44921928176451,52.856531426394014,45.607146424301654,31.498149222955274,36.07227743049644,69.51535896015632,2168.6993502446367,34.23725913825186,41.84529997223938,375.4351320783203,30.261600477180586,47.0059713530507,31.442856823070436,44.34515691531373,39.08829315707825,42.32514958368812,36.698649661818564,114.8725190819859,192.6234732125458,437.4351320783203,12.980282471605223,1113.464347313202,NK01513/Sommerset,14.241441441441436,20.05675675675676,8.486486486486486,2.625759309798398,72.75045045045044,96.04954954954943,13.500000000000004,13.893693693693697,14.8,20.1,9.3,0.4,73.9,98.8,14.5,15.2,14.1,18.2,11.3,0.0,86.0,99.9,15.9,15.2,1580.8000000000002,2226.3000000000006,942.0,291.4592833876222,8075.3,10661.499999999998,1498.5,1542.2000000000003,2.6,4.6,-5.0,0.0,31.5,39.9,6.6,7.0,24.1,33.1,18.3,21.2,94.5,99.9,19.0,19.5,4.155926074862441,5.043458799125522,4.466206168886245,4.67889617773671,13.428564357530588,7.977854278323154,3.265995602067963,3.4660241639843643,12.3,17.75,5.800000000000001,0.0,62.55,95.65,11.2,11.55,14.8,20.1,9.3,0.4,73.9,98.8,14.5,15.2,16.8,22.950000000000003,11.5,2.838273615635182,84.0,99.9,15.95,16.8,0,1
140,5.794916129032258,1,3,10,GN18541,1.7223148857309107,5.8238385307094775,2.8405039953720923,12.097090293856837,35.74040190154179,52.845044949008184,170.51369097251407,33.09511411079673,30.454246264944473,7.084858180315949,8.931991117504499,41.502149002357434,51.61137000329676,45.454343163610595,31.50401779813387,36.38500969158558,68.65319221754746,2091.3415604818933,31.354428252027123,41.14594008648311,379.050090806588,29.048519623347925,45.687404646514885,29.976278423964928,43.4140155475346,38.47682701401794,41.66429938604369,36.35266142125967,112.87407382339633,187.2696533254799,441.05009080658806,11.526030408301587,1073.2304910242276,GN09543/GN07501,14.241441441441436,20.05675675675676,8.486486486486486,2.625759309798398,72.75045045045044,96.04954954954943,13.500000000000004,13.893693693693697,14.8,20.1,9.3,0.4,73.9,98.8,14.5,15.2,14.1,18.2,11.3,0.0,86.0,99.9,15.9,15.2,1580.8000000000002,2226.3000000000006,942.0,291.4592833876222,8075.3,10661.499999999998,1498.5,1542.2000000000003,2.6,4.6,-5.0,0.0,31.5,39.9,6.6,7.0,24.1,33.1,18.3,21.2,94.5,99.9,19.0,19.5,4.155926074862441,5.043458799125522,4.466206168886245,4.67889617773671,13.428564357530588,7.977854278323154,3.265995602067963,3.4660241639843643,12.3,17.75,5.800000000000001,0.0,62.55,95.65,11.2,11.55,14.8,20.1,9.3,0.4,73.9,98.8,14.5,15.2,16.8,22.950000000000003,11.5,2.838273615635182,84.0,99.9,15.95,16.8,0,1
202,5.990023529411765,2,6,18,GN17624,1.8829786066811596,6.211424960399034,3.1797850493634323,12.8143420282592,37.484219866179586,52.49865384876172,158.07446167960433,34.76531268967865,31.846823919983265,7.360086264753471,9.1198121560437,42.217790826032996,52.27109179602655,44.95428134888315,30.31025561553189,35.3559464378251,75.18134180116643,2202.6583121685353,30.64204239005676,40.40756805730717,346.58237685722656,28.626510859276653,44.6018839547922,31.529243508895807,43.822722812059126,38.58624325755272,41.61159179293043,36.105999559990146,114.28725434817305,185.05415586949152,408.58237685722656,10.965778626225758,1056.9003216985927,QUARNA/GN03531//Bajass-5,14.241441441441436,20.05675675675676,8.486486486486486,2.625759309798398,72.75045045045044,96.04954954954943,13.500000000000004,13.893693693693697,14.8,20.1,9.3,0.4,73.9,98.8,14.5,15.2,14.1,18.2,11.3,0.0,86.0,99.9,15.9,15.2,1580.8000000000002,2226.3000000000006,942.0,291.4592833876222,8075.3,10661.499999999998,1498.5,1542.2000000000003,2.6,4.6,-5.0,0.0,31.5,39.9,6.6,7.0,24.1,33.1,18.3,21.2,94.5,99.9,19.0,19.5,4.155926074862441,5.043458799125522,4.466206168886245,4.67889617773671,13.428564357530588,7.977854278323154,3.265995602067963,3.4660241639843643,12.3,17.75,5.800000000000001,0.0,62.55,95.65,11.2,11.55,14.8,20.1,9.3,0.4,73.9,98.8,14.5,15.2,16.8,22.950000000000003,11.5,2.838273615635182,84.0,99.9,15.95,16.8,0,1
204,5.702776470588236,2,6,17,GN16571,1.9264127400772248,5.952223589840963,2.838492806658663,12.704207864015924,38.676820734110045,53.83382055295999,171.24434029261874,36.21895427627405,33.34144227047392,7.1395416329460355,9.117875293464866,43.62847135416907,54.02972431367998,46.257226786124505,31.811944969020857,36.275886951705715,75.7710681355131,2288.2377368084485,33.56003192180433,42.96094527250032,393.3108324383343,29.358013308363013,47.43822088374215,33.53973142374972,45.22859760250144,40.04629041382401,42.79618163479454,37.31726441753207,117.03064554535634,200.4963107358259,455.31083243833433,14.678466763378337,1181.475133244066,Demonstrant/GN06557,14.241441441441436,20.05675675675676,8.486486486486486,2.625759309798398,72.75045045045044,96.04954954954943,13.500000000000004,13.893693693693697,14.8,20.1,9.3,0.4,73.9,98.8,14.5,15.2,14.1,18.2,11.3,0.0,86.0,99.9,15.9,15.2,1580.8000000000002,2226.3000000000006,942.0,291.4592833876222,8075.3,10661.499999999998,1498.5,1542.2000000000003,2.6,4.6,-5.0,0.0,31.5,39.9,6.6,7.0,24.1,33.1,18.3,21.2,94.5,99.9,19.0,19.5,4.155926074862441,5.043458799125522,4.466206168886245,4.67889617773671,13.428564357530588,7.977854278323154,3.265995602067963,3.4660241639843643,12.3,17.75,5.800000000000001,0.0,62.55,95.65,11.2,11.55,14.8,20.1,9.3,0.4,73.9,98.8,14.5,15.2,16.8,22.950000000000003,11.5,2.838273615635182,84.0,99.9,15.95,16.8,0,1
205,5.564423529411766,2,6,25,DC13242,1.8886054445576745,5.840073100640357,3.0648124214415544,11.782684968728775,38.447500421065634,52.8456297672844,177.77202263290727,35.84535690151345,33.130019230721516,6.726728335281484,8.276064045903663,43.0340176748044,53.36854526099164,45.963347256145845,31.940626918730494,36.93555459739628,75.86913369811536,2259.334920922485,29.33856852184693,41.68349988903313,391.20450952956713,27.440400206252683,45.24818320065357,32.92299661521064,44.619042167007336,39.755638159449816,42.114797010780904,37.035432706609974,116.21625186950479,196.41784168157116,453.20450952956713,13.23096400248552,1159.284595533093,,14.241441441441436,20.05675675675676,8.486486486486486,2.625759309798398,72.75045045045044,96.04954954954943,13.500000000000004,13.893693693693697,14.8,20.1,9.3,0.4,73.9,98.8,14.5,15.2,14.1,18.2,11.3,0.0,86.0,99.9,15.9,15.2,1580.8000000000002,2226.3000000000006,942.0,291.4592833876222,8075.3,10661.499999999998,1498.5,1542.2000000000003,2.6,4.6,-5.0,0.0,31.5,39.9,6.6,7.0,24.1,33.1,18.3,21.2,94.5,99.9,19.0,19.5,4.155926074862441,5.043458799125522,4.466206168886245,4.67889617773671,13.428564357530588,7.977854278323154,3.265995602067963,3.4660241639843643,12.3,17.75,5.800000000000001,0.0,62.55,95.65,11.2,11.55,14.8,20.1,9.3,0.4,73.9,98.8,14.5,15.2,16.8,22.950000000000003,11.5,2.838273615635182,84.0,99.9,15.95,16.8,0,1
206,5.697505882352941,2,7,12,SG-S1393-13,1.810804732669163,5.770604036536698,3.003690062435183,11.818991047847817,37.319341582393214,52.8006006256698,172.72301564384642,34.706970167543645,31.98064704615874,6.726713277969046,8.292151227096486,42.35855526496835,52.53194162613336,45.61693137449941,31.600467793077616,36.67708837249262,74.21090907480084,2191.4711349080153,30.370176855020098,41.195998625372766,374.31923506843896,28.100952689186894,45.23529812517417,31.64757579106553,44.04939199091129,39.09709522830423,41.86903130876302,36.63716388321152,114.61484599119959,189.4894549354892,436.319235068439,12.081387617050861,1091.1275911791802,,14.241441441441436,20.05675675675676,8.486486486486486,2.625759309798398,72.75045045045044,96.04954954954943,13.500000000000004,13.893693693693697,14.8,20.1,9.3,0.4,73.9,98.8,14.5,15.2,14.1,18.2,11.3,0.0,86.0,99.9,15.9,15.2,1580.8000000000002,2226.3000000000006,942.0,291.4592833876222,8075.3,10661.499999999998,1498.5,1542.2000000000003,2.6,4.6,-5.0,0.0,31.5,39.9,6.6,7.0,24.1,33.1,18.3,21.2,94.5,99.9,19.0,19.5,4.155926074862441,5.043458799125522,4.466206168886245,4.67889617773671,13.428564357530588,7.977854278323154,3.265995602067963,3.4660241639843643,12.3,17.75,5.800000000000001,0.0,62.55,95.65,11.2,11.55,14.8,20.1,9.3,0.4,73.9,98.8,14.5,15.2,16.8,22.950000000000003,11.5,2.838273615635182,84.0,99.9,15.95,16.8,0,1
207,5.659294117647059,2,7,21,GN16554,1.8958145281881216,5.84670810874026,3.1998947531934783,12.139277020543686,38.019095533783414,52.81208090658755,177.9102359710209,35.33444350788768,32.74245941694053,6.597706936098916,7.964562390368305,42.8180665001721,53.29908988018453,46.090430401415055,31.90639084927963,36.88771332911401,76.62238404345865,2223.745974111146,29.824693914694674,41.6467313318211,398.1251457483073,27.60917427881103,45.86148509982587,32.45145242782802,44.54780389064079,39.86132067073254,42.13087372174544,37.20604313457262,116.01318000599464,197.5913158170365,460.1251457483073,13.233186736097943,1177.76949092217,Bajass-1/GN03529//Demonstrant,14.241441441441436,20.05675675675676,8.486486486486486,2.625759309798398,72.75045045045044,96.04954954954943,13.500000000000004,13.893693693693697,14.8,20.1,9.3,0.4,73.9,98.8,14.5,15.2,14.1,18.2,11.3,0.0,86.0,99.9,15.9,15.2,1580.8000000000002,2226.3000000000006,942.0,291.4592833876222,8075.3,10661.499999999998,1498.5,1542.2000000000003,2.6,4.6,-5.0,0.0,31.5,39.9,6.6,7.0,24.1,33.1,18.3,21.2,94.5,99.9,19.0,19.5,4.155926074862441,5.043458799125522,4.466206168886245,4.67889617773671,13.428564357530588,7.977854278323154,3.265995602067963,3.4660241639843643,12.3,17.75,5.800000000000001,0.0,62.55,95.65,11.2,11.55,14.8,20.1,9.3,0.4,73.9,98.8,14.5,15.2,16.8,22.950000000000003,11.5,2.838273615635182,84.0,99.9,15.95,16.8,0,1
208,5.776564705882354,2,7,1,Zebra,1.758995607491927,5.490174722231409,2.9888894012337097,11.330052274729306,35.92626236824189,52.81968751498685,182.35760321930087,33.40183015047763,31.01247628970984,6.23246443573718,7.538193996241396,41.56705218861089,51.4830348308398,46.29379965201486,32.23132660186545,37.286068968968664,72.02562275315368,2099.6839634593694,29.28293481397979,41.805087477110135,415.8130829330003,27.25534771468904,44.9609577718162,30.372453940313164,43.33439281339097,38.91635587939917,41.54573037978077,36.83310937709539,112.86239484519767,198.04583156683412,477.8130829330004,13.34516619478392,1181.6943612099872,Ralle/Dragon,14.241441441441436,20.05675675675676,8.486486486486486,2.625759309798398,72.75045045045044,96.04954954954943,13.500000000000004,13.893693693693697,14.8,20.1,9.3,0.4,73.9,98.8,14.5,15.2,14.1,18.2,11.3,0.0,86.0,99.9,15.9,15.2,1580.8000000000002,2226.3000000000006,942.0,291.4592833876222,8075.3,10661.499999999998,1498.5,1542.2000000000003,2.6,4.6,-5.0,0.0,31.5,39.9,6.6,7.0,24.1,33.1,18.3,21.2,94.5,99.9,19.0,19.5,4.155926074862441,5.043458799125522,4.466206168886245,4.67889617773671,13.428564357530588,7.977854278323154,3.265995602067963,3.4660241639843643,12.3,17.75,5.800000000000001,0.0,62.55,95.65,11.2,11.55,14.8,20.1,9.3,0.4,73.9,98.8,14.5,15.2,16.8,22.950000000000003,11.5,2.838273615635182,84.0,99.9,15.95,16.8,0,1
