Plot_ID,GrainYield,Replicates,Block,Name,Line,Days2Heading,Blue,Green,Red,RedEdge,NIR,NDVI,MTCI,DVI,GDVI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR,Days2Maturity,MEAN Average temperature at 2m altitude (TM),MEAN Maximum air temperature at 2m altitude (TX),MEAN Minimum air temperature at 2m altitude (TN),MEAN Precipitation (RR),MEAN Relative humidity in 2m,MEAN Relative humidity in 2m.1,MEAN Wind gust (FG2),MEAN Wind speed in 2m,MEDIAN Average temperature at 2m altitude (TM),MEDIAN Maximum air temperature at 2m altitude (TX),MEDIAN Minimum air temperature at 2m altitude (TN),MEDIAN Precipitation (RR),MEDIAN Relative humidity in 2m,MEDIAN Relative humidity in 2m.1,MEDIAN Wind gust (FG2),MEDIAN Wind speed in 2m,MODE Average temperature at 2m altitude (TM),MODE Maximum air temperature at 2m altitude (TX),MODE Minimum air temperature at 2m altitude (TN),MODE Precipitation (RR),MODE Relative humidity in 2m,MODE Relative humidity in 2m.1,MODE Wind gust (FG2),MODE Wind speed in 2m,SUM Average temperature at 2m altitude (TM),SUM Maximum air temperature at 2m altitude (TX),SUM Minimum air temperature at 2m altitude (TN),SUM Precipitation (RR),SUM Relative humidity in 2m,SUM Relative humidity in 2m.1,SUM Wind gust (FG2),SUM Wind speed in 2m,MIN Average temperature at 2m altitude (TM),MIN Maximum air temperature at 2m altitude (TX),MIN Minimum air temperature at 2m altitude (TN),MIN Precipitation (RR),MIN Relative humidity in 2m,MIN Relative humidity in 2m.1,MIN Wind gust (FG2),MIN Wind speed in 2m,MAX Average temperature at 2m altitude (TM),MAX Maximum air temperature at 2m altitude (TX),MAX Minimum air temperature at 2m altitude (TN),MAX Precipitation (RR),MAX Relative humidity in 2m,MAX Relative humidity in 2m.1,MAX Wind gust (FG2),MAX Wind speed in 2m,STD_DEV Average temperature at 2m altitude (TM),STD_DEV Maximum air temperature at 2m altitude (TX),STD_DEV Minimum air temperature at 2m altitude (TN),STD_DEV Precipitation (RR),STD_DEV Relative humidity in 2m,STD_DEV Relative humidity in 2m.1,STD_DEV Wind gust (FG2),STD_DEV Wind speed in 2m,QUANTILE_25 Average temperature at 2m altitude (TM),QUANTILE_25 Maximum air temperature at 2m altitude (TX),QUANTILE_25 Minimum air temperature at 2m altitude (TN),QUANTILE_25 Precipitation (RR),QUANTILE_25 Relative humidity in 2m,QUANTILE_25 Relative humidity in 2m.1,QUANTILE_25 Wind gust (FG2),QUANTILE_25 Wind speed in 2m,QUANTILE_50 Average temperature at 2m altitude (TM),QUANTILE_50 Maximum air temperature at 2m altitude (TX),QUANTILE_50 Minimum air temperature at 2m altitude (TN),QUANTILE_50 Precipitation (RR),QUANTILE_50 Relative humidity in 2m,QUANTILE_50 Relative humidity in 2m.1,QUANTILE_50 Wind gust (FG2),QUANTILE_50 Wind speed in 2m,QUANTILE_75 Average temperature at 2m altitude (TM),QUANTILE_75 Maximum air temperature at 2m altitude (TX),QUANTILE_75 Minimum air temperature at 2m altitude (TN),QUANTILE_75 Precipitation (RR),QUANTILE_75 Relative humidity in 2m,QUANTILE_75 Relative humidity in 2m.1,QUANTILE_75 Wind gust (FG2),QUANTILE_75 Wind speed in 2m,Staur_Env,Vollebekk_Env
1101,5.226666666666667,1,1,GN12687,1574,66,1.5794089287519446,5.134081592783335,2.491779912263161,11.755072671920066,38.59800916165114,52.99954806263523,172.7849937168546,36.10622924938798,33.46392756886782,6.196974344551563,7.84256406016647,43.13725863108627,53.22480850451627,46.895924855004324,31.768344887878293,36.922916970293045,73.32422824594572,2272.065822184086,28.55079646340594,42.12634382180772,406.5343297710602,26.513246650991835,45.046025760732974,32.92286879852759,44.60644217549261,40.04718273494932,42.14527243243726,37.506616807962764,116.44090535819088,199.59375752623316,468.5343297710602,13.845748064549872,1189.300448857205,107,15.348648648648647,21.05135135135136,9.79459459459459,3.65638994042903,77.76216216216217,97.96846846846833,14.918018018018017,15.519819819819821,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.8,18.2,8.0,0.0,86.0,99.9,14.8,15.2,1703.7,2336.7,1087.1999999999998,405.85928338762216,8631.600000000002,10874.499999999998,1655.9,1722.6999999999998,9.1,12.4,0.3,0.0,44.5,62.0,10.8,11.2,24.1,33.1,18.3,35.8,97.9,99.9,19.0,19.5,3.035782507027707,3.9766332234205097,3.256290076363754,6.534447020074943,10.934483020194369,4.798825272577023,1.8610944091239434,1.9807170336118094,13.3,18.45,7.9,0.0,70.95,97.9,13.85,14.350000000000001,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.9,23.3,12.1,2.838273615635182,85.80000000000001,99.9,16.0,16.9,0,1
1103,5.413333333333334,1,1,GN08557,1313,70,1.5895475093275362,5.6525383833795715,2.2408452536910746,12.692792125046253,41.90746401250363,54.20034225959512,168.93717387182588,39.66661875881256,36.25492562912405,7.474684003740535,9.990039031952598,45.58359429949632,55.98457199040672,46.987711868601856,32.050051925299236,36.55187742817216,74.75961736411946,2516.4648507162933,32.97050758970484,43.25928532832083,400.03327241119393,29.208463359714383,47.23597665035494,36.82140885331797,46.71159866284007,41.08779961878309,43.501410111310065,37.91293334564684,121.4430705177777,218.2486842767004,462.0332724111939,18.002948421617432,1347.868722614119,108,15.348648648648647,21.05135135135136,9.79459459459459,3.65638994042903,77.76216216216217,97.96846846846833,14.918018018018017,15.519819819819821,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.8,18.2,8.0,0.0,86.0,99.9,14.8,15.2,1703.7,2336.7,1087.1999999999998,405.85928338762216,8631.600000000002,10874.499999999998,1655.9,1722.6999999999998,9.1,12.4,0.3,0.0,44.5,62.0,10.8,11.2,24.1,33.1,18.3,35.8,97.9,99.9,19.0,19.5,3.035782507027707,3.9766332234205097,3.256290076363754,6.534447020074943,10.934483020194369,4.798825272577023,1.8610944091239434,1.9807170336118094,13.3,18.45,7.9,0.0,70.95,97.9,13.85,14.350000000000001,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.9,23.3,12.1,2.838273615635182,85.80000000000001,99.9,16.0,16.9,0,1
1104,5.72,1,1,GN08541,1311,69,1.5590072181075763,5.289255236275485,2.2924359519965902,11.778472967445841,40.39371471107006,54.022480014478994,179.68828530161434,38.101278759073466,35.104459474794574,6.7270673024468035,8.806912205927063,44.74935590863325,55.262452324271095,47.08027458429823,32.75839229861975,37.367848640961,74.14454474681057,2405.949496915564,31.637045404343947,43.31303263832528,408.37878866357664,28.447713827581413,47.186950956072074,35.38456582795393,46.157224140974364,40.99733149496399,43.261341317802554,38.00508178478461,119.80036604935961,212.35650645484426,470.3787886635766,16.8849013409314,1293.0990744134235,109,15.348648648648647,21.05135135135136,9.79459459459459,3.65638994042903,77.76216216216217,97.96846846846833,14.918018018018017,15.519819819819821,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.8,18.2,8.0,0.0,86.0,99.9,14.8,15.2,1703.7,2336.7,1087.1999999999998,405.85928338762216,8631.600000000002,10874.499999999998,1655.9,1722.6999999999998,9.1,12.4,0.3,0.0,44.5,62.0,10.8,11.2,24.1,33.1,18.3,35.8,97.9,99.9,19.0,19.5,3.035782507027707,3.9766332234205097,3.256290076363754,6.534447020074943,10.934483020194369,4.798825272577023,1.8610944091239434,1.9807170336118094,13.3,18.45,7.9,0.0,70.95,97.9,13.85,14.350000000000001,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.9,23.3,12.1,2.838273615635182,85.80000000000001,99.9,16.0,16.9,0,1
1105,5.426666666666668,1,1,SW44431,1324,67,1.5986678535118757,5.285220980644228,2.5694184442982126,11.642557207494983,38.86246635764837,52.71506836802607,178.12870602973734,36.293047913350165,33.57724537700415,6.4023556634783665,8.090390822105098,43.23506268520665,53.57317125031695,46.44390158573696,31.98544980816009,37.310335019083496,75.53077087363835,2286.21497625485,29.454894801367818,41.57989619080798,395.5924591551008,27.139477062864433,44.76931158230889,33.23281177219811,44.77480924938141,40.069479515656404,42.13756362186476,37.356905815748775,117.06458608372812,202.1645596216983,457.5924591551008,14.035499713575309,1220.808678229385,106,15.348648648648647,21.05135135135136,9.79459459459459,3.65638994042903,77.76216216216217,97.96846846846833,14.918018018018017,15.519819819819821,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.8,18.2,8.0,0.0,86.0,99.9,14.8,15.2,1703.7,2336.7,1087.1999999999998,405.85928338762216,8631.600000000002,10874.499999999998,1655.9,1722.6999999999998,9.1,12.4,0.3,0.0,44.5,62.0,10.8,11.2,24.1,33.1,18.3,35.8,97.9,99.9,19.0,19.5,3.035782507027707,3.9766332234205097,3.256290076363754,6.534447020074943,10.934483020194369,4.798825272577023,1.8610944091239434,1.9807170336118094,13.3,18.45,7.9,0.0,70.95,97.9,13.85,14.350000000000001,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.9,23.3,12.1,2.838273615635182,85.80000000000001,99.9,16.0,16.9,0,1
1106,5.053333333333334,1,1,GN13641,1569,67,1.5247334423474872,5.2705384241417015,2.404202274046834,11.791283283382665,39.57869444042444,53.108334127614036,175.53643344078068,37.174492166377604,34.30815601628274,6.612141131889081,8.516796372365215,43.762016848686585,53.90828946063305,46.88738247012452,31.99529304603691,37.09851159507946,72.89862696802265,2345.1229759864514,29.77874391868163,41.96749167484398,407.99088104208386,27.57947660288928,44.881732202726205,34.09198716781004,45.10019220987422,40.26953113555667,42.3707193426793,37.54524344003801,117.78717678080051,208.56267144154992,469.99088104208386,15.1758995147512,1283.9302993087606,106,15.348648648648647,21.05135135135136,9.79459459459459,3.65638994042903,77.76216216216217,97.96846846846833,14.918018018018017,15.519819819819821,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.8,18.2,8.0,0.0,86.0,99.9,14.8,15.2,1703.7,2336.7,1087.1999999999998,405.85928338762216,8631.600000000002,10874.499999999998,1655.9,1722.6999999999998,9.1,12.4,0.3,0.0,44.5,62.0,10.8,11.2,24.1,33.1,18.3,35.8,97.9,99.9,19.0,19.5,3.035782507027707,3.9766332234205097,3.256290076363754,6.534447020074943,10.934483020194369,4.798825272577023,1.8610944091239434,1.9807170336118094,13.3,18.45,7.9,0.0,70.95,97.9,13.85,14.350000000000001,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.9,23.3,12.1,2.838273615635182,85.80000000000001,99.9,16.0,16.9,0,1
1107,5.12,1,2,GN07560,1405,66,1.7069294671527948,5.726113131269802,2.6580729288980374,12.529768563807007,41.10970398783684,52.46969923547618,170.71203742450757,38.4516310589388,35.38359085656703,7.087223866488769,9.092034897301318,44.25807413534174,54.56350260670224,45.9655999243218,31.325969414849055,36.66086493262868,77.87844670253337,2429.8194716311987,30.294649173404373,41.11422403547388,384.16051781681205,27.51802047091174,44.27066368566332,35.10646966527136,45.446868514394765,40.35804818885392,42.25453705318483,37.20143049415993,119.27520293547681,203.3848454822935,446.16051781681205,13.999268548793273,1238.4499579600874,104,15.348648648648647,21.05135135135136,9.79459459459459,3.65638994042903,77.76216216216217,97.96846846846833,14.918018018018017,15.519819819819821,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.8,18.2,8.0,0.0,86.0,99.9,14.8,15.2,1703.7,2336.7,1087.1999999999998,405.85928338762216,8631.600000000002,10874.499999999998,1655.9,1722.6999999999998,9.1,12.4,0.3,0.0,44.5,62.0,10.8,11.2,24.1,33.1,18.3,35.8,97.9,99.9,19.0,19.5,3.035782507027707,3.9766332234205097,3.256290076363754,6.534447020074943,10.934483020194369,4.798825272577023,1.8610944091239434,1.9807170336118094,13.3,18.45,7.9,0.0,70.95,97.9,13.85,14.350000000000001,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.9,23.3,12.1,2.838273615635182,85.80000000000001,99.9,16.0,16.9,0,1
1108,5.773333333333333,1,2,SW21306,1595,68,1.3608963484875847,4.547347830608488,2.297016835305848,10.298691507428886,35.871293649077415,53.145802304890395,188.92437074019716,33.574276813771576,31.323945818468935,5.4367824774235425,6.768306738603843,41.797604434996195,51.69880348157039,47.35063429196125,32.903490024581274,37.98080796864506,68.84947981229675,2104.4698486384,28.047635429747,42.39647859814876,430.8214037360626,26.957593864506133,44.68880097424406,30.65907748527858,43.57787442383064,39.46365086538485,41.79678111553798,37.49143343210322,113.43758905906259,205.67707736567195,492.8214037360626,14.850829583446131,1250.9834632772274,108,15.348648648648647,21.05135135135136,9.79459459459459,3.65638994042903,77.76216216216217,97.96846846846833,14.918018018018017,15.519819819819821,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.8,18.2,8.0,0.0,86.0,99.9,14.8,15.2,1703.7,2336.7,1087.1999999999998,405.85928338762216,8631.600000000002,10874.499999999998,1655.9,1722.6999999999998,9.1,12.4,0.3,0.0,44.5,62.0,10.8,11.2,24.1,33.1,18.3,35.8,97.9,99.9,19.0,19.5,3.035782507027707,3.9766332234205097,3.256290076363754,6.534447020074943,10.934483020194369,4.798825272577023,1.8610944091239434,1.9807170336118094,13.3,18.45,7.9,0.0,70.95,97.9,13.85,14.350000000000001,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.9,23.3,12.1,2.838273615635182,85.80000000000001,99.9,16.0,16.9,0,1
1109,5.3599999999999985,1,2,GN08581,1409,67,1.5807848628610428,5.4637824082747155,2.397407203214229,12.130471907556053,41.34494315087796,53.34427663399693,177.98591022489035,38.947535947663724,35.88116074260324,6.949372750474158,9.056785074248955,44.90152512522339,55.323476501037135,46.87940819707077,32.27097278196189,37.232752771043955,74.8026673524539,2459.5071650622435,31.321377972762924,42.30609554897917,409.0718301979905,28.17789287082742,45.577744373182725,35.93053598446471,46.11660337458983,41.03499855721247,42.918792881533165,37.87997826030897,120.3957201287446,214.9287564522012,471.0718301979905,16.42356448357957,1340.7145299492497,107,15.348648648648647,21.05135135135136,9.79459459459459,3.65638994042903,77.76216216216217,97.96846846846833,14.918018018018017,15.519819819819821,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.8,18.2,8.0,0.0,86.0,99.9,14.8,15.2,1703.7,2336.7,1087.1999999999998,405.85928338762216,8631.600000000002,10874.499999999998,1655.9,1722.6999999999998,9.1,12.4,0.3,0.0,44.5,62.0,10.8,11.2,24.1,33.1,18.3,35.8,97.9,99.9,19.0,19.5,3.035782507027707,3.9766332234205097,3.256290076363754,6.534447020074943,10.934483020194369,4.798825272577023,1.8610944091239434,1.9807170336118094,13.3,18.45,7.9,0.0,70.95,97.9,13.85,14.350000000000001,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.9,23.3,12.1,2.838273615635182,85.80000000000001,99.9,16.0,16.9,0,1
1111,4.866666666666666,1,2,GN13633,1568,67,1.5157074327580637,5.469501066952942,2.340438977116723,12.255313534289593,41.169812515378,53.226740649743974,172.09884415094191,38.82937353826128,35.70031144842507,7.082855724031094,9.275742223020625,44.68904958272087,54.85731156883937,46.706062983714304,31.82258574867908,36.84264782909159,73.42659399227358,2454.9248958891258,31.1940435083149,41.96946508249452,401.7848833994188,28.71321086297709,44.79863096097553,35.71879176381691,45.79941386926785,40.635961261445466,42.67292155053796,37.571947697394116,119.66785909539738,216.07686456888248,463.7848833994188,16.489900370352153,1355.2892013317912,106,15.348648648648647,21.05135135135136,9.79459459459459,3.65638994042903,77.76216216216217,97.96846846846833,14.918018018018017,15.519819819819821,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.8,18.2,8.0,0.0,86.0,99.9,14.8,15.2,1703.7,2336.7,1087.1999999999998,405.85928338762216,8631.600000000002,10874.499999999998,1655.9,1722.6999999999998,9.1,12.4,0.3,0.0,44.5,62.0,10.8,11.2,24.1,33.1,18.3,35.8,97.9,99.9,19.0,19.5,3.035782507027707,3.9766332234205097,3.256290076363754,6.534447020074943,10.934483020194369,4.798825272577023,1.8610944091239434,1.9807170336118094,13.3,18.45,7.9,0.0,70.95,97.9,13.85,14.350000000000001,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.9,23.3,12.1,2.838273615635182,85.80000000000001,99.9,16.0,16.9,0,1
1112,5.226666666666667,1,2,GN14516,1625,68,1.5664882399141802,5.211017256602661,2.3920893245376584,11.9130441993475,41.03046242892742,53.09788118141623,178.60475069215772,38.63837310438976,35.81944517232476,6.46345694875348,8.325549151003418,44.495214110552276,54.561712965215804,47.0564558570073,32.190442010473554,37.28308598094551,74.71448682463337,2431.0595035459855,30.52446647384365,42.44311146213443,419.94249067440006,27.522800843693528,44.62982076192995,35.39133149963384,45.5826956698462,40.885946965014995,42.51014740028027,37.83548493481358,119.24957245589682,214.27634219401793,481.94249067440006,16.211965775754944,1336.946428114799,107,15.348648648648647,21.05135135135136,9.79459459459459,3.65638994042903,77.76216216216217,97.96846846846833,14.918018018018017,15.519819819819821,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.8,18.2,8.0,0.0,86.0,99.9,14.8,15.2,1703.7,2336.7,1087.1999999999998,405.85928338762216,8631.600000000002,10874.499999999998,1655.9,1722.6999999999998,9.1,12.4,0.3,0.0,44.5,62.0,10.8,11.2,24.1,33.1,18.3,35.8,97.9,99.9,19.0,19.5,3.035782507027707,3.9766332234205097,3.256290076363754,6.534447020074943,10.934483020194369,4.798825272577023,1.8610944091239434,1.9807170336118094,13.3,18.45,7.9,0.0,70.95,97.9,13.85,14.350000000000001,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.9,23.3,12.1,2.838273615635182,85.80000000000001,99.9,16.0,16.9,0,1
