Plot_ID,GrainYield,iBlock,Entry,Pedigree,Replicates,Line,Days2Heading,Days2Maturity,Name,Blue,Green,Red,RedEdge,NIR,NDVI,MTCI,DVI,GDVI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR,Block,MEAN Average temperature at 2m altitude (TM),MEAN Maximum air temperature at 2m altitude (TX),MEAN Minimum air temperature at 2m altitude (TN),MEAN Precipitation (RR),MEAN Relative humidity in 2m,MEAN Relative humidity in 2m.1,MEAN Wind gust (FG2),MEAN Wind speed in 2m,MEDIAN Average temperature at 2m altitude (TM),MEDIAN Maximum air temperature at 2m altitude (TX),MEDIAN Minimum air temperature at 2m altitude (TN),MEDIAN Precipitation (RR),MEDIAN Relative humidity in 2m,MEDIAN Relative humidity in 2m.1,MEDIAN Wind gust (FG2),MEDIAN Wind speed in 2m,MODE Average temperature at 2m altitude (TM),MODE Maximum air temperature at 2m altitude (TX),MODE Minimum air temperature at 2m altitude (TN),MODE Precipitation (RR),MODE Relative humidity in 2m,MODE Relative humidity in 2m.1,MODE Wind gust (FG2),MODE Wind speed in 2m,SUM Average temperature at 2m altitude (TM),SUM Maximum air temperature at 2m altitude (TX),SUM Minimum air temperature at 2m altitude (TN),SUM Precipitation (RR),SUM Relative humidity in 2m,SUM Relative humidity in 2m.1,SUM Wind gust (FG2),SUM Wind speed in 2m,MIN Average temperature at 2m altitude (TM),MIN Maximum air temperature at 2m altitude (TX),MIN Minimum air temperature at 2m altitude (TN),MIN Precipitation (RR),MIN Relative humidity in 2m,MIN Relative humidity in 2m.1,MIN Wind gust (FG2),MIN Wind speed in 2m,MAX Average temperature at 2m altitude (TM),MAX Maximum air temperature at 2m altitude (TX),MAX Minimum air temperature at 2m altitude (TN),MAX Precipitation (RR),MAX Relative humidity in 2m,MAX Relative humidity in 2m.1,MAX Wind gust (FG2),MAX Wind speed in 2m,STD_DEV Average temperature at 2m altitude (TM),STD_DEV Maximum air temperature at 2m altitude (TX),STD_DEV Minimum air temperature at 2m altitude (TN),STD_DEV Precipitation (RR),STD_DEV Relative humidity in 2m,STD_DEV Relative humidity in 2m.1,STD_DEV Wind gust (FG2),STD_DEV Wind speed in 2m,QUANTILE_25 Average temperature at 2m altitude (TM),QUANTILE_25 Maximum air temperature at 2m altitude (TX),QUANTILE_25 Minimum air temperature at 2m altitude (TN),QUANTILE_25 Precipitation (RR),QUANTILE_25 Relative humidity in 2m,QUANTILE_25 Relative humidity in 2m.1,QUANTILE_25 Wind gust (FG2),QUANTILE_25 Wind speed in 2m,QUANTILE_50 Average temperature at 2m altitude (TM),QUANTILE_50 Maximum air temperature at 2m altitude (TX),QUANTILE_50 Minimum air temperature at 2m altitude (TN),QUANTILE_50 Precipitation (RR),QUANTILE_50 Relative humidity in 2m,QUANTILE_50 Relative humidity in 2m.1,QUANTILE_50 Wind gust (FG2),QUANTILE_50 Wind speed in 2m,QUANTILE_75 Average temperature at 2m altitude (TM),QUANTILE_75 Maximum air temperature at 2m altitude (TX),QUANTILE_75 Minimum air temperature at 2m altitude (TN),QUANTILE_75 Precipitation (RR),QUANTILE_75 Relative humidity in 2m,QUANTILE_75 Relative humidity in 2m.1,QUANTILE_75 Wind gust (FG2),QUANTILE_75 Wind speed in 2m,Staur_Env,Vollebekk_Env
102,4.941176470588236,,,,1.0,1622.0,49.0,104.0,GN14506,0.7176499841734755,2.0241124927997642,1.1260127676650915,4.235634247504759,18.210069179534905,32.77305290798951,180.83379659770674,17.084056411869813,16.18595668673514,2.20456223376096,2.6522568518295957,23.636418777030336,29.10214686248576,29.668371267420753,23.318612446390834,26.182376595696525,37.00847067994632,1060.9673737175756,15.226458827594367,27.661006497353892,316.95045859441916,14.18208751993275,28.95859956021051,15.22629591471587,25.037562292218485,23.172005565391324,25.037239879982693,22.90665187482541,64.3777932113193,121.70118474021409,353.95045859441916,10.096528546980617,700.5092989493864,1.0,14.635135135135133,19.89189189189189,9.507207207207207,3.2342342342342327,71.64601524601525,89.6615978615978,15.269369369369372,6.787829912023455,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,9.7,19.3,14.0,0.0,74.8632478632478,91.58656898656885,15.2,6.787829912023458,1624.5000000000002,2208.0,1055.3,359.0,7952.707692307692,9952.437362637358,1694.9,753.4491202346034,6.4,11.0,0.5,0.0,49.3,70.7,9.0,6.787829912023458,24.4,30.7,18.8,30.2,88.8,95.7,20.9,6.787829912023458,3.465797786910584,4.301123217679416,3.464435194993727,6.732438373555783,9.442920487636448,5.175969961114266,2.464024527356996,2.6766193812273226e-15,12.7,16.75,7.25,0.0,64.55,88.25,14.0,6.787829912023458,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,16.6,22.1,11.7,3.0,77.1,93.1,16.9,6.787829912023458,1,0
103,5.482754771737917,,,,1.0,1609.0,48.0,101.0,GN14529,0.8175372863188419,2.1566427350044313,1.3109015552327081,4.419621811598729,19.211168304085728,32.280094225670446,184.12913257967804,17.900266748853017,17.054525569081296,2.1848466284573123,2.50622718613595,24.006575413828244,29.816779864788742,29.49935028234763,23.251113402341204,26.506407643800934,39.579129210377275,1107.84565212205,13.770128476722551,27.14649703861847,306.81006022665554,13.065021480090923,28.364106993000064,16.116766707872067,25.395797524072318,23.67065402980311,25.006398264757998,23.067014461915434,65.56443174792514,114.5691111061839,343.81006022665554,8.381225082386564,643.1055012595552,1.0,14.635135135135133,19.89189189189189,9.507207207207207,3.2342342342342327,71.64601524601525,89.6615978615978,15.269369369369372,6.787829912023455,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,9.7,19.3,14.0,0.0,74.8632478632478,91.58656898656885,15.2,6.787829912023458,1624.5000000000002,2208.0,1055.3,359.0,7952.707692307692,9952.437362637358,1694.9,753.4491202346034,6.4,11.0,0.5,0.0,49.3,70.7,9.0,6.787829912023458,24.4,30.7,18.8,30.2,88.8,95.7,20.9,6.787829912023458,3.465797786910584,4.301123217679416,3.464435194993727,6.732438373555783,9.442920487636448,5.175969961114266,2.464024527356996,2.6766193812273226e-15,12.7,16.75,7.25,0.0,64.55,88.25,14.0,6.787829912023458,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,16.6,22.1,11.7,3.0,77.1,93.1,16.9,6.787829912023458,1,0
106,6.32070543587454,,,,1.0,1590.0,46.0,97.0,SW11230,0.8422802696004494,2.2330532800406218,1.3370311171747713,4.500159109312653,18.98733313381672,32.38347747759989,189.02742309347002,17.65030201664195,16.754279853776097,2.2867951733060212,2.648004889301962,23.850114633139953,29.52718426076449,29.42578022679834,23.35643729158941,26.48161915636839,40.71908675809133,1094.859007513151,14.585429252014833,27.29932392049706,313.5893117778809,13.451241103050307,28.692790326890773,15.824452096405274,25.212935066461245,23.393243216872794,24.95089944066377,22.898967192188962,65.21509783119777,118.16318976146889,350.5893117778809,9.0202039144596,677.291448486249,1.0,14.635135135135133,19.89189189189189,9.507207207207207,3.2342342342342327,71.64601524601525,89.6615978615978,15.269369369369372,6.787829912023455,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,9.7,19.3,14.0,0.0,74.8632478632478,91.58656898656885,15.2,6.787829912023458,1624.5000000000002,2208.0,1055.3,359.0,7952.707692307692,9952.437362637358,1694.9,753.4491202346034,6.4,11.0,0.5,0.0,49.3,70.7,9.0,6.787829912023458,24.4,30.7,18.8,30.2,88.8,95.7,20.9,6.787829912023458,3.465797786910584,4.301123217679416,3.464435194993727,6.732438373555783,9.442920487636448,5.175969961114266,2.464024527356996,2.6766193812273226e-15,12.7,16.75,7.25,0.0,64.55,88.25,14.0,6.787829912023458,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,16.6,22.1,11.7,3.0,77.1,93.1,16.9,6.787829912023458,1,0
107,5.189436321017971,,,,1.0,51.0,46.0,106.0,SW46375,0.8206358021125135,2.1615346008911756,1.1625206898897886,4.3452682872654815,19.224690385162823,32.93297273027068,191.1944324630427,18.062169695273035,17.063155784271647,2.339912709780047,2.8739183448255208,24.3442162669907,30.182915658853503,29.69671061081966,23.79589447548956,26.631129420933135,39.28585714957366,1123.6907381564376,15.858901790783076,28.140564813302348,316.8408258280386,13.923738665848742,29.662258545117105,16.530589405074185,25.746127682540106,23.728592059451177,25.430911682551873,23.169924265104413,66.1936676739381,122.04592353974047,353.8408258280386,10.43164834982247,697.4363242428519,2.0,14.635135135135133,19.89189189189189,9.507207207207207,3.2342342342342327,71.64601524601525,89.6615978615978,15.269369369369372,6.787829912023455,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,9.7,19.3,14.0,0.0,74.8632478632478,91.58656898656885,15.2,6.787829912023458,1624.5000000000002,2208.0,1055.3,359.0,7952.707692307692,9952.437362637358,1694.9,753.4491202346034,6.4,11.0,0.5,0.0,49.3,70.7,9.0,6.787829912023458,24.4,30.7,18.8,30.2,88.8,95.7,20.9,6.787829912023458,3.465797786910584,4.301123217679416,3.464435194993727,6.732438373555783,9.442920487636448,5.175969961114266,2.464024527356996,2.6766193812273226e-15,12.7,16.75,7.25,0.0,64.55,88.25,14.0,6.787829912023458,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,16.6,22.1,11.7,3.0,77.1,93.1,16.9,6.787829912023458,1,0
108,4.43124455854448,,,,1.0,27.0,46.0,120.0,Kariega,0.7900946987792905,2.136905035004014,1.22402081172913,4.380841389241644,18.83225041627884,32.62051497702135,180.2196733694218,17.608229604549713,16.695345381274826,2.2596945594996076,2.6829704580828393,23.901489056374444,29.522632218041824,29.587609918795337,23.352659731573617,26.407021348734915,38.762409020449994,1093.0091452039778,14.21851545180035,27.506845413189488,307.87650127026916,13.635261466870968,28.897796577270665,15.823127373579496,25.264543706680165,23.405179585355135,25.06693365878653,22.967002336397904,65.03757226639259,115.83352213946603,344.87650127026916,9.081725959862206,644.4805210916248,2.0,14.635135135135133,19.89189189189189,9.507207207207207,3.2342342342342327,71.64601524601525,89.6615978615978,15.269369369369372,6.787829912023455,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,9.7,19.3,14.0,0.0,74.8632478632478,91.58656898656885,15.2,6.787829912023458,1624.5000000000002,2208.0,1055.3,359.0,7952.707692307692,9952.437362637358,1694.9,753.4491202346034,6.4,11.0,0.5,0.0,49.3,70.7,9.0,6.787829912023458,24.4,30.7,18.8,30.2,88.8,95.7,20.9,6.787829912023458,3.465797786910584,4.301123217679416,3.464435194993727,6.732438373555783,9.442920487636448,5.175969961114266,2.464024527356996,2.6766193812273226e-15,12.7,16.75,7.25,0.0,64.55,88.25,14.0,6.787829912023458,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,16.6,22.1,11.7,3.0,77.1,93.1,16.9,6.787829912023458,1,0
109,5.330094876660342,,,,1.0,1587.0,47.0,106.0,SW01074,0.758899468928578,2.1230512708425464,1.0673559880815469,4.308691343827741,20.350233063101754,33.45996396334548,201.22042137743995,19.28287707502021,18.22718179225921,2.4198470846749673,3.0485999722033474,25.353012601323968,31.62917415241153,30.189332036436756,24.476878994499288,26.95819408112741,40.03156611270862,1199.2004358116524,17.48517203341251,28.847094229274642,352.6995304023801,15.182948652003896,30.913025325550706,18.26454337120252,26.773560322401032,24.675029346346548,26.12309032777743,23.80456964086975,68.71618944589648,137.68555922588672,389.69953040238016,13.138558580526471,850.1341183607927,2.0,14.635135135135133,19.89189189189189,9.507207207207207,3.2342342342342327,71.64601524601525,89.6615978615978,15.269369369369372,6.787829912023455,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,9.7,19.3,14.0,0.0,74.8632478632478,91.58656898656885,15.2,6.787829912023458,1624.5000000000002,2208.0,1055.3,359.0,7952.707692307692,9952.437362637358,1694.9,753.4491202346034,6.4,11.0,0.5,0.0,49.3,70.7,9.0,6.787829912023458,24.4,30.7,18.8,30.2,88.8,95.7,20.9,6.787829912023458,3.465797786910584,4.301123217679416,3.464435194993727,6.732438373555783,9.442920487636448,5.175969961114266,2.464024527356996,2.6766193812273226e-15,12.7,16.75,7.25,0.0,64.55,88.25,14.0,6.787829912023458,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,16.6,22.1,11.7,3.0,77.1,93.1,16.9,6.787829912023458,1,0
110,4.739778993191205,,,,1.0,6.0,48.0,106.0,T9040,0.760041260626164,2.0568082351237504,1.0174044282175605,4.163305092771512,19.172113604843616,33.35168702329199,187.85950781098987,18.154709176626056,17.11530536971987,2.3361707814037747,2.9686128170229407,24.573256026647492,30.447514317513328,29.92500338725162,24.06042541039497,26.63448263341151,38.080989451451764,1130.858702873811,17.378387423852736,28.675762377778405,323.0546942802014,14.882222340152737,30.31908739144187,16.796144167364005,26.005210146312795,23.883537296082476,25.726935184852444,23.339561297298665,66.62027188129287,129.88858965503823,360.0546942802014,12.148979637588893,764.6504936545066,2.0,14.635135135135133,19.89189189189189,9.507207207207207,3.2342342342342327,71.64601524601525,89.6615978615978,15.269369369369372,6.787829912023455,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,9.7,19.3,14.0,0.0,74.8632478632478,91.58656898656885,15.2,6.787829912023458,1624.5000000000002,2208.0,1055.3,359.0,7952.707692307692,9952.437362637358,1694.9,753.4491202346034,6.4,11.0,0.5,0.0,49.3,70.7,9.0,6.787829912023458,24.4,30.7,18.8,30.2,88.8,95.7,20.9,6.787829912023458,3.465797786910584,4.301123217679416,3.464435194993727,6.732438373555783,9.442920487636448,5.175969961114266,2.464024527356996,2.6766193812273226e-15,12.7,16.75,7.25,0.0,64.55,88.25,14.0,6.787829912023458,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,16.6,22.1,11.7,3.0,77.1,93.1,16.9,6.787829912023458,1,0
111,7.243879897309969,,,,1.0,1582.0,46.0,110.0,GN14512,0.7826557699590909,2.023646557703622,1.039090133272109,4.032393243281144,19.812263846397403,33.381951788806276,205.78781307007,18.773173713125292,17.78861728869378,2.2255472121760436,2.7944675832987116,25.000861463328896,31.116476904073238,30.204841084649228,24.68871016083255,27.299369663554106,39.10698551721113,1165.772679764778,17.097777461792358,29.002801570198997,341.90815848523,14.34407355207918,30.555476355139014,17.60312828746886,26.437243047372142,24.44122792457236,25.941237954618277,23.711044286142616,67.75213219354896,132.54281895198358,378.90815848523,12.478011489065661,793.7096473064423,2.0,14.635135135135133,19.89189189189189,9.507207207207207,3.2342342342342327,71.64601524601525,89.6615978615978,15.269369369369372,6.787829912023455,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,9.7,19.3,14.0,0.0,74.8632478632478,91.58656898656885,15.2,6.787829912023458,1624.5000000000002,2208.0,1055.3,359.0,7952.707692307692,9952.437362637358,1694.9,753.4491202346034,6.4,11.0,0.5,0.0,49.3,70.7,9.0,6.787829912023458,24.4,30.7,18.8,30.2,88.8,95.7,20.9,6.787829912023458,3.465797786910584,4.301123217679416,3.464435194993727,6.732438373555783,9.442920487636448,5.175969961114266,2.464024527356996,2.6766193812273226e-15,12.7,16.75,7.25,0.0,64.55,88.25,14.0,6.787829912023458,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,16.6,22.1,11.7,3.0,77.1,93.1,16.9,6.787829912023458,1,0
112,6.504297354615471,,,,1.0,1430.0,46.0,108.0,Marble,0.8712027673609546,2.271656699478624,1.1004511150531364,4.422964736467231,20.140992566943176,33.2278134108372,183.1926157957384,19.04054145189004,17.869335867464553,2.571659516543157,3.302684654947389,25.116752277280447,31.329206699760768,29.56654258469822,23.869262585429166,26.53059405717523,40.318844357646654,1189.2807104904218,17.979201578270366,28.499719720268164,303.4628240933776,14.868593931482543,30.368433926487945,17.884692876685577,26.540665874061244,24.20117239391664,25.924293403505544,23.33319392594742,68.05462381512145,126.96812944113256,340.46282409337755,11.55704652166842,738.8281155320747,2.0,14.635135135135133,19.89189189189189,9.507207207207207,3.2342342342342327,71.64601524601525,89.6615978615978,15.269369369369372,6.787829912023455,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,9.7,19.3,14.0,0.0,74.8632478632478,91.58656898656885,15.2,6.787829912023458,1624.5000000000002,2208.0,1055.3,359.0,7952.707692307692,9952.437362637358,1694.9,753.4491202346034,6.4,11.0,0.5,0.0,49.3,70.7,9.0,6.787829912023458,24.4,30.7,18.8,30.2,88.8,95.7,20.9,6.787829912023458,3.465797786910584,4.301123217679416,3.464435194993727,6.732438373555783,9.442920487636448,5.175969961114266,2.464024527356996,2.6766193812273226e-15,12.7,16.75,7.25,0.0,64.55,88.25,14.0,6.787829912023458,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,16.6,22.1,11.7,3.0,77.1,93.1,16.9,6.787829912023458,1,0
113,6.8136890277932824,,,,1.0,1623.0,47.0,110.0,GN14511,0.7223159987479425,1.961634950712327,0.9960588095709635,3.981064129600422,19.609391823410995,33.376611461829995,200.42478645123788,18.61333301384003,17.647756872698665,2.204895093105744,2.7720477104187253,24.89451061251024,30.93404805809789,30.212980622572445,24.502492269511315,27.095343296995367,38.04227329783184,1155.4230264760563,16.863864988826258,28.80929473980075,341.23831671293283,14.658345136740401,30.33220874986327,17.38029268739226,26.33358340879103,24.36122067229671,25.8927346344294,23.679917133376925,67.39180868723403,132.75933332043576,378.23831671293283,12.46599989688868,797.519588450042,3.0,14.635135135135133,19.89189189189189,9.507207207207207,3.2342342342342327,71.64601524601525,89.6615978615978,15.269369369369372,6.787829912023455,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,9.7,19.3,14.0,0.0,74.8632478632478,91.58656898656885,15.2,6.787829912023458,1624.5000000000002,2208.0,1055.3,359.0,7952.707692307692,9952.437362637358,1694.9,753.4491202346034,6.4,11.0,0.5,0.0,49.3,70.7,9.0,6.787829912023458,24.4,30.7,18.8,30.2,88.8,95.7,20.9,6.787829912023458,3.465797786910584,4.301123217679416,3.464435194993727,6.732438373555783,9.442920487636448,5.175969961114266,2.464024527356996,2.6766193812273226e-15,12.7,16.75,7.25,0.0,64.55,88.25,14.0,6.787829912023458,14.8,19.3,9.8,0.2,74.8632478632478,91.58656898656885,15.5,6.787829912023458,16.6,22.1,11.7,3.0,77.1,93.1,16.9,6.787829912023458,1,0
