,feature_idx,cv_scores,avg_score,feature_names
1,"(75,)",[0.30504367 0.30456264 0.272962  ],0.29418943475824505,"('MAX Minimum air temperature at 2m altitude (TN)',)"
2,"(20, 75)",[0.57538474 0.58936179 0.580252  ],0.5816661766272729,"('GCI', 'MAX Minimum air temperature at 2m altitude (TN)')"
3,"(20, 74, 75)",[0.63708262 0.64986586 0.62149632],0.6361482678435705,"('GCI', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
4,"(18, 20, 74, 75)",[0.64881101 0.66325512 0.63651414],0.6495267534505036,"('VARI', 'GCI', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
5,"(13, 18, 20, 74, 75)",[0.66412391 0.68125882 0.65855411],0.6679789442298071,"('GNDVI', 'VARI', 'GCI', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
6,"(13, 14, 18, 20, 74, 75)",[0.68390389 0.70533813 0.67787742],0.6890398162964907,"('GNDVI', 'NDRE', 'VARI', 'GCI', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
7,"(13, 14, 16, 18, 20, 74, 75)",[0.68619225 0.70748408 0.6831202 ],0.6922655093023482,"('GNDVI', 'NDRE', 'EVI', 'VARI', 'GCI', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
8,"(13, 14, 15, 16, 18, 20, 74, 75)",[0.68888795 0.71031179 0.68394555],0.6943817595808124,"('GNDVI', 'NDRE', 'SCCI', 'EVI', 'VARI', 'GCI', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
9,"(13, 14, 15, 16, 18, 20, 26, 74, 75)",[0.69470598 0.71403102 0.68736254],0.6986998445229738,"('GNDVI', 'NDRE', 'SCCI', 'EVI', 'VARI', 'GCI', 'OSAVI', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
10,"(13, 14, 15, 16, 18, 20, 26, 28, 74, 75)",[0.69677775 0.71615813 0.68854479],0.7004935597753307,"('GNDVI', 'NDRE', 'SCCI', 'EVI', 'VARI', 'GCI', 'OSAVI', 'MSAVI2', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
11,"(13, 14, 15, 16, 18, 20, 22, 26, 28, 74, 75)",[0.69821267 0.71700232 0.69044183],0.7018856065634687,"('GNDVI', 'NDRE', 'SCCI', 'EVI', 'VARI', 'GCI', 'NLI', 'OSAVI', 'MSAVI2', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
12,"(13, 14, 15, 16, 18, 20, 22, 23, 26, 28, 74, 75)",[0.70065337 0.72215914 0.69473808],0.7058501982199846,"('GNDVI', 'NDRE', 'SCCI', 'EVI', 'VARI', 'GCI', 'NLI', 'MNLI', 'OSAVI', 'MSAVI2', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
