,feature_idx,cv_scores,avg_score,feature_names
1,"(50,)",[0.35655573 0.33081121 0.33872178],0.34202957221026753,"('MODE Maximum air temperature at 2m altitude (TX)',)"
2,"(20, 50)",[0.65036665 0.64542144 0.63438952],0.6433925353997064,"('GCI', 'MODE Maximum air temperature at 2m altitude (TX)')"
3,"(10, 20, 50)",[0.66383714 0.66097057 0.65232494],0.6590442167552117,"('EXGR', 'GCI', 'MODE Maximum air temperature at 2m altitude (TX)')"
4,"(6, 10, 20, 50)",[0.67829053 0.67896722 0.66940768],0.6755551435956169,"('MTCI', 'EXGR', 'GCI', 'MODE Maximum air temperature at 2m altitude (TX)')"
5,"(6, 10, 20, 50, 95)",[0.68723138 0.69190702 0.67958028],0.6862395569896583,"('MTCI', 'EXGR', 'GCI', 'MODE Maximum air temperature at 2m altitude (TX)', 'QUANTILE_25 Wind gust (FG2)')"
6,"(6, 10, 13, 20, 50, 95)",[0.69202377 0.6959491  0.68873649],0.6922364523427383,"('MTCI', 'EXGR', 'GNDVI', 'GCI', 'MODE Maximum air temperature at 2m altitude (TX)', 'QUANTILE_25 Wind gust (FG2)')"
7,"(6, 10, 13, 18, 20, 50, 95)",[0.69691727 0.7006906  0.69329261],0.696966825841636,"('MTCI', 'EXGR', 'GNDVI', 'VARI', 'GCI', 'MODE Maximum air temperature at 2m altitude (TX)', 'QUANTILE_25 Wind gust (FG2)')"
8,"(6, 10, 13, 18, 20, 21, 50, 95)",[0.70074728 0.70411984 0.70048592],0.7017843454399774,"('MTCI', 'EXGR', 'GNDVI', 'VARI', 'GCI', 'GLI', 'MODE Maximum air temperature at 2m altitude (TX)', 'QUANTILE_25 Wind gust (FG2)')"
9,"(6, 10, 13, 18, 20, 21, 50, 57, 95)",[0.70201119 0.71077459 0.69844188],0.7037425508302477,"('MTCI', 'EXGR', 'GNDVI', 'VARI', 'GCI', 'GLI', 'MODE Maximum air temperature at 2m altitude (TX)', 'SUM Average temperature at 2m altitude (TM)', 'QUANTILE_25 Wind gust (FG2)')"
10,"(6, 10, 13, 18, 20, 21, 50, 57, 63, 95)",[0.70170587 0.71157336 0.69786665],0.7037152930402472,"('MTCI', 'EXGR', 'GNDVI', 'VARI', 'GCI', 'GLI', 'MODE Maximum air temperature at 2m altitude (TX)', 'SUM Average temperature at 2m altitude (TM)', 'SUM Wind gust (FG2)', 'QUANTILE_25 Wind gust (FG2)')"
11,"(6, 10, 13, 18, 20, 21, 50, 57, 63, 92, 95)",[0.70193827 0.71106211 0.69821273],0.7037377043486005,"('MTCI', 'EXGR', 'GNDVI', 'VARI', 'GCI', 'GLI', 'MODE Maximum air temperature at 2m altitude (TX)', 'SUM Average temperature at 2m altitude (TM)', 'SUM Wind gust (FG2)', 'QUANTILE_25 Precipitation (RR)', 'QUANTILE_25 Wind gust (FG2)')"
12,"(6, 10, 13, 18, 20, 21, 50, 57, 63, 82, 92, 95)",[0.70213844 0.71142374 0.69818717],0.7039164488414277,"('MTCI', 'EXGR', 'GNDVI', 'VARI', 'GCI', 'GLI', 'MODE Maximum air temperature at 2m altitude (TX)', 'SUM Average temperature at 2m altitude (TM)', 'SUM Wind gust (FG2)', 'STD_DEV Maximum air temperature at 2m altitude (TX)', 'QUANTILE_25 Precipitation (RR)', 'QUANTILE_25 Wind gust (FG2)')"
13,"(6, 10, 13, 18, 20, 21, 39, 50, 57, 63, 82, 92, 95)",[0.70200865 0.71080701 0.69808577],0.7036338126927659,"('MTCI', 'EXGR', 'GNDVI', 'VARI', 'GCI', 'GLI', 'MEAN Wind gust (FG2)', 'MODE Maximum air temperature at 2m altitude (TX)', 'SUM Average temperature at 2m altitude (TM)', 'SUM Wind gust (FG2)', 'STD_DEV Maximum air temperature at 2m altitude (TX)', 'QUANTILE_25 Precipitation (RR)', 'QUANTILE_25 Wind gust (FG2)')"
14,"(6, 10, 13, 18, 20, 21, 39, 50, 57, 63, 82, 92, 95, 111)",[0.70183074 0.71118034 0.69835506],0.7037887143429535,"('MTCI', 'EXGR', 'GNDVI', 'VARI', 'GCI', 'GLI', 'MEAN Wind gust (FG2)', 'MODE Maximum air temperature at 2m altitude (TX)', 'SUM Average temperature at 2m altitude (TM)', 'SUM Wind gust (FG2)', 'STD_DEV Maximum air temperature at 2m altitude (TX)', 'QUANTILE_25 Precipitation (RR)', 'QUANTILE_25 Wind gust (FG2)', 'QUANTILE_75 Wind gust (FG2)')"
