,feature_idx,cv_scores,avg_score,feature_names
1,"(75,)",[0.30195815 0.28074763 0.27391222],0.2855393344288587,"('MAX Minimum air temperature at 2m altitude (TN)',)"
2,"(20, 75)",[0.56224189 0.56011258 0.55139532],0.5579165960378271,"('GCI', 'MAX Minimum air temperature at 2m altitude (TN)')"
3,"(20, 74, 75)",[0.61836544 0.61353188 0.60824814],0.6133818209184032,"('GCI', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
4,"(6, 20, 74, 75)",[0.63814814 0.63260077 0.62804835],0.6329324195226832,"('MTCI', 'GCI', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
5,"(6, 20, 31, 74, 75)",[0.65285796 0.65693403 0.65519735],0.6549964491403987,"('MTCI', 'GCI', 'WDRVI', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
6,"(6, 15, 20, 31, 74, 75)",[0.66279285 0.67300956 0.66918967],0.6683306917036367,"('MTCI', 'SCCI', 'GCI', 'WDRVI', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
7,"(1, 6, 15, 20, 31, 74, 75)",[0.66991331 0.67959322 0.67241718],0.6739745696240886,"('Green', 'MTCI', 'SCCI', 'GCI', 'WDRVI', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
8,"(1, 6, 15, 20, 23, 31, 74, 75)",[0.67464091 0.68145644 0.67615418],0.6774171766730616,"('Green', 'MTCI', 'SCCI', 'GCI', 'MNLI', 'WDRVI', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
9,"(1, 6, 15, 20, 23, 31, 53, 74, 75)",[0.67668001 0.68124379 0.67893157],0.6789517925462518,"('Green', 'MTCI', 'SCCI', 'GCI', 'MNLI', 'WDRVI', 'MODE Relative humidity in 2m', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
10,"(1, 6, 10, 15, 20, 23, 31, 53, 74, 75)",[0.67749534 0.68156846 0.67945405],0.679505951813509,"('Green', 'MTCI', 'EXGR', 'SCCI', 'GCI', 'MNLI', 'WDRVI', 'MODE Relative humidity in 2m', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
11,"(1, 6, 10, 15, 20, 23, 30, 31, 53, 74, 75)",[0.67823547 0.68266334 0.67971802],0.6802056113146643,"('Green', 'MTCI', 'EXGR', 'SCCI', 'GCI', 'MNLI', 'GRVI', 'WDRVI', 'MODE Relative humidity in 2m', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
12,"(1, 6, 10, 15, 20, 22, 23, 30, 31, 53, 74, 75)",[0.67808939 0.68421633 0.68020277],0.680836162514991,"('Green', 'MTCI', 'EXGR', 'SCCI', 'GCI', 'NLI', 'MNLI', 'GRVI', 'WDRVI', 'MODE Relative humidity in 2m', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
13,"(1, 5, 6, 10, 15, 20, 22, 23, 30, 31, 53, 74, 75)",[0.67851306 0.68535192 0.68161727],0.6818274159431826,"('Green', 'NDVI', 'MTCI', 'EXGR', 'SCCI', 'GCI', 'NLI', 'MNLI', 'GRVI', 'WDRVI', 'MODE Relative humidity in 2m', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
14,"(1, 5, 6, 10, 15, 19, 20, 22, 23, 30, 31, 53, 74, 75)",[0.67851808 0.68941322 0.68343771],0.6837896724050871,"('Green', 'NDVI', 'MTCI', 'EXGR', 'SCCI', 'GARI', 'GCI', 'NLI', 'MNLI', 'GRVI', 'WDRVI', 'MODE Relative humidity in 2m', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
15,"(1, 5, 6, 10, 15, 19, 20, 21, 22, 23, 30, 31, 53, 74, 75)",[0.68306717 0.69070436 0.68434493],0.686038820033667,"('Green', 'NDVI', 'MTCI', 'EXGR', 'SCCI', 'GARI', 'GCI', 'GLI', 'NLI', 'MNLI', 'GRVI', 'WDRVI', 'MODE Relative humidity in 2m', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
16,"(1, 2, 5, 6, 10, 15, 19, 20, 21, 22, 23, 30, 31, 53, 74, 75)",[0.6836927  0.69260031 0.68593428],0.6874090988914189,"('Green', 'Red', 'NDVI', 'MTCI', 'EXGR', 'SCCI', 'GARI', 'GCI', 'GLI', 'NLI', 'MNLI', 'GRVI', 'WDRVI', 'MODE Relative humidity in 2m', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
17,"(1, 2, 5, 6, 10, 11, 15, 19, 20, 21, 22, 23, 30, 31, 53, 74, 75)",[0.68533569 0.69353832 0.68619661],0.6883568725752697,"('Green', 'Red', 'NDVI', 'MTCI', 'EXGR', 'RDVI', 'SCCI', 'GARI', 'GCI', 'GLI', 'NLI', 'MNLI', 'GRVI', 'WDRVI', 'MODE Relative humidity in 2m', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
18,"(1, 2, 5, 6, 10, 11, 15, 19, 20, 21, 22, 23, 26, 30, 31, 53, 74, 75)",[0.68695658 0.69398035 0.68848762],0.6898081837354271,"('Green', 'Red', 'NDVI', 'MTCI', 'EXGR', 'RDVI', 'SCCI', 'GARI', 'GCI', 'GLI', 'NLI', 'MNLI', 'OSAVI', 'GRVI', 'WDRVI', 'MODE Relative humidity in 2m', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
19,"(1, 2, 5, 6, 10, 11, 15, 19, 20, 21, 22, 23, 24, 26, 30, 31, 53, 74, 75)",[0.68891609 0.69565518 0.68865654],0.6910759345989727,"('Green', 'Red', 'NDVI', 'MTCI', 'EXGR', 'RDVI', 'SCCI', 'GARI', 'GCI', 'GLI', 'NLI', 'MNLI', 'SAVI', 'OSAVI', 'GRVI', 'WDRVI', 'MODE Relative humidity in 2m', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
20,"(1, 2, 4, 5, 6, 10, 11, 15, 19, 20, 21, 22, 23, 24, 26, 30, 31, 53, 74, 75)",[0.68976593 0.69709815 0.68856667],0.6918102465622272,"('Green', 'Red', 'NIR', 'NDVI', 'MTCI', 'EXGR', 'RDVI', 'SCCI', 'GARI', 'GCI', 'GLI', 'NLI', 'MNLI', 'SAVI', 'OSAVI', 'GRVI', 'WDRVI', 'MODE Relative humidity in 2m', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
21,"(1, 2, 4, 5, 6, 8, 10, 11, 15, 19, 20, 21, 22, 23, 24, 26, 30, 31, 53, 74, 75)",[0.69126982 0.70007863 0.69052845],0.6939589685839097,"('Green', 'Red', 'NIR', 'NDVI', 'MTCI', 'GDVI', 'EXGR', 'RDVI', 'SCCI', 'GARI', 'GCI', 'GLI', 'NLI', 'MNLI', 'SAVI', 'OSAVI', 'GRVI', 'WDRVI', 'MODE Relative humidity in 2m', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
22,"(1, 2, 4, 5, 6, 8, 10, 11, 15, 18, 19, 20, 21, 22, 23, 24, 26, 30, 31, 53, 74, 75)",[0.69170231 0.70168999 0.69275594],0.6953827455886413,"('Green', 'Red', 'NIR', 'NDVI', 'MTCI', 'GDVI', 'EXGR', 'RDVI', 'SCCI', 'VARI', 'GARI', 'GCI', 'GLI', 'NLI', 'MNLI', 'SAVI', 'OSAVI', 'GRVI', 'WDRVI', 'MODE Relative humidity in 2m', 'MAX Maximum air temperature at 2m altitude (TX)', 'MAX Minimum air temperature at 2m altitude (TN)')"
