Model,Pipeline,Train_score,Test_score,Parameter_1,Parameter_2,Parameter_3,Parameter_4,Parameter_5,Parameter_6,Parameter_7,Parameter_8,Parameter_9,Parameter_10,DataTime
"LinearRegression(normalize=True, positive=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model', LinearRegression(normalize=True, positive=True))])",0.62844527857811,0.6488228640322207,True,True,True,True,,,,,,,2021-11-04 00:37:43.819334
"LinearRegression(fit_intercept=False, normalize=True, positive=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 LinearRegression(fit_intercept=False, normalize=True,
                                  positive=True))])",-0.4319729927994074,-0.501942990506054,True,True,True,False,,,,,,,2021-11-04 00:37:43.861222
LinearRegression(normalize=True),"Pipeline(steps=[('sc', StandardScaler()),
                ('model', LinearRegression(normalize=True))])",0.6973294705586472,0.7038658484915731,True,True,False,True,,,,,,,2021-11-04 00:37:43.923056
"LinearRegression(fit_intercept=False, normalize=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 LinearRegression(fit_intercept=False, normalize=True))])",0.6621231266536078,0.6703959043881798,True,True,False,False,,,,,,,2021-11-04 00:37:43.978908
"LinearRegression(copy_X=False, normalize=True, positive=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 LinearRegression(copy_X=False, normalize=True,
                                  positive=True))])",0.62844527857811,0.6488228640322207,True,False,True,True,,,,,,,2021-11-04 00:37:44.028777
"LinearRegression(copy_X=False, fit_intercept=False, normalize=True,
                 positive=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 LinearRegression(copy_X=False, fit_intercept=False,
                                  normalize=True, positive=True))])",-0.4319729927994074,-0.501942990506054,True,False,True,False,,,,,,,2021-11-04 00:37:44.073653
"LinearRegression(copy_X=False, normalize=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model', LinearRegression(copy_X=False, normalize=True))])",0.6973294705586472,0.7038658484915731,True,False,False,True,,,,,,,2021-11-04 00:37:44.130502
"LinearRegression(copy_X=False, fit_intercept=False, normalize=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 LinearRegression(copy_X=False, fit_intercept=False,
                                  normalize=True))])",0.6621231266536078,0.6703959043881798,True,False,False,False,,,,,,,2021-11-04 00:37:44.184008
LinearRegression(positive=True),"Pipeline(steps=[('sc', StandardScaler()),
                ('model', LinearRegression(positive=True))])",0.6284461312184002,0.6488256647020967,False,True,True,True,,,,,,,2021-11-04 00:37:44.231882
"LinearRegression(fit_intercept=False, positive=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 LinearRegression(fit_intercept=False, positive=True))])",-0.4319729927994074,-0.501942990506054,False,True,True,False,,,,,,,2021-11-04 00:37:44.283742
LinearRegression(),"Pipeline(steps=[('sc', StandardScaler()), ('model', LinearRegression())])",0.6973334164449674,0.7038199155361207,False,True,False,True,,,,,,,2021-11-04 00:37:44.344968
LinearRegression(fit_intercept=False),"Pipeline(steps=[('sc', StandardScaler()),
                ('model', LinearRegression(fit_intercept=False))])",0.6621231266536078,0.6703959043881798,False,True,False,False,,,,,,,2021-11-04 00:37:44.394836
