Model,Aggregation_method,Train_field,Test_field,Training_features,Feature_Importances,RMSE_test,RMSE_train,R2_test,R2_train,GKF_CV,DataTime
LinearRegression(),Simpsons,all_mix,all_mix,"['spectral_indices_all', 'weather_features', 'base_indices']",,3.700092,3.534473,0.866568,0.879435,True,2021-12-01 02:52:45.603923
"RandomForestRegressor(n_jobs=-1, random_state=1)",Simpsons,all_mix,all_mix,"['spectral_indices_all', 'weather_features', 'base_indices']","[0.01404948 0.00278746 0.05506607 0.00359696 0.00287407 0.06261106
 0.01141812 0.00130582 0.00195058 0.00289008 0.00600658 0.00107239
 0.00096748 0.01016483 0.0043224  0.02149557 0.0085582  0.00165735
 0.00566045 0.00701603 0.00341611 0.01058379 0.00757427 0.00176007
 0.00157992 0.00514368 0.00256235 0.00645683 0.00329253 0.00323756
 0.00253056 0.00358231 0.00746089 0.00490436 0.02067909 0.03490689
 0.00842136 0.01278168 0.00193434 0.0082604  0.0128771  0.
 0.00720013 0.00705918 0.0133139  0.0071735  0.00173271 0.00097665
 0.01462357 0.00110875 0.00681878 0.         0.         0.0007218
 0.00196679 0.01986952 0.01518766 0.00092042 0.00603626 0.01847505
 0.00092195 0.01518903 0.00163272 0.         0.01919095 0.01336703
 0.00618579 0.00712993 0.         0.00825862 0.00095001 0.00838666
 0.00175878 0.00634369 0.00091413 0.01951381 0.01429035 0.00102957
 0.00082536 0.02097385 0.00253003 0.01231917 0.03455204 0.02045933
 0.0016258  0.02009652 0.00704119 0.         0.02184427 0.
 0.00067191 0.0144008  0.         0.02478222 0.00159889 0.01419508
 0.02500767 0.00085466 0.01421344 0.00610798 0.03871534 0.01256057
 0.00165371 0.00259564 0.00634462 0.01910776 0.01944533 0.00092563
 0.00607683 0.         0.00165143 0.00171849 0.00743968]",3.649188,1.297581,0.870346,0.983748,True,2021-12-01 02:52:55.064487
GradientBoostingRegressor(random_state=1),Simpsons,all_mix,all_mix,"['spectral_indices_all', 'weather_features', 'base_indices']","[6.15613731e-03 3.58430627e-03 3.34069422e-02 1.02305518e-03
 1.42478279e-03 7.54153955e-02 4.38872935e-03 2.87373006e-04
 2.06330973e-03 7.43232934e-04 9.26761841e-03 1.63006422e-03
 1.93170946e-04 6.99613215e-03 1.37762767e-03 1.53332300e-02
 1.25678575e-02 6.20943165e-04 6.23014854e-04 2.93077514e-03
 2.19545076e-04 1.13777957e-02 6.36169759e-03 1.39935210e-03
 1.45705743e-05 3.83557766e-03 1.08455247e-03 6.19236730e-03
 3.36914704e-03 1.54093289e-03 8.76152046e-04 7.59837897e-04
 5.40659823e-03 3.11139445e-04 0.00000000e+00 0.00000000e+00
 1.24864285e-02 1.12324813e-02 1.66881212e-04 2.37952038e-03
 8.19234571e-03 2.05033865e-04 8.29596027e-04 6.82043185e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 2.76999348e-04
 6.88719936e-04 2.14510578e-04 2.85649432e-03 5.34068225e-03
 0.00000000e+00 4.66964599e-04 3.83627660e-04 1.02309902e-02
 8.65630601e-02 4.11672518e-03 1.28244924e-04 2.29499424e-01
 0.00000000e+00 0.00000000e+00 5.20930777e-04 2.94845615e-02
 1.03274160e-04 1.60637016e-04 5.37721559e-03 8.29989927e-03
 0.00000000e+00 1.29376633e-03 7.61665198e-03 0.00000000e+00
 7.74634471e-03 0.00000000e+00 3.19985240e-04 1.92024333e-02
 2.12119142e-02 1.93803505e-02 3.14349048e-04 1.98555420e-04
 0.00000000e+00 1.54153438e-02 0.00000000e+00 1.18066525e-02
 7.79074560e-04 2.31376040e-03 5.28193713e-03 0.00000000e+00
 3.58107271e-02 0.00000000e+00 5.66936555e-05 0.00000000e+00
 0.00000000e+00 5.45812027e-02 3.36254358e-05 2.55529781e-04
 0.00000000e+00 3.44819629e-04 2.68299654e-02 4.42107742e-02
 8.58539123e-04 1.06373923e-03 1.60140314e-04 1.01182521e-03
 3.53644301e-04 3.87051361e-03 2.91039963e-04 2.69502594e-03
 1.84975098e-04 9.55236874e-04 1.44426538e-04 3.79052358e-05
 2.17599990e-03]",3.641917,2.478058,0.871226,0.940728,True,2021-12-01 02:53:06.963768
Lasso(random_state=1),Simpsons,all_mix,all_mix,"['spectral_indices_all', 'weather_features', 'base_indices']",,4.641491,4.639720,0.791597,0.792307,True,2021-12-01 02:53:07.646751
"Lasso(alpha=0, max_iter=50000, random_state=1, selection='random')",Simpsons,all_mix,all_mix,"['spectral_indices_all', 'weather_features', 'base_indices']",,3.730727,3.570248,0.864427,0.876983,True,2021-12-01 02:54:12.325807
LinearRegression(),Simpsons,Masbasis_2019_Simps,Masbasis_2019_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']",,1.143514,1.030399,0.663101,0.734848,True,2021-12-01 02:54:12.457728
"RandomForestRegressor(n_jobs=-1, random_state=1)",Simpsons,Masbasis_2019_Simps,Masbasis_2019_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']","[0.02673578 0.00567782 0.01356162 0.01195633 0.02989539 0.10470081
 0.02086637 0.00865544 0.02241788 0.00537543 0.00685525 0.00430196
 0.00919777 0.00741852 0.00900373 0.01478329 0.01596456 0.01242657
 0.01490053 0.02365576 0.03396897 0.01515962 0.39120325 0.00849705
 0.00532705 0.03914184 0.0131619  0.0143025  0.00682154 0.01878328
 0.03654249 0.01588519 0.0328545  0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",1.268436,0.460072,0.585652,0.947122,True,2021-12-01 02:54:15.491730
GradientBoostingRegressor(random_state=1),Simpsons,Masbasis_2019_Simps,Masbasis_2019_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']","[2.75695731e-02 2.44001835e-03 1.79854429e-02 3.76856130e-03
 2.73215995e-02 1.55126081e-01 1.62071990e-02 2.12539037e-02
 3.95760156e-02 6.32346053e-03 6.60054183e-03 7.14120835e-05
 4.32747246e-04 2.58331337e-03 4.97171881e-03 5.48966646e-03
 1.31612068e-02 2.05075388e-03 8.43838862e-03 3.37135759e-02
 2.90658931e-02 8.23374013e-03 3.91619946e-01 4.03219887e-03
 7.94285068e-04 3.72399250e-02 4.63616869e-03 6.16926894e-03
 2.44832572e-03 1.23331094e-02 3.85704721e-02 4.64867680e-03
 6.51228101e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00]",1.256485,0.497977,0.594752,0.937951,True,2021-12-01 02:54:19.129784
Lasso(random_state=1),Simpsons,Masbasis_2019_Simps,Masbasis_2019_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']",,1.836554,1.850155,0.135660,0.144799,True,2021-12-01 02:54:19.221015
"Lasso(alpha=0, max_iter=50000, random_state=1, selection='random')",Simpsons,Masbasis_2019_Simps,Masbasis_2019_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']",,1.119049,1.041155,0.676715,0.729299,True,2021-12-01 02:54:45.449141
