Model,Aggregation_method,Train_field,Test_field,Training_features,Feature_Importances,RMSE_test,RMSE_train,R2_test,R2_train,GKF_CV,DataTime
LinearRegression(),Simpsons,all_mix,all_mix,"['spectral_indices_all', 'weather_features', 'base_indices']",,3.476536,3.289248,0.879047,0.891925,True,2021-12-03 23:10:51.734352
"RandomForestRegressor(n_jobs=-1, random_state=1)",Simpsons,all_mix,all_mix,"['spectral_indices_all', 'weather_features', 'base_indices']","[0.01211542 0.00528872 0.11151944 0.00379466 0.00164296 0.0075867
 0.01133071 0.00096785 0.00133016 0.00336394 0.00756052 0.00094596
 0.00120674 0.01179389 0.00405284 0.01623305 0.00769674 0.00064097
 0.00606652 0.00343337 0.00296375 0.00397604 0.00699127 0.00097295
 0.00095452 0.00250059 0.00201414 0.00314219 0.00152177 0.00272473
 0.00311379 0.00173948 0.00778796 0.00252888 0.02168998 0.03308655
 0.0086611  0.01320097 0.00305536 0.00863502 0.01388778 0.
 0.00649504 0.00863551 0.01345844 0.00920693 0.00098684 0.00085304
 0.0144207  0.00088058 0.00649618 0.00087709 0.         0.
 0.00137703 0.0202715  0.01667267 0.00102959 0.00732999 0.02162656
 0.         0.01552538 0.         0.         0.02065146 0.01420779
 0.00755368 0.00740822 0.         0.00733512 0.         0.00830019
 0.         0.00885181 0.00192573 0.02047118 0.01380023 0.
 0.00296362 0.02042014 0.00266673 0.01289141 0.03427374 0.0205184
 0.         0.0227415  0.00627049 0.         0.02172966 0.0009564
 0.         0.01339839 0.         0.02602369 0.         0.01422538
 0.02589392 0.00189759 0.01389293 0.00634003 0.04127268 0.01504324
 0.00282666 0.00286564 0.006635   0.01957578 0.02198218 0.00192502
 0.00925868 0.00170841 0.         0.00182357 0.00761066]",3.408362,1.258664,0.883635,0.984172,True,2021-12-03 23:11:16.245264
GradientBoostingRegressor(random_state=1),Simpsons,all_mix,all_mix,"['spectral_indices_all', 'weather_features', 'base_indices']","[5.82605111e-03 3.01701251e-03 9.42668041e-02 3.76836488e-03
 8.31319251e-04 1.95605667e-02 1.21235755e-04 6.61147231e-04
 1.12433634e-03 2.09578150e-03 7.24314853e-03 2.72568145e-04
 2.94405050e-06 8.80937988e-03 4.12139697e-04 1.04650823e-02
 1.13335878e-02 1.77518217e-04 7.19859101e-04 1.54516576e-03
 4.18114303e-04 2.19550281e-03 5.07575860e-03 3.01394167e-04
 2.91240505e-04 4.97177592e-03 9.52428178e-04 2.79698537e-03
 3.37886373e-04 1.64231913e-03 2.32068368e-04 1.11840192e-04
 5.82750852e-03 2.98988682e-04 6.63373397e-05 4.48279981e-03
 2.26982541e-02 5.81206432e-04 2.87821840e-03 1.63400648e-02
 6.97090581e-02 1.02118083e-04 5.90396870e-04 1.26236863e-03
 3.71206381e-02 1.06247612e-01 3.92859059e-05 7.30203163e-04
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.03807386e-03
 0.00000000e+00 5.07517065e-04 9.83481508e-05 1.27623177e-04
 7.45239026e-03 7.40768205e-05 1.22165648e-02 7.61442589e-04
 1.32293332e-01 1.08303800e-04 1.21509176e-04 2.01999430e-02
 8.65620116e-02 0.00000000e+00 1.90237388e-03 1.46617223e-04
 0.00000000e+00 5.72852456e-02 0.00000000e+00 8.51549133e-03
 0.00000000e+00 9.78111858e-03 6.48543007e-03 1.75627299e-04
 1.07529249e-02 1.71556923e-04 0.00000000e+00 2.25036293e-04
 4.26661106e-04 0.00000000e+00 1.30447076e-03 6.54281344e-03
 4.61728085e-02 1.39068631e-03 1.77702623e-02 0.00000000e+00
 5.23441310e-05 8.09368899e-03 3.00939232e-02 6.68840512e-03
 0.00000000e+00 0.00000000e+00 3.00705584e-04 1.51125246e-02
 1.37629279e-02 1.61404969e-04 4.72581999e-04 0.00000000e+00
 0.00000000e+00 4.93122338e-05 0.00000000e+00 3.42067386e-03
 4.14458822e-04 0.00000000e+00 2.49647816e-02 0.00000000e+00
 0.00000000e+00 1.84288749e-04 3.15307731e-04 1.74602421e-03
 0.00000000e+00]",3.405372,2.264917,0.884014,0.948725,True,2021-12-03 23:11:46.078344
"Lasso(alpha=0, max_iter=50000, random_state=1, selection='random')",Simpsons,all_mix,all_mix,"['spectral_indices_all', 'weather_features', 'base_indices']",,3.480709,3.296655,0.878746,0.891438,True,2021-12-03 23:13:23.327468
LinearRegression(),Simpsons,Masbasis_2019_Simps,Masbasis_2019_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']",,1.092077,0.979647,0.671116,0.746910,True,2021-12-03 23:13:23.642281
"RandomForestRegressor(n_jobs=-1, random_state=1)",Simpsons,Masbasis_2019_Simps,Masbasis_2019_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']","[0.02505309 0.00506504 0.01505775 0.01008583 0.012035   0.11665266
 0.01562095 0.00605826 0.01977926 0.00505283 0.00716062 0.00424144
 0.0098008  0.00806127 0.00602114 0.01176007 0.0209039  0.00726008
 0.00967208 0.0120795  0.04712585 0.01675917 0.38404212 0.00829896
 0.00306259 0.03977596 0.01571963 0.01539781 0.00821628 0.02432693
 0.04833756 0.01484104 0.04667453 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",1.220844,0.463337,0.593364,0.943383,True,2021-12-03 23:13:32.772815
GradientBoostingRegressor(random_state=1),Simpsons,Masbasis_2019_Simps,Masbasis_2019_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']","[1.65137094e-02 8.04091774e-03 2.14042261e-02 1.04324916e-02
 6.45114870e-03 1.58516071e-01 2.02265115e-02 9.13756252e-03
 1.74011923e-02 2.41786067e-03 4.39177668e-03 3.31020334e-04
 2.20437764e-03 2.33091451e-03 5.98270668e-03 6.75477613e-03
 1.33161016e-02 1.19620325e-03 8.99774385e-04 2.85788541e-02
 5.60438365e-02 7.35659303e-03 3.89556310e-01 2.00104377e-02
 4.39670775e-04 4.05189310e-02 8.59586338e-03 1.24848687e-02
 2.62823756e-03 1.61277959e-02 3.67273061e-02 3.85592247e-03
 6.91260299e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00]",1.208692,0.459458,0.599991,0.944224,True,2021-12-03 23:13:40.540735
"Lasso(alpha=0, max_iter=50000, random_state=1, selection='random')",Simpsons,Masbasis_2019_Simps,Masbasis_2019_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']",,1.066142,0.996561,0.686362,0.738080,True,2021-12-03 23:13:58.532272
LinearRegression(),Simpsons,Masbasis_2020_Simps,Masbasis_2020_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']",,1.320525,1.195676,0.823668,0.867832,True,2021-12-03 23:13:58.877353
"RandomForestRegressor(n_jobs=-1, random_state=1)",Simpsons,Masbasis_2020_Simps,Masbasis_2020_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']","[0.01043212 0.04524244 0.04137251 0.02837683 0.00357445 0.05053575
 0.00677048 0.00237692 0.00165163 0.01383792 0.00789729 0.00144587
 0.00161865 0.22252583 0.00658236 0.38555161 0.013276   0.00273811
 0.00651078 0.00690087 0.00307015 0.00989471 0.00256367 0.0030174
 0.00501497 0.02482301 0.0102661  0.04331678 0.02404508 0.00248557
 0.00335074 0.00444253 0.00449087 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",1.404467,0.514117,0.805575,0.975588,True,2021-12-03 23:14:05.621137
