Model,Aggregation_method,Train_field,Test_field,Training_features,Feature_Importances,RMSE_test,RMSE_train,R2_test,R2_train,GKF_CV,DataTime
LinearRegression(),Simpsons,all_mix,all_mix,"['weather_features', 'base_indices']",,4.94335,4.928747,0.763342,0.765618,TRUE,41:46.3
"RandomForestRegressor(n_jobs=-1, random_state=1)",Simpsons,all_mix,all_mix,"['weather_features', 'base_indices']","[0.03392895 0.02651423 0.13055764 0.03152507 0.06212598 0.0017844
 0.00303982 0.01334725 0.01309197 0.00630285 0.00151632 0.01330416
 0.02766944 0.00171385 0.001917   0.03128184 0.00632128 0.02699593
 0.00105683 0.         0.00093932 0.00182511 0.01994893 0.00176861
 0.         0.         0.         0.00792077 0.00626024 0.00115643
 0.0210314  0.0142911  0.0082669  0.01275958 0.         0.01969398
 0.01497644 0.02067218 0.03193862 0.02707851 0.         0.00092699
 0.00251769 0.02581506 0.00215848 0.01896875 0.0018338  0.01523433
 0.03264055 0.         0.00096318 0.00606677 0.00084005 0.01954629
 0.01247934 0.00076779 0.01265054 0.00803058 0.02088373 0.00925113
 0.01304411 0.00082536 0.00693346 0.         0.         0.
 0.         0.02051288 0.0205948  0.00160639 0.02035653 0.00972445
 0.         0.00800231 0.         0.00277431 0.00077642 0.01969152
 0.01236912 0.00180542 0.00616828 0.         0.00097047 0.00089594
 0.01685026]",4.241447,1.531388,0.823477,0.977357,TRUE,41:52.6
GradientBoostingRegressor(random_state=1),Simpsons,all_mix,all_mix,"['weather_features', 'base_indices']","[7.09037142e-03 9.47576330e-03 1.18940430e-01 1.34840755e-02
 5.31673477e-02 0.00000000e+00 1.89700653e-04 1.29683065e-04
 1.44707199e-03 4.47741854e-03 0.00000000e+00 1.84875806e-04
 2.41039735e-04 2.09240442e-04 6.78059217e-04 6.92982787e-02
 5.06880363e-04 0.00000000e+00 7.04360149e-04 1.01369673e-02
 1.17198896e-04 7.96638304e-03 0.00000000e+00 4.61052483e-03
 0.00000000e+00 0.00000000e+00 9.82781069e-05 0.00000000e+00
 1.12170141e-04 2.10397929e-04 9.47508199e-03 0.00000000e+00
 1.30561338e-01 1.41442366e-02 9.94571569e-05 1.51471107e-02
 2.70868400e-03 1.19624792e-02 2.35781949e-03 4.26356021e-05
 0.00000000e+00 7.30429313e-02 3.81381408e-03 1.45912634e-03
 1.49142947e-04 6.89103210e-05 1.82417140e-04 1.08598371e-01
 1.68980515e-04 8.71811460e-05 3.57990355e-04 4.75331778e-04
 5.01499446e-04 5.95335385e-03 1.57687347e-02 3.68744124e-02
 5.21675153e-04 1.08230947e-01 2.49924904e-02 1.85063644e-02
 8.78249075e-04 0.00000000e+00 5.78078168e-05 1.77693114e-04
 0.00000000e+00 0.00000000e+00 6.62921815e-03 1.92738187e-03
 2.49672058e-04 1.06958686e-03 1.81467281e-04 4.85430709e-03
 6.30877198e-03 3.01916681e-02 0.00000000e+00 2.09464915e-04
 0.00000000e+00 0.00000000e+00 5.61316058e-02 3.45357765e-04
 0.00000000e+00 0.00000000e+00 6.98232962e-04 1.27440866e-04
 2.33041902e-04]",4.010738,2.952387,0.843565,0.915856,TRUE,41:56.7
"RandomForestRegressor(max_depth=100, min_samples_split=400, n_estimators=50,
                      n_jobs=-1, random_state=1)",Simpsons,all_mix,all_mix,"['weather_features', 'base_indices']","[0.         0.         0.         0.         0.         0.
 0.0027137  0.01766809 0.         0.         0.00242939 0.01748629
 0.03564167 0.         0.00288543 0.03680149 0.         0.02169683
 0.         0.         0.         0.         0.03727028 0.
 0.         0.         0.         0.02221057 0.01699077 0.00318439
 0.0525066  0.039951   0.02065256 0.01745995 0.         0.0349503
 0.02753405 0.04190649 0.0199459  0.04094835 0.         0.00252512
 0.         0.0399963  0.         0.03795666 0.         0.01717187
 0.05234809 0.00248505 0.         0.         0.00239866 0.0546635
 0.01738376 0.         0.00221367 0.01993226 0.02241236 0.
 0.0195968  0.         0.0021297  0.         0.         0.
 0.00542606 0.01757061 0.02291781 0.00733136 0.04034682 0.02241762
 0.         0.01745583 0.         0.         0.         0.0178703
 0.         0.00232287 0.         0.         0.         0.
 0.0402928 ]",5.452772,5.453218,0.712667,0.713109,TRUE,41:58.7
"Lasso(alpha=0, max_iter=50000, random_state=1, selection='random')",Simpsons,all_mix,all_mix,"['weather_features', 'base_indices']",,4.94382,4.928716,0.763296,0.765621,TRUE,42:28.8
LinearRegression(),Simpsons,Masbasis_2019_Simps,Masbasis_2019_Simps,"['weather_features', 'base_indices']",,1.505413,1.430299,0.420417,0.489321,TRUE,42:28.9
"RandomForestRegressor(n_jobs=-1, random_state=1)",Simpsons,Masbasis_2019_Simps,Masbasis_2019_Simps,"['weather_features', 'base_indices']","[0.19916971 0.14816501 0.35965773 0.09331167 0.19969588 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",1.616851,0.584923,0.320867,0.914517,TRUE,42:31.3
GradientBoostingRegressor(random_state=1),Simpsons,Masbasis_2019_Simps,Masbasis_2019_Simps,"['weather_features', 'base_indices']","[0.15398923 0.12490184 0.42153625 0.07915561 0.22041707 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",1.616348,0.804155,0.323193,0.838129,TRUE,42:32.9
"RandomForestRegressor(max_depth=100, min_samples_split=400, n_estimators=50,
                      n_jobs=-1, random_state=1)",Simpsons,Masbasis_2019_Simps,Masbasis_2019_Simps,"['weather_features', 'base_indices']","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",1.986545,2.001208,-0.015992,-0.000063,TRUE,42:34.7
"Lasso(alpha=0, max_iter=50000, random_state=1, selection='random')",Simpsons,Masbasis_2019_Simps,Masbasis_2019_Simps,"['weather_features', 'base_indices']",,1.505413,1.430299,0.420417,0.489321,TRUE,42:37.9
LinearRegression(),Simpsons,Masbasis_2020_Simps,Masbasis_2020_Simps,"['weather_features', 'base_indices']",,2.255019,2.201658,0.574973,0.609277,TRUE,42:38.0
"RandomForestRegressor(n_jobs=-1, random_state=1)",Simpsons,Masbasis_2020_Simps,Masbasis_2020_Simps,"['weather_features', 'base_indices']","[0.04503777 0.03594814 0.06843424 0.18439844 0.66618142 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",1.842986,0.694295,0.714185,0.961113,TRUE,42:40.4
