Model,Aggregation_method,Train_field,Test_field,Training_features,Feature_Importances,RMSE_test,RMSE_train,R2_test,R2_train,GKF_CV,DataTime
LinearRegression(),Simpsons,all_mix,all_mix,"['weather_features', 'base_indices']",,71.965817,71.703738,0.574506,0.578309,True,2021-11-15 21:46:31.566186
"RandomForestRegressor(n_jobs=-1, random_state=1)",Simpsons,all_mix,all_mix,"['weather_features', 'base_indices']","[7.39175728e-02 4.94601358e-02 2.21784575e-01 7.56513142e-02
 1.66453123e-01 4.28558020e-04 4.04793754e-04 1.19316198e-03
 2.89961124e-04 3.32852017e-03 1.18911325e-03 3.21737357e-03
 8.37182887e-03 1.84924221e-04 4.26584259e-04 3.83096003e-03
 1.63789620e-03 2.61008320e-03 6.33274897e-03 3.32032632e-03
 7.40494447e-03 2.88687561e-03 7.22621333e-04 1.52938496e-02
 0.00000000e+00 3.45017218e-03 8.65994853e-03 2.92593627e-03
 1.81467710e-03 1.76438985e-04 6.07590017e-04 2.68343004e-03
 7.50779109e-04 3.22895262e-03 5.32632078e-04 5.95678345e-03
 1.22867523e-02 8.21083461e-04 8.26080110e-04 3.15040079e-02
 0.00000000e+00 2.59672955e-02 3.13608329e-02 2.08675842e-03
 3.70003215e-04 1.12395922e-02 1.11618343e-03 2.34760586e-02
 2.14325273e-03 9.08506225e-03 2.01577237e-04 1.18245922e-02
 1.27082792e-02 7.97587096e-04 1.09899358e-03 3.52322713e-03
 2.65608286e-03 7.84129295e-03 6.56758407e-04 9.72653315e-03
 1.46472954e-02 2.26698812e-04 5.15225626e-04 1.89673268e-03
 0.00000000e+00 1.32781510e-03 9.67439017e-04 1.15437287e-02
 1.16338701e-03 1.93515846e-04 9.83255739e-04 3.78814632e-03
 1.77564429e-03 3.00390866e-03 8.84294195e-03 5.62210829e-03
 9.67099745e-03 4.34892427e-03 1.53086653e-03 1.86662657e-03
 1.98887181e-02 2.34511069e-03 7.30543915e-03 3.87178764e-03
 8.22661250e-03]",60.590751,22.617333,0.698202,0.958040,True,2021-11-15 21:46:43.929739
GradientBoostingRegressor(random_state=1),Simpsons,all_mix,all_mix,"['weather_features', 'base_indices']","[3.39945991e-02 7.41039110e-03 2.26615075e-01 4.53578391e-02
 1.38755516e-01 4.04817392e-03 1.67676254e-04 1.18476817e-04
 2.66816548e-04 0.00000000e+00 0.00000000e+00 9.33074529e-03
 5.96520176e-02 1.69530331e-04 1.92250335e-03 0.00000000e+00
 1.11596036e-02 0.00000000e+00 6.62582901e-03 4.65081772e-02
 0.00000000e+00 0.00000000e+00 1.77498924e-03 3.32820984e-04
 0.00000000e+00 1.88090217e-04 0.00000000e+00 6.64829686e-03
 1.92039220e-06 0.00000000e+00 2.66217574e-04 2.20999347e-03
 1.24629911e-03 3.38216689e-03 0.00000000e+00 0.00000000e+00
 2.50236085e-03 4.97190092e-04 1.10185761e-04 9.77086097e-03
 0.00000000e+00 7.56923998e-04 1.05402383e-03 2.27289880e-03
 2.64606100e-03 2.88346638e-03 1.85787690e-06 1.32477997e-02
 8.16186540e-03 0.00000000e+00 0.00000000e+00 1.74100061e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 2.73735222e-02
 4.01285814e-03 5.08835935e-02 9.19643655e-03 1.89446526e-02
 2.72175726e-03 0.00000000e+00 9.32210037e-04 0.00000000e+00
 0.00000000e+00 2.33325637e-03 0.00000000e+00 0.00000000e+00
 3.92704096e-02 9.51128443e-04 2.75842985e-04 2.09987629e-02
 2.28090266e-03 1.39448260e-02 8.11888338e-07 7.08858059e-02
 3.10898355e-03 1.15434421e-03 9.14323123e-03 0.00000000e+00
 4.31590410e-02 0.00000000e+00 1.72993649e-03 4.16976389e-04
 6.81144483e-03]",61.062823,55.647466,0.693237,0.746003,True,2021-11-15 21:46:54.717067
"RandomForestRegressor(max_depth=100, min_samples_split=400, n_estimators=50,
                      n_jobs=-1, random_state=1)",Simpsons,all_mix,all_mix,"['weather_features', 'base_indices']","[1.78639986e-03 5.87435368e-04 2.45385501e-01 1.08691187e-02
 9.29216500e-02 0.00000000e+00 1.00866419e-03 4.21234031e-04
 4.89619419e-04 2.69694144e-03 1.75914187e-03 9.54776430e-03
 1.76049301e-02 0.00000000e+00 0.00000000e+00 4.60060447e-03
 4.38214969e-03 3.42398403e-03 1.14426308e-02 0.00000000e+00
 2.59681943e-03 9.51403914e-03 9.39933413e-04 1.04851288e-02
 0.00000000e+00 4.92575289e-03 1.52240837e-02 3.14590509e-04
 3.29387386e-03 0.00000000e+00 2.69638231e-04 7.12281147e-03
 0.00000000e+00 6.07826730e-03 1.35086153e-03 9.85441614e-03
 2.02247218e-02 3.40421599e-04 2.58829633e-04 6.66812657e-02
 0.00000000e+00 2.81995837e-02 7.10078384e-02 0.00000000e+00
 0.00000000e+00 1.12467030e-02 2.07192872e-04 2.70589496e-02
 2.91485031e-03 9.21820745e-03 0.00000000e+00 1.12305141e-02
 3.61298680e-02 0.00000000e+00 0.00000000e+00 2.58792444e-03
 3.32873549e-03 2.59635553e-02 0.00000000e+00 1.04547643e-02
 2.87705254e-02 0.00000000e+00 2.99910541e-04 7.03992218e-03
 0.00000000e+00 1.92499749e-03 5.40793624e-04 1.81816403e-02
 7.86809313e-04 4.52591304e-04 1.17106785e-03 0.00000000e+00
 4.26262365e-03 3.13196633e-03 2.05315032e-02 9.47010104e-03
 9.91693824e-03 5.08412171e-03 3.02135920e-03 3.31152668e-03
 3.58056865e-02 4.34755578e-03 9.60645034e-03 1.02604696e-02
 1.41295280e-02]",70.702007,69.249825,0.589231,0.606672,True,2021-11-15 21:46:58.848863
"Lasso(alpha=0, max_iter=50000, random_state=1, selection='random')",Simpsons,all_mix,all_mix,"['weather_features', 'base_indices']",,71.965817,71.703738,0.574506,0.578309,True,2021-11-15 21:48:47.054521
LinearRegression(),Simpsons,Graminor_2019_Simps,Graminor_2019_Simps,"['weather_features', 'base_indices']",,40.924887,40.399216,0.323347,0.355023,True,2021-11-15 21:48:47.155255
"RandomForestRegressor(n_jobs=-1, random_state=1)",Simpsons,Graminor_2019_Simps,Graminor_2019_Simps,"['weather_features', 'base_indices']","[0.13543268 0.12624861 0.18311446 0.23774014 0.31746411 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",44.008923,16.154108,0.216245,0.896842,True,2021-11-15 21:48:49.756018
GradientBoostingRegressor(random_state=1),Simpsons,Graminor_2019_Simps,Graminor_2019_Simps,"['weather_features', 'base_indices']","[0.09295974 0.07944011 0.21600009 0.2825628  0.32903726 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",44.157310,26.367693,0.212008,0.725180,True,2021-11-15 21:48:51.537861
"RandomForestRegressor(max_depth=100, min_samples_split=400, n_estimators=50,
                      n_jobs=-1, random_state=1)",Simpsons,Graminor_2019_Simps,Graminor_2019_Simps,"['weather_features', 'base_indices']","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",50.522197,50.305735,-0.031492,-0.000060,True,2021-11-15 21:48:53.295440
"Lasso(alpha=0, max_iter=50000, random_state=1, selection='random')",Simpsons,Graminor_2019_Simps,Graminor_2019_Simps,"['weather_features', 'base_indices']",,40.924887,40.399216,0.323347,0.355023,True,2021-11-15 21:48:56.681379
