Model,Aggregation_method,Train_field,Test_field,Training_features,Feature_Importances,RMSE_test,RMSE_train,R2_test,R2_train,GKF_CV,DataTime
LinearRegression(),Simpsons,all_mix,all_mix,"['spectral_indices_all', 'weather_features', 'base_indices']",,0.598481,0.590827,0.705617,0.713691,True,2021-12-01 03:30:01.931177
"RandomForestRegressor(n_jobs=-1, random_state=1)",Simpsons,all_mix,all_mix,"['spectral_indices_all', 'weather_features', 'base_indices']","[2.46423973e-02 1.15229171e-02 1.40925114e-02 1.01846835e-02
 4.42044678e-03 2.26773369e-02 1.38026753e-01 2.99841395e-03
 4.27434506e-03 9.36079822e-03 1.18008744e-02 2.85158318e-03
 2.66680737e-03 1.90348678e-02 2.01739241e-02 1.86959897e-02
 1.72520513e-02 4.09577284e-03 1.64075673e-02 1.64796340e-02
 1.42647104e-01 1.63164934e-02 1.14136122e-02 5.00847866e-03
 2.53700938e-03 4.46454183e-03 7.78502755e-03 1.31778962e-02
 3.22845924e-03 7.13895067e-03 8.31864532e-03 3.17989807e-02
 1.43057408e-02 2.18522113e-04 1.49035077e-04 1.28601063e-04
 1.09023864e-04 4.82440067e-04 3.89530652e-04 1.43044126e-02
 3.31458966e-04 1.21500409e-04 2.05874806e-04 3.51778107e-04
 1.24135575e-04 3.29910249e-04 5.07096623e-05 5.63396638e-03
 4.86086269e-04 1.17881957e-04 1.95710411e-04 5.00511729e-02
 0.00000000e+00 1.43897457e-04 9.91551385e-03 3.99664063e-04
 8.71497034e-03 1.00845908e-04 2.28976721e-04 2.65810094e-04
 1.52904363e-04 6.18547198e-04 8.93921200e-05 8.25176192e-03
 7.32194936e-04 2.52975758e-04 1.47805480e-04 5.62900068e-03
 0.00000000e+00 1.43418976e-02 2.27777113e-02 5.90932395e-04
 4.30344744e-04 3.44466764e-02 7.39350520e-05 2.83396056e-02
 8.31274092e-03 2.83006793e-03 3.45242887e-03 2.49329548e-02
 5.24610799e-03 2.53328319e-04 1.76111309e-04 5.07242673e-04
 7.05085936e-03 6.24812338e-04 6.12307987e-04 7.31232976e-04
 3.46785240e-03 3.24555502e-04 1.99240578e-04 1.75378662e-04
 0.00000000e+00 8.16871389e-04 7.18634649e-04 5.70410538e-03
 2.90171052e-04 1.54674850e-04 6.31738662e-05 1.81494169e-04
 5.90342460e-05 5.96246743e-04 8.19264380e-04 1.44477428e-02
 2.89190449e-03 5.45378544e-05 3.67480401e-04 1.33933444e-04
 2.51905470e-02 5.71396407e-04 1.39976680e-03 3.62373158e-02
 1.76751495e-04]",0.576023,0.213980,0.727097,0.962442,True,2021-12-01 03:30:26.319831
GradientBoostingRegressor(random_state=1),Simpsons,all_mix,all_mix,"['spectral_indices_all', 'weather_features', 'base_indices']","[1.06715751e-02 2.70871146e-03 3.78357859e-03 1.61268892e-03
 1.80250611e-03 4.95148980e-03 2.18208628e-01 3.17285868e-04
 1.00979802e-03 3.89481267e-03 1.37489850e-03 4.65870100e-04
 9.13057446e-04 3.33657881e-03 1.16974937e-02 6.48226128e-03
 2.97353847e-02 1.39155431e-03 1.04752943e-02 2.83988423e-03
 6.04015631e-02 2.13895872e-02 2.79164026e-03 2.03590335e-03
 1.65254058e-04 3.68665595e-04 1.17366272e-03 1.48735493e-02
 9.27149142e-04 8.05363425e-04 1.03007141e-02 7.24611099e-02
 3.32838378e-02 0.00000000e+00 2.18444165e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.53503000e-04 0.00000000e+00
 3.59198565e-02 0.00000000e+00 1.51402747e-04 0.00000000e+00
 4.85225414e-02 2.03380372e-03 3.33871346e-04 0.00000000e+00
 1.75593996e-05 6.93750563e-03 2.14153834e-05 1.27527251e-01
 0.00000000e+00 0.00000000e+00 1.56674827e-02 2.11533330e-03
 4.69080358e-03 0.00000000e+00 0.00000000e+00 5.10550120e-03
 0.00000000e+00 5.16419813e-04 0.00000000e+00 3.40379704e-03
 1.50405910e-04 9.62638394e-05 7.96541999e-05 4.69877943e-03
 0.00000000e+00 1.65139707e-04 6.33098513e-03 2.84740475e-03
 0.00000000e+00 1.38686976e-02 1.45333180e-02 2.45742480e-02
 1.14030417e-02 1.28147270e-02 2.04775324e-03 0.00000000e+00
 1.46059049e-02 3.01569323e-04 0.00000000e+00 3.49458669e-04
 0.00000000e+00 3.43979208e-03 1.26937532e-04 2.01559696e-03
 8.13620933e-04 0.00000000e+00 9.55829618e-05 0.00000000e+00
 0.00000000e+00 9.98586045e-03 7.93208601e-05 3.19473648e-05
 0.00000000e+00 0.00000000e+00 1.68355576e-06 2.37324187e-02
 0.00000000e+00 0.00000000e+00 3.45353574e-04 0.00000000e+00
 0.00000000e+00 3.09855332e-04 0.00000000e+00 0.00000000e+00
 1.30458262e-02 0.00000000e+00 5.38100441e-04 4.43800220e-02
 1.02885607e-04]",0.585826,0.513537,0.717724,0.783691,True,2021-12-01 03:31:07.901033
Lasso(random_state=1),Simpsons,all_mix,all_mix,"['spectral_indices_all', 'weather_features', 'base_indices']",,1.104072,1.104185,-0.001989,0.000000,True,2021-12-01 03:31:09.127167
"Lasso(alpha=0, max_iter=50000, random_state=1, selection='random')",Simpsons,all_mix,all_mix,"['spectral_indices_all', 'weather_features', 'base_indices']",,0.602963,0.594891,0.701118,0.709738,True,2021-12-01 03:35:11.700495
LinearRegression(),Simpsons,Graminor_2019_Simps,Graminor_2019_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']",,0.384150,0.353614,0.401744,0.505770,True,2021-12-01 03:35:11.815947
"RandomForestRegressor(n_jobs=-1, random_state=1)",Simpsons,Graminor_2019_Simps,Graminor_2019_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']","[0.03356081 0.02018129 0.03343701 0.02488713 0.02675507 0.01448457
 0.37472204 0.01034214 0.02656538 0.01859035 0.01673823 0.01054748
 0.007495   0.01749091 0.02879891 0.03813949 0.04228066 0.01221833
 0.02435106 0.01350134 0.01633526 0.02576626 0.02864935 0.02000131
 0.00709751 0.01214272 0.01003985 0.01336004 0.00841667 0.01206803
 0.01565854 0.01446779 0.02090946 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",0.406918,0.151100,0.328108,0.909716,True,2021-12-01 03:35:14.677861
GradientBoostingRegressor(random_state=1),Simpsons,Graminor_2019_Simps,Graminor_2019_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']","[4.04527950e-02 1.60563175e-02 2.95707049e-02 1.05865831e-02
 2.59855951e-02 1.08581017e-02 4.30994885e-01 2.77087279e-02
 2.19282812e-02 1.12033967e-02 1.30405852e-02 1.04755584e-02
 3.35148280e-03 1.73162469e-02 1.81753122e-02 2.92602418e-02
 4.01382008e-02 1.59770690e-02 2.41880135e-02 2.89618323e-03
 1.57174395e-02 3.90268854e-02 4.42716356e-02 2.68076562e-02
 3.39647246e-04 1.19535300e-02 8.10571483e-03 2.81082745e-03
 2.73773277e-03 4.74949534e-03 1.12314152e-02 6.28501510e-03
 2.57987233e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00]",0.415503,0.214575,0.300664,0.818019,True,2021-12-01 03:35:18.343449
Lasso(random_state=1),Simpsons,Graminor_2019_Simps,Graminor_2019_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']",,0.505116,0.503042,-0.031093,0.000000,True,2021-12-01 03:35:18.431654
"Lasso(alpha=0, max_iter=50000, random_state=1, selection='random')",Simpsons,Graminor_2019_Simps,Graminor_2019_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']",,0.385581,0.363532,0.398948,0.477740,True,2021-12-01 03:36:10.979408
