Model,Aggregation_method,Train_field,Test_field,Training_features,Feature_Importances,RMSE_test,RMSE_train,R2_test,R2_train,GKF_CV,DataTime
LinearRegression(),Simpsons,all_mix,all_mix,"['spectral_indices_all', 'weather_features', 'base_indices']",,0.570866,0.563229,0.710413,0.720298,True,2021-12-03 23:43:23.362579
"RandomForestRegressor(n_jobs=-1, random_state=1)",Simpsons,all_mix,all_mix,"['spectral_indices_all', 'weather_features', 'base_indices']","[2.43408811e-02 9.55991287e-03 1.30935416e-02 9.63263046e-03
 4.15564206e-03 1.14255837e-02 6.59792540e-02 2.71554641e-03
 4.08010485e-03 8.71757668e-03 1.00649360e-02 2.99869741e-03
 3.13096285e-03 1.42536837e-02 6.32224771e-02 1.36854708e-02
 1.05245613e-02 3.68070181e-03 1.80839833e-02 1.36099532e-02
 1.57728058e-01 1.35663035e-02 1.35980932e-02 4.37432345e-03
 3.69394618e-03 5.20584482e-03 5.76060568e-03 8.82614288e-03
 2.92009895e-03 1.44540830e-02 1.43707912e-02 5.19864082e-02
 2.90769067e-02 1.50663599e-04 1.36387080e-04 2.04214855e-04
 1.10564407e-04 3.18731197e-04 2.87403294e-04 1.41114462e-02
 3.19827784e-03 2.65340781e-04 1.01700814e-04 2.45058291e-04
 1.06511907e-04 5.49309121e-05 8.90954383e-03 1.38283732e-02
 8.54471423e-05 1.37937774e-02 1.41521379e-04 2.31341191e-02
 0.00000000e+00 3.71335109e-05 1.71227777e-02 3.84803655e-04
 5.83036123e-03 2.71268783e-04 2.28303089e-04 1.24465585e-04
 2.89623843e-04 1.75017754e-04 2.12510821e-04 8.45214181e-03
 8.38136163e-03 4.56960484e-04 2.23469076e-04 6.01645605e-03
 0.00000000e+00 8.58595242e-03 2.20365973e-02 2.90327532e-04
 2.56108384e-04 7.55633702e-03 5.76528774e-05 2.49202248e-02
 7.96038527e-03 5.46003677e-03 5.76045535e-03 1.74233268e-02
 1.44016822e-02 3.12513669e-04 2.00074015e-04 3.84301619e-04
 6.01163031e-03 4.20138276e-04 4.57560543e-04 6.81456592e-04
 1.19371912e-02 5.72043347e-05 2.76018366e-04 2.64012947e-04
 0.00000000e+00 1.77909327e-04 1.41826849e-04 2.21979533e-02
 1.12320193e-02 3.58404687e-04 2.12331284e-04 8.38688004e-05
 8.51814181e-05 1.88475098e-04 1.09635164e-04 1.15764153e-02
 2.07268875e-04 2.94827081e-04 1.58154046e-04 1.13687920e-04
 2.03697518e-02 1.81816092e-04 8.17080336e-03 2.55537181e-02
 2.96638787e-03]",0.567208,0.210313,0.714558,0.961002,True,2021-12-03 23:44:01.479971
GradientBoostingRegressor(random_state=1),Simpsons,all_mix,all_mix,"['spectral_indices_all', 'weather_features', 'base_indices']","[1.06796779e-02 5.41019670e-03 2.83025037e-03 5.05232770e-03
 9.81880496e-04 1.71995303e-03 1.03707629e-01 6.73662312e-04
 1.28159597e-03 3.36458145e-03 5.05782033e-03 5.07222209e-04
 8.63432686e-05 6.87501656e-03 4.19567785e-02 3.87520295e-03
 2.81730207e-03 7.85707278e-04 1.37755550e-02 4.46105293e-04
 1.33623087e-01 6.81723822e-03 5.09753910e-03 7.99688130e-04
 3.37890570e-03 6.48836933e-04 3.04011097e-04 8.54041178e-04
 6.14167589e-03 2.10263173e-02 5.54323468e-03 9.75396146e-02
 3.74686562e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.58811631e-02 2.04965538e-03 3.05225419e-04
 3.09381940e-05 0.00000000e+00 0.00000000e+00 8.84470134e-03
 6.66698658e-05 0.00000000e+00 0.00000000e+00 1.93568628e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.58376697e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.70384091e-03
 9.84519059e-03 0.00000000e+00 1.83080106e-04 0.00000000e+00
 1.08424069e-04 0.00000000e+00 3.96788804e-04 2.06278200e-04
 2.59314712e-04 0.00000000e+00 0.00000000e+00 7.55060953e-05
 0.00000000e+00 7.79311533e-04 1.22601191e-02 7.03652886e-03
 0.00000000e+00 7.27447482e-04 0.00000000e+00 9.11355609e-02
 1.81389780e-02 1.71464293e-04 0.00000000e+00 0.00000000e+00
 6.92137609e-02 2.96336830e-04 1.59651355e-04 0.00000000e+00
 9.09314067e-03 4.61077415e-02 4.06632534e-05 2.30586131e-03
 2.18485366e-04 0.00000000e+00 1.41510169e-04 0.00000000e+00
 0.00000000e+00 1.44597725e-03 4.43992593e-06 5.67783545e-03
 4.13675678e-03 0.00000000e+00 0.00000000e+00 1.20711853e-02
 7.77650868e-03 0.00000000e+00 0.00000000e+00 2.38973615e-02
 4.35570523e-04 3.29601801e-05 0.00000000e+00 1.35171633e-04
 8.50767264e-02 1.20889393e-07 9.79935160e-04 3.82461094e-04
 9.53666061e-05]",0.571649,0.495609,0.710002,0.783447,True,2021-12-03 23:44:35.784578
"Lasso(alpha=0, max_iter=50000, random_state=1, selection='random')",Simpsons,all_mix,all_mix,"['spectral_indices_all', 'weather_features', 'base_indices']",,0.571149,0.563742,0.710165,0.719789,True,2021-12-03 23:47:07.657601
LinearRegression(),Simpsons,Graminor_2019_Simps,Graminor_2019_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']",,0.399172,0.357133,0.369963,0.506973,True,2021-12-03 23:47:07.776282
"RandomForestRegressor(n_jobs=-1, random_state=1)",Simpsons,Graminor_2019_Simps,Graminor_2019_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']","[0.03592463 0.01759087 0.03451314 0.02342394 0.01713592 0.01479737
 0.40423028 0.00883397 0.01813289 0.01424989 0.0154981  0.01491971
 0.00775253 0.01729906 0.02046134 0.03111356 0.03396797 0.01290002
 0.02733284 0.01508282 0.01268718 0.02579124 0.03722289 0.01548572
 0.0083892  0.01204757 0.01354408 0.01827963 0.00911389 0.01263255
 0.01254625 0.01480213 0.02229684 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",0.400455,0.151218,0.361589,0.911570,True,2021-12-03 23:47:11.352377
GradientBoostingRegressor(random_state=1),Simpsons,Graminor_2019_Simps,Graminor_2019_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']","[0.04521535 0.01231243 0.02149258 0.02109009 0.01337661 0.00514774
 0.43818104 0.00660389 0.03509592 0.00332822 0.00941857 0.02362735
 0.00839455 0.01115396 0.01367304 0.01298205 0.03988761 0.0110602
 0.04275424 0.00337216 0.01277436 0.02770922 0.05431214 0.0346184
 0.00183387 0.00624594 0.01017344 0.00620658 0.00774028 0.01208955
 0.0129076  0.00585865 0.02936235 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",0.402425,0.178168,0.353650,0.877060,True,2021-12-03 23:47:14.752944
"Lasso(alpha=0, max_iter=50000, random_state=1, selection='random')",Simpsons,Graminor_2019_Simps,Graminor_2019_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']",,0.396470,0.364744,0.378313,0.485708,True,2021-12-03 23:47:20.290639
LinearRegression(),Simpsons,Graminor_2020_Simps,Graminor_2020_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']",,0.431459,0.413245,0.808883,0.826768,True,2021-12-03 23:47:20.410319
"RandomForestRegressor(n_jobs=-1, random_state=1)",Simpsons,Graminor_2020_Simps,Graminor_2020_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']","[0.01189169 0.00566111 0.03574804 0.01505235 0.00575877 0.00653705
 0.01360353 0.00358202 0.00359668 0.00566637 0.00758995 0.00584325
 0.00399319 0.01018414 0.00795983 0.00960144 0.00835288 0.00425471
 0.00805628 0.00861993 0.11030007 0.00724195 0.00780664 0.0027494
 0.00388682 0.0057841  0.00449861 0.00753807 0.00338967 0.00698734
 0.00679032 0.55804879 0.09342503 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",0.450105,0.166642,0.792679,0.971835,True,2021-12-03 23:47:25.073820
GradientBoostingRegressor(random_state=1),Simpsons,Graminor_2020_Simps,Graminor_2020_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']","[3.47178135e-03 6.08574318e-03 1.14235478e-02 1.82723811e-02
 2.82333946e-03 4.76250369e-03 2.26172119e-02 3.40698048e-03
 9.69860081e-04 5.27865120e-03 4.69921844e-03 2.24993475e-03
 1.31994020e-03 1.37995292e-02 3.85449577e-03 6.36723287e-03
 6.55218751e-03 1.71138287e-03 4.49041422e-03 9.04113865e-03
 8.91051386e-02 6.74727224e-03 4.52186469e-03 3.76946373e-04
 1.88687654e-03 2.75505555e-03 5.22140521e-03 6.07413527e-03
 1.13077985e-03 3.50903785e-03 1.11476750e-02 4.65531681e-01
 2.68794657e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00]",0.452529,0.268426,0.790574,0.926921,True,2021-12-03 23:47:29.499868
"Lasso(alpha=0, max_iter=50000, random_state=1, selection='random')",Simpsons,Graminor_2020_Simps,Graminor_2020_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']",,0.431169,0.417105,0.809293,0.823521,True,2021-12-03 23:47:37.876500
LinearRegression(),Simpsons,Masbasis_2019_Simps,Masbasis_2019_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']",,0.451094,0.403903,0.607018,0.692608,True,2021-12-03 23:47:38.008147
