Model,Pipeline,Train_score,Test_score,Parameter_1,Parameter_2,Parameter_3,Parameter_4,Parameter_5,Parameter_6,Parameter_7,Parameter_8,Parameter_9,Parameter_10,DataTime
"Lasso(alpha=0.0, max_iter=50, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=50, random_state=1,
                       warm_start=True))])",0.856645764,0.851375944,0,50,cyclic,CYCLE1,,,,,,,12:25.0
"Lasso(alpha=0.0, max_iter=50, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=50, random_state=1,
                       selection='random', warm_start=True))])",0.856743286,0.852991444,0,50,random,CYCLE1,,,,,,,12:25.0
"Lasso(alpha=0.0, max_iter=100, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=100, random_state=1,
                       warm_start=True))])",0.859247388,0.855239533,0,100,cyclic,CYCLE1,,,,,,,12:25.1
"Lasso(alpha=0.0, max_iter=100, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=100, random_state=1,
                       selection='random', warm_start=True))])",0.85989794,0.856535518,0,100,random,CYCLE1,,,,,,,12:25.1
"Lasso(alpha=0.0, max_iter=150, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=150, random_state=1,
                       warm_start=True))])",0.860237065,0.856642452,0,150,cyclic,CYCLE1,,,,,,,12:25.1
"Lasso(alpha=0.0, max_iter=150, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=150, random_state=1,
                       selection='random', warm_start=True))])",0.860911248,0.857730489,0,150,random,CYCLE1,,,,,,,12:25.2
"Lasso(alpha=0.0, max_iter=200, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=200, random_state=1,
                       warm_start=True))])",0.860772598,0.857310844,0,200,cyclic,CYCLE1,,,,,,,12:25.2
"Lasso(alpha=0.0, max_iter=200, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=200, random_state=1,
                       selection='random', warm_start=True))])",0.861468513,0.858256463,0,200,random,CYCLE1,,,,,,,12:25.2
"Lasso(alpha=0.0, max_iter=250, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=250, random_state=1,
                       warm_start=True))])",0.861112979,0.857663203,0,250,cyclic,CYCLE1,,,,,,,12:25.2
"Lasso(alpha=0.0, max_iter=250, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=250, random_state=1,
                       selection='random', warm_start=True))])",0.861881711,0.858443503,0,250,random,CYCLE1,,,,,,,12:25.3
"Lasso(alpha=0.0, max_iter=300, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=300, random_state=1,
                       warm_start=True))])",0.861358516,0.857862738,0,300,cyclic,CYCLE1,,,,,,,12:25.3
"Lasso(alpha=0.0, max_iter=300, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=300, random_state=1,
                       selection='random', warm_start=True))])",0.862188355,0.858615492,0,300,random,CYCLE1,,,,,,,12:25.4
"Lasso(alpha=0.0, max_iter=350, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=350, random_state=1,
                       warm_start=True))])",0.86155128,0.857982222,0,350,cyclic,CYCLE1,,,,,,,12:25.4
"Lasso(alpha=0.0, max_iter=350, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=350, random_state=1,
                       selection='random', warm_start=True))])",0.862448988,0.858629674,0,350,random,CYCLE1,,,,,,,12:25.4
"Lasso(alpha=0.0, max_iter=400, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=400, random_state=1,
                       warm_start=True))])",0.861710384,0.858056795,0,400,cyclic,CYCLE1,,,,,,,12:25.5
"Lasso(alpha=0.0, max_iter=400, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=400, random_state=1,
                       selection='random', warm_start=True))])",0.862667904,0.858797009,0,400,random,CYCLE1,,,,,,,12:25.5
"Lasso(alpha=0.0, max_iter=450, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=450, random_state=1,
                       warm_start=True))])",0.861845465,0.858104403,0,450,cyclic,CYCLE1,,,,,,,12:25.6
"Lasso(alpha=0.0, max_iter=450, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=450, random_state=1,
                       selection='random', warm_start=True))])",0.862876996,0.858885931,0,450,random,CYCLE1,,,,,,,12:25.6
"Lasso(alpha=0.0, max_iter=500, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=500, random_state=1,
                       warm_start=True))])",0.86196195,0.858134556,0,500,cyclic,CYCLE1,,,,,,,12:25.6
"Lasso(alpha=0.0, max_iter=500, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=500, random_state=1,
                       selection='random', warm_start=True))])",0.863053815,0.858913562,0,500,random,CYCLE1,,,,,,,12:25.7
"Lasso(alpha=0.0, max_iter=550, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=550, random_state=1,
                       warm_start=True))])",0.862063232,0.85815245,0,550,cyclic,CYCLE1,,,,,,,12:25.8
"Lasso(alpha=0.0, max_iter=550, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=550, random_state=1,
                       selection='random', warm_start=True))])",0.863210127,0.859073716,0,550,random,CYCLE1,,,,,,,12:25.8
"Lasso(alpha=0.0, max_iter=600, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=600, random_state=1,
                       warm_start=True))])",0.862151663,0.858161033,0,600,cyclic,CYCLE1,,,,,,,12:25.9
"Lasso(alpha=0.0, max_iter=600, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=600, random_state=1,
                       selection='random', warm_start=True))])",0.863340022,0.859012152,0,600,random,CYCLE1,,,,,,,12:25.9
"Lasso(alpha=0.0, max_iter=650, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=650, random_state=1,
                       warm_start=True))])",0.862229033,0.858162083,0,650,cyclic,CYCLE1,,,,,,,12:26.0
"Lasso(alpha=0.0, max_iter=650, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=650, random_state=1,
                       selection='random', warm_start=True))])",0.863461377,0.859093335,0,650,random,CYCLE1,,,,,,,12:26.1
"Lasso(alpha=0.0, max_iter=700, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=700, random_state=1,
                       warm_start=True))])",0.862296809,0.858156781,0,700,cyclic,CYCLE1,,,,,,,12:26.1
"Lasso(alpha=0.0, max_iter=700, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=700, random_state=1,
                       selection='random', warm_start=True))])",0.863566883,0.859082993,0,700,random,CYCLE1,,,,,,,12:26.2
"Lasso(alpha=0.0, max_iter=750, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=750, random_state=1,
                       warm_start=True))])",0.862356261,0.858146008,0,750,cyclic,CYCLE1,,,,,,,12:26.3
"Lasso(alpha=0.0, max_iter=750, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=750, random_state=1,
                       selection='random', warm_start=True))])",0.863655375,0.859124367,0,750,random,CYCLE1,,,,,,,12:26.4
"Lasso(alpha=0.0, max_iter=800, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=800, random_state=1,
                       warm_start=True))])",0.862408516,0.858130488,0,800,cyclic,CYCLE1,,,,,,,12:26.4
"Lasso(alpha=0.0, max_iter=800, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=800, random_state=1,
                       selection='random', warm_start=True))])",0.863738679,0.859088387,0,800,random,CYCLE1,,,,,,,12:26.5
"Lasso(alpha=0.0, max_iter=850, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=850, random_state=1,
                       warm_start=True))])",0.862454587,0.858110866,0,850,cyclic,CYCLE1,,,,,,,12:26.6
"Lasso(alpha=0.0, max_iter=850, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=850, random_state=1,
                       selection='random', warm_start=True))])",0.863815375,0.859149987,0,850,random,CYCLE1,,,,,,,12:26.7
"Lasso(alpha=0.0, max_iter=900, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=900, random_state=1,
                       warm_start=True))])",0.862495382,0.858087733,0,900,cyclic,CYCLE1,,,,,,,12:26.7
"Lasso(alpha=0.0, max_iter=900, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=900, random_state=1,
                       selection='random', warm_start=True))])",0.863887878,0.859172905,0,900,random,CYCLE1,,,,,,,12:26.8
