Plot_ID,GrainYield,Line,Days2Heading,Blue,Green,Red,RedEdge,NIR,NDVI,MTCI,DVI,GDVI,MTCI_CI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR,Days2Maturity,MEAN Average temperature at 2m altitude (TM),MEAN Maximum air temperature at 2m altitude (TX),MEAN Minimum air temperature at 2m altitude (TN),MEAN Precipitation (RR),MEAN Relative humidity in 2m,MEAN Relative humidity in 2m.1,MEAN last minute value (UU),MEAN Leaf moisture at 2m height (BT),MEAN 10 min lubricant (FF2),MEAN 5 sec medium,MEAN gusts of wind (FG2),MEAN Wind speed in 2m,MEDIAN Average temperature at 2m altitude (TM),MEDIAN Maximum air temperature at 2m altitude (TX),MEDIAN Minimum air temperature at 2m altitude (TN),MEDIAN Precipitation (RR),MEDIAN Relative humidity in 2m,MEDIAN Relative humidity in 2m.1,MEDIAN last minute value (UU),MEDIAN Leaf moisture at 2m height (BT),MEDIAN 10 min lubricant (FF2),MEDIAN 5 sec medium,MEDIAN gusts of wind (FG2),MEDIAN Wind speed in 2m,MODE Average temperature at 2m altitude (TM),MODE Maximum air temperature at 2m altitude (TX),MODE Minimum air temperature at 2m altitude (TN),MODE Precipitation (RR),MODE Relative humidity in 2m,MODE Relative humidity in 2m.1,MODE last minute value (UU),MODE Leaf moisture at 2m height (BT),MODE 10 min lubricant (FF2),MODE 5 sec medium,MODE gusts of wind (FG2),MODE Wind speed in 2m,SUM Average temperature at 2m altitude (TM),SUM Maximum air temperature at 2m altitude (TX),SUM Minimum air temperature at 2m altitude (TN),SUM Precipitation (RR),SUM Relative humidity in 2m,SUM Relative humidity in 2m.1,SUM last minute value (UU),SUM Leaf moisture at 2m height (BT),SUM 10 min lubricant (FF2),SUM 5 sec medium,SUM gusts of wind (FG2),SUM Wind speed in 2m,MIN Average temperature at 2m altitude (TM),MIN Maximum air temperature at 2m altitude (TX),MIN Minimum air temperature at 2m altitude (TN),MIN Precipitation (RR),MIN Relative humidity in 2m,MIN Relative humidity in 2m.1,MIN last minute value (UU),MIN Leaf moisture at 2m height (BT),MIN 10 min lubricant (FF2),MIN 5 sec medium,MIN gusts of wind (FG2),MIN Wind speed in 2m,MAX Average temperature at 2m altitude (TM),MAX Maximum air temperature at 2m altitude (TX),MAX Minimum air temperature at 2m altitude (TN),MAX Precipitation (RR),MAX Relative humidity in 2m,MAX Relative humidity in 2m.1,MAX last minute value (UU),MAX Leaf moisture at 2m height (BT),MAX 10 min lubricant (FF2),MAX 5 sec medium,MAX gusts of wind (FG2),MAX Wind speed in 2m,STD_DEV Average temperature at 2m altitude (TM),STD_DEV Maximum air temperature at 2m altitude (TX),STD_DEV Minimum air temperature at 2m altitude (TN),STD_DEV Precipitation (RR),STD_DEV Relative humidity in 2m,STD_DEV Relative humidity in 2m.1,STD_DEV last minute value (UU),STD_DEV Leaf moisture at 2m height (BT),STD_DEV 10 min lubricant (FF2),STD_DEV 5 sec medium,STD_DEV gusts of wind (FG2),STD_DEV Wind speed in 2m,QUANTILE_25 Average temperature at 2m altitude (TM),QUANTILE_25 Maximum air temperature at 2m altitude (TX),QUANTILE_25 Minimum air temperature at 2m altitude (TN),QUANTILE_25 Precipitation (RR),QUANTILE_25 Relative humidity in 2m,QUANTILE_25 Relative humidity in 2m.1,QUANTILE_25 last minute value (UU),QUANTILE_25 Leaf moisture at 2m height (BT),QUANTILE_25 10 min lubricant (FF2),QUANTILE_25 5 sec medium,QUANTILE_25 gusts of wind (FG2),QUANTILE_25 Wind speed in 2m,QUANTILE_50 Average temperature at 2m altitude (TM),QUANTILE_50 Maximum air temperature at 2m altitude (TX),QUANTILE_50 Minimum air temperature at 2m altitude (TN),QUANTILE_50 Precipitation (RR),QUANTILE_50 Relative humidity in 2m,QUANTILE_50 Relative humidity in 2m.1,QUANTILE_50 last minute value (UU),QUANTILE_50 Leaf moisture at 2m height (BT),QUANTILE_50 10 min lubricant (FF2),QUANTILE_50 5 sec medium,QUANTILE_50 gusts of wind (FG2),QUANTILE_50 Wind speed in 2m,QUANTILE_75 Average temperature at 2m altitude (TM),QUANTILE_75 Maximum air temperature at 2m altitude (TX),QUANTILE_75 Minimum air temperature at 2m altitude (TN),QUANTILE_75 Precipitation (RR),QUANTILE_75 Relative humidity in 2m,QUANTILE_75 Relative humidity in 2m.1,QUANTILE_75 last minute value (UU),QUANTILE_75 Leaf moisture at 2m height (BT),QUANTILE_75 10 min lubricant (FF2),QUANTILE_75 5 sec medium,QUANTILE_75 gusts of wind (FG2),QUANTILE_75 Wind speed in 2m,Staur_Env,Vollebekk_Env
101,562.8306730661905,1521.0,45.0,-0.908117731101797,-2.544202152639622,-1.6423797300085494,-5.20266640624013,-19.05704456567765,-31.347451912034906,-153.99099834899795,-17.414664835669097,-16.51284241303803,-153.99099834899795,-2.5379068441688974,-2.7827773747965505,-23.346924202560864,-29.058091375562665,-28.387422265200065,-21.49212782176938,-25.10657687984861,49.28287301048124,-1080.952787045389,-13.170455626932064,-19.78370636366403,-262.6207788733211,-0.7060077265007754,-26.98638970053959,-15.23437823550331,-24.710305274485442,-22.87399222867026,-24.31273536420428,-22.24753819328695,-64.51222804306754,-551.5154727659506,-299.6207788733211,-5.663060927610679,-561.8819265540174,91.0,15.262162162162163,20.958558558558565,9.6990990990991,3.390196078431372,77.47027027027025,97.96036036036021,401.1261261261261,1.7756756756756753,15.809009009009012,15.798198198198195,14.875675675675675,15.597297297297299,15.3,20.4,10.1,0.2,79.9,99.9,377.0,1.7,15.5,16.0,15.1,15.8,16.8,17.7,11.3,0.0,73.3,99.9,0.0,1.5,5.4,15.7,14.8,15.2,1694.1,2326.4,1076.6,376.31176470588235,8599.199999999999,10873.599999999999,44525.0,197.1,1754.8000000000002,1753.6,1651.1999999999998,1731.3000000000002,7.8,11.6,-0.4,0.0,44.5,62.0,0.0,0.4,2.7,9.7,9.6,10.8,24.1,33.1,18.3,35.8,97.9,99.9,1440.0,3.7,29.9,20.5,19.0,19.5,3.1013209518190217,4.0747441295791464,3.404822662462373,6.5109908449122536,11.55460234628762,4.521630423546547,301.41596498457733,0.8021806888063668,7.467804223337669,2.206477323369125,1.9608076358395248,1.8781257320414586,13.2,18.45,7.65,0.0,68.7,97.85,159.0,1.2,9.75,14.8,13.85,14.350000000000001,15.3,20.4,10.1,0.2,79.9,99.9,377.0,1.7,15.5,16.0,15.1,15.8,16.9,23.3,12.1,3.390196078431372,85.6,99.9,585.5,2.2,22.25,17.1,16.0,16.9,1,0
102,494.11764705882365,1622.0,49.0,-0.7176499841734755,-2.024112492799764,-1.1260127676650917,-4.23563424750476,-18.210069179534905,-32.77305290798951,-180.8337965977068,-17.084056411869813,-16.18595668673514,-180.8337965977068,-2.204562233760961,-2.6522568518295966,-23.636418777030336,-29.10214686248576,-29.668371267420753,-23.318612446390837,-26.182376595696528,52.26000983143869,-1060.9673737175758,-15.226458827594364,-18.092712981281544,-316.95045859441916,-1.3865656399495612,-28.958599560210512,-15.226295914715871,-25.037562292218485,-23.172005565391324,-25.037239879982693,-22.906651874825407,-64.3777932113193,-691.5532229038652,-353.95045859441916,-10.096528546980617,-700.5092989493864,104.0,15.262162162162163,20.958558558558565,9.6990990990991,3.390196078431372,77.47027027027025,97.96036036036021,401.1261261261261,1.7756756756756753,15.809009009009012,15.798198198198195,14.875675675675675,15.597297297297299,15.3,20.4,10.1,0.2,79.9,99.9,377.0,1.7,15.5,16.0,15.1,15.8,16.8,17.7,11.3,0.0,73.3,99.9,0.0,1.5,5.4,15.7,14.8,15.2,1694.1,2326.4,1076.6,376.31176470588235,8599.199999999999,10873.599999999999,44525.0,197.1,1754.8000000000002,1753.6,1651.1999999999998,1731.3000000000002,7.8,11.6,-0.4,0.0,44.5,62.0,0.0,0.4,2.7,9.7,9.6,10.8,24.1,33.1,18.3,35.8,97.9,99.9,1440.0,3.7,29.9,20.5,19.0,19.5,3.1013209518190217,4.0747441295791464,3.404822662462373,6.5109908449122536,11.55460234628762,4.521630423546547,301.41596498457733,0.8021806888063668,7.467804223337669,2.206477323369125,1.9608076358395248,1.8781257320414586,13.2,18.45,7.65,0.0,68.7,97.85,159.0,1.2,9.75,14.8,13.85,14.350000000000001,15.3,20.4,10.1,0.2,79.9,99.9,377.0,1.7,15.5,16.0,15.1,15.8,16.9,23.3,12.1,3.390196078431372,85.6,99.9,585.5,2.2,22.25,17.1,16.0,16.9,1,0
103,548.2754771737916,1609.0,48.0,-0.8175372863188419,-2.1566427350044317,-1.310901555232708,-4.419621811598729,-19.211168304085728,-32.280094225670446,-184.12913257967804,-17.90026674885302,-17.0545255690813,-184.12913257967804,-2.184846628457313,-2.5062271861359533,-24.006575413828244,-29.81677986478874,-29.499350282347635,-23.251113402341204,-26.506407643800934,54.37336893518635,-1107.84565212205,-13.770128476722551,-19.34609519254799,-306.81006022665554,-0.5487661100681939,-28.364106993000064,-16.116766707872067,-25.395797524072318,-23.67065402980311,-25.006398264757998,-23.067014461915434,-65.56443174792514,-633.6396261828892,-343.81006022665554,-8.381225082386566,-643.1055012595552,101.0,15.262162162162163,20.958558558558565,9.6990990990991,3.390196078431372,77.47027027027025,97.96036036036021,401.1261261261261,1.7756756756756753,15.809009009009012,15.798198198198195,14.875675675675675,15.597297297297299,15.3,20.4,10.1,0.2,79.9,99.9,377.0,1.7,15.5,16.0,15.1,15.8,16.8,17.7,11.3,0.0,73.3,99.9,0.0,1.5,5.4,15.7,14.8,15.2,1694.1,2326.4,1076.6,376.31176470588235,8599.199999999999,10873.599999999999,44525.0,197.1,1754.8000000000002,1753.6,1651.1999999999998,1731.3000000000002,7.8,11.6,-0.4,0.0,44.5,62.0,0.0,0.4,2.7,9.7,9.6,10.8,24.1,33.1,18.3,35.8,97.9,99.9,1440.0,3.7,29.9,20.5,19.0,19.5,3.1013209518190217,4.0747441295791464,3.404822662462373,6.5109908449122536,11.55460234628762,4.521630423546547,301.41596498457733,0.8021806888063668,7.467804223337669,2.206477323369125,1.9608076358395248,1.8781257320414586,13.2,18.45,7.65,0.0,68.7,97.85,159.0,1.2,9.75,14.8,13.85,14.350000000000001,15.3,20.4,10.1,0.2,79.9,99.9,377.0,1.7,15.5,16.0,15.1,15.8,16.9,23.3,12.1,3.390196078431372,85.6,99.9,585.5,2.2,22.25,17.1,16.0,16.9,1,0
104,480.00000000000006,24.0,46.0,-0.43776126019656103,-1.2623983304947624,-0.635898116976028,-2.566573824733493,-11.493561565876004,-19.65221544735163,-101.34132625516506,-10.857663448899977,-10.231163235381242,-101.34132625516506,-1.4511372838169354,-1.823278250545258,-14.586521672296916,-18.099424625162598,-17.599087213931913,-13.917312671970764,-15.573915526708657,34.4652210919937,-676.5198154747479,-9.461470375806755,-11.1714914272277,-178.13661356454702,-1.1539731009384298,-17.60746582775006,-10.005393124315205,-15.430068465577145,-14.15336951778653,-15.208243771911075,-13.774702390822652,-39.515651128282556,-395.7557505244275,-200.13661356454705,-6.233428467143727,-400.9636320315403,84.0,15.262162162162163,20.958558558558565,9.6990990990991,3.390196078431372,77.47027027027025,97.96036036036021,401.1261261261261,1.7756756756756753,15.809009009009012,15.798198198198195,14.875675675675675,15.597297297297299,15.3,20.4,10.1,0.2,79.9,99.9,377.0,1.7,15.5,16.0,15.1,15.8,16.8,17.7,11.3,0.0,73.3,99.9,0.0,1.5,5.4,15.7,14.8,15.2,1694.1,2326.4,1076.6,376.31176470588235,8599.199999999999,10873.599999999999,44525.0,197.1,1754.8000000000002,1753.6,1651.1999999999998,1731.3000000000002,7.8,11.6,-0.4,0.0,44.5,62.0,0.0,0.4,2.7,9.7,9.6,10.8,24.1,33.1,18.3,35.8,97.9,99.9,1440.0,3.7,29.9,20.5,19.0,19.5,3.1013209518190217,4.0747441295791464,3.404822662462373,6.5109908449122536,11.55460234628762,4.521630423546547,301.41596498457733,0.8021806888063668,7.467804223337669,2.206477323369125,1.9608076358395248,1.8781257320414586,13.2,18.45,7.65,0.0,68.7,97.85,159.0,1.2,9.75,14.8,13.85,14.350000000000001,15.3,20.4,10.1,0.2,79.9,99.9,377.0,1.7,15.5,16.0,15.1,15.8,16.9,23.3,12.1,3.390196078431372,85.6,99.9,585.5,2.2,22.25,17.1,16.0,16.9,1,0
105,339.48788927335636,94.0,44.0,-1.1563650798052465,-3.0266705155372597,-1.758699921891094,-5.811270433681107,-20.674229860305797,-31.28832014202929,-147.15399647234972,-18.9155299384147,-17.64755934476854,-147.15399647234972,-3.1382760293781784,-3.7027666542679074,-24.324860931156657,-30.624695176427046,-27.630133499576687,-21.016700359688134,-24.606216819047287,51.707946168727595,-1185.6506200507288,-14.721717765923941,-20.221651120564076,-239.59305101356165,-0.730846993425533,-27.45441125048071,-17.139458617733766,-25.68167026596361,-23.241695979501497,-24.7368298170819,-22.0919927603425,-67.03780890902267,-519.2798611846565,-276.59305101356165,-4.906981915450539,-529.774110716915,94.0,15.262162162162163,20.958558558558565,9.6990990990991,3.390196078431372,77.47027027027025,97.96036036036021,401.1261261261261,1.7756756756756753,15.809009009009012,15.798198198198195,14.875675675675675,15.597297297297299,15.3,20.4,10.1,0.2,79.9,99.9,377.0,1.7,15.5,16.0,15.1,15.8,16.8,17.7,11.3,0.0,73.3,99.9,0.0,1.5,5.4,15.7,14.8,15.2,1694.1,2326.4,1076.6,376.31176470588235,8599.199999999999,10873.599999999999,44525.0,197.1,1754.8000000000002,1753.6,1651.1999999999998,1731.3000000000002,7.8,11.6,-0.4,0.0,44.5,62.0,0.0,0.4,2.7,9.7,9.6,10.8,24.1,33.1,18.3,35.8,97.9,99.9,1440.0,3.7,29.9,20.5,19.0,19.5,3.1013209518190217,4.0747441295791464,3.404822662462373,6.5109908449122536,11.55460234628762,4.521630423546547,301.41596498457733,0.8021806888063668,7.467804223337669,2.206477323369125,1.9608076358395248,1.8781257320414586,13.2,18.45,7.65,0.0,68.7,97.85,159.0,1.2,9.75,14.8,13.85,14.350000000000001,15.3,20.4,10.1,0.2,79.9,99.9,377.0,1.7,15.5,16.0,15.1,15.8,16.9,23.3,12.1,3.390196078431372,85.6,99.9,585.5,2.2,22.25,17.1,16.0,16.9,1,0
106,632.070543587454,1590.0,46.0,-0.8422802696004494,-2.2330532800406218,-1.3370311171747717,-4.500159109312652,-18.98733313381672,-32.38347747759988,-189.02742309347,-17.650302016641948,-16.754279853776097,-189.02742309347,-2.2867951733060217,-2.648004889301963,-23.850114633139953,-29.527184260764486,-29.42578022679834,-23.35643729158941,-26.481619156368385,52.56522844652524,-1094.859007513151,-14.585429252014833,-18.913362058513158,-313.5893117778809,-0.8384308272877314,-28.692790326890773,-15.824452096405274,-25.212935066461245,-23.393243216872794,-24.95089944066377,-22.898967192188962,-65.21509783119777,-667.9719753676125,-350.5893117778808,-9.0202039144596,-677.291448486249,97.0,15.262162162162163,20.958558558558565,9.6990990990991,3.390196078431372,77.47027027027025,97.96036036036021,401.1261261261261,1.7756756756756753,15.809009009009012,15.798198198198195,14.875675675675675,15.597297297297299,15.3,20.4,10.1,0.2,79.9,99.9,377.0,1.7,15.5,16.0,15.1,15.8,16.8,17.7,11.3,0.0,73.3,99.9,0.0,1.5,5.4,15.7,14.8,15.2,1694.1,2326.4,1076.6,376.31176470588235,8599.199999999999,10873.599999999999,44525.0,197.1,1754.8000000000002,1753.6,1651.1999999999998,1731.3000000000002,7.8,11.6,-0.4,0.0,44.5,62.0,0.0,0.4,2.7,9.7,9.6,10.8,24.1,33.1,18.3,35.8,97.9,99.9,1440.0,3.7,29.9,20.5,19.0,19.5,3.1013209518190217,4.0747441295791464,3.404822662462373,6.5109908449122536,11.55460234628762,4.521630423546547,301.41596498457733,0.8021806888063668,7.467804223337669,2.206477323369125,1.9608076358395248,1.8781257320414586,13.2,18.45,7.65,0.0,68.7,97.85,159.0,1.2,9.75,14.8,13.85,14.350000000000001,15.3,20.4,10.1,0.2,79.9,99.9,377.0,1.7,15.5,16.0,15.1,15.8,16.9,23.3,12.1,3.390196078431372,85.6,99.9,585.5,2.2,22.25,17.1,16.0,16.9,1,0
107,518.9436321017971,51.0,46.0,-0.8206358021125135,-2.1615346008911756,-1.1625206898897884,-4.3452682872654815,-19.224690385162823,-32.93297273027068,-191.1944324630427,-18.062169695273035,-17.06315578427165,-191.1944324630427,-2.339912709780049,-2.873918344825521,-24.3442162669907,-30.182915658853506,-29.696710610819657,-23.795894475489565,-26.631129420933135,54.54327599234537,-1123.6907381564376,-15.858901790783076,-18.56103582123994,-316.8408258280386,-1.1928039993865587,-29.662258545117105,-16.530589405074185,-25.746127682540113,-23.72859205945118,-25.430911682551873,-23.169924265104413,-66.19366767393811,-688.6116389881097,-353.8408258280386,-10.43164834982247,-697.4363242428519,106.0,15.262162162162163,20.958558558558565,9.6990990990991,3.390196078431372,77.47027027027025,97.96036036036021,401.1261261261261,1.7756756756756753,15.809009009009012,15.798198198198195,14.875675675675675,15.597297297297299,15.3,20.4,10.1,0.2,79.9,99.9,377.0,1.7,15.5,16.0,15.1,15.8,16.8,17.7,11.3,0.0,73.3,99.9,0.0,1.5,5.4,15.7,14.8,15.2,1694.1,2326.4,1076.6,376.31176470588235,8599.199999999999,10873.599999999999,44525.0,197.1,1754.8000000000002,1753.6,1651.1999999999998,1731.3000000000002,7.8,11.6,-0.4,0.0,44.5,62.0,0.0,0.4,2.7,9.7,9.6,10.8,24.1,33.1,18.3,35.8,97.9,99.9,1440.0,3.7,29.9,20.5,19.0,19.5,3.1013209518190217,4.0747441295791464,3.404822662462373,6.5109908449122536,11.55460234628762,4.521630423546547,301.41596498457733,0.8021806888063668,7.467804223337669,2.206477323369125,1.9608076358395248,1.8781257320414586,13.2,18.45,7.65,0.0,68.7,97.85,159.0,1.2,9.75,14.8,13.85,14.350000000000001,15.3,20.4,10.1,0.2,79.9,99.9,377.0,1.7,15.5,16.0,15.1,15.8,16.9,23.3,12.1,3.390196078431372,85.6,99.9,585.5,2.2,22.25,17.1,16.0,16.9,1,0
108,443.1244558544481,27.0,46.0,-0.7900946987792905,-2.136905035004014,-1.22402081172913,-4.380841389241644,-18.83225041627884,-32.620514977021344,-180.2196733694218,-17.608229604549713,-16.695345381274826,-180.2196733694218,-2.259694559499608,-2.6829704580828406,-23.901489056374444,-29.522632218041828,-29.58760991879534,-23.352659731573617,-26.407021348734915,52.605801232882456,-1093.0091452039783,-14.21851545180035,-18.660002940840286,-307.87650127026916,-0.9764461001532267,-28.897796577270668,-15.823127373579496,-25.264543706680165,-23.405179585355135,-25.06693365878653,-22.967002336397904,-65.0375722663926,-635.297591735636,-344.87650127026916,-9.081725959862208,-644.480521091625,120.0,15.262162162162163,20.958558558558565,9.6990990990991,3.390196078431372,77.47027027027025,97.96036036036021,401.1261261261261,1.7756756756756753,15.809009009009012,15.798198198198195,14.875675675675675,15.597297297297299,15.3,20.4,10.1,0.2,79.9,99.9,377.0,1.7,15.5,16.0,15.1,15.8,16.8,17.7,11.3,0.0,73.3,99.9,0.0,1.5,5.4,15.7,14.8,15.2,1694.1,2326.4,1076.6,376.31176470588235,8599.199999999999,10873.599999999999,44525.0,197.1,1754.8000000000002,1753.6,1651.1999999999998,1731.3000000000002,7.8,11.6,-0.4,0.0,44.5,62.0,0.0,0.4,2.7,9.7,9.6,10.8,24.1,33.1,18.3,35.8,97.9,99.9,1440.0,3.7,29.9,20.5,19.0,19.5,3.1013209518190217,4.0747441295791464,3.404822662462373,6.5109908449122536,11.55460234628762,4.521630423546547,301.41596498457733,0.8021806888063668,7.467804223337669,2.206477323369125,1.9608076358395248,1.8781257320414586,13.2,18.45,7.65,0.0,68.7,97.85,159.0,1.2,9.75,14.8,13.85,14.350000000000001,15.3,20.4,10.1,0.2,79.9,99.9,377.0,1.7,15.5,16.0,15.1,15.8,16.9,23.3,12.1,3.390196078431372,85.6,99.9,585.5,2.2,22.25,17.1,16.0,16.9,1,0
109,533.0094876660343,1587.0,47.0,-0.758899468928578,-2.1230512708425464,-1.0673559880815469,-4.308691343827741,-20.350233063101758,-33.45996396334548,-201.22042137744,-19.28287707502021,-18.227181792259213,-201.22042137744,-2.4198470846749682,-3.048599972203349,-25.353012601323968,-31.62917415241153,-30.18933203643676,-24.476878994499295,-26.95819408112741,63.45048748388919,-1199.2004358116524,-17.48517203341251,-19.53872913692016,-352.6995304023802,-2.1372114890029223,-30.913025325550706,-18.264543371202524,-26.773560322401035,-24.67502934634655,-26.12309032777743,-23.80456964086975,-68.71618944589649,-841.9883446130566,-389.6995304023801,-13.13855858052647,-850.1341183607925,106.0,15.262162162162163,20.958558558558565,9.6990990990991,3.390196078431372,77.47027027027025,97.96036036036021,401.1261261261261,1.7756756756756753,15.809009009009012,15.798198198198195,14.875675675675675,15.597297297297299,15.3,20.4,10.1,0.2,79.9,99.9,377.0,1.7,15.5,16.0,15.1,15.8,16.8,17.7,11.3,0.0,73.3,99.9,0.0,1.5,5.4,15.7,14.8,15.2,1694.1,2326.4,1076.6,376.31176470588235,8599.199999999999,10873.599999999999,44525.0,197.1,1754.8000000000002,1753.6,1651.1999999999998,1731.3000000000002,7.8,11.6,-0.4,0.0,44.5,62.0,0.0,0.4,2.7,9.7,9.6,10.8,24.1,33.1,18.3,35.8,97.9,99.9,1440.0,3.7,29.9,20.5,19.0,19.5,3.1013209518190217,4.0747441295791464,3.404822662462373,6.5109908449122536,11.55460234628762,4.521630423546547,301.41596498457733,0.8021806888063668,7.467804223337669,2.206477323369125,1.9608076358395248,1.8781257320414586,13.2,18.45,7.65,0.0,68.7,97.85,159.0,1.2,9.75,14.8,13.85,14.350000000000001,15.3,20.4,10.1,0.2,79.9,99.9,377.0,1.7,15.5,16.0,15.1,15.8,16.9,23.3,12.1,3.390196078431372,85.6,99.9,585.5,2.2,22.25,17.1,16.0,16.9,1,0
110,473.97789931912047,6.0,48.0,-0.7600412606261641,-2.0568082351237504,-1.0174044282175607,-4.163305092771511,-19.172113604843616,-33.351687023291994,-187.85950781098992,-18.154709176626056,-17.11530536971987,-187.85950781098992,-2.3361707814037764,-2.968612817022942,-24.573256026647492,-30.447514317513328,-29.92500338725162,-24.06042541039497,-26.63448263341151,57.111867612160964,-1130.8587028738111,-17.378387423852736,-18.27272359001516,-323.0546942802014,-1.9116667551145539,-30.319087391441865,-16.796144167364005,-26.005210146312795,-23.883537296082476,-25.726935184852444,-23.339561297298665,-66.62027188129287,-756.2940066081484,-360.0546942802014,-12.148979637588894,-764.6504936545068,106.0,15.262162162162163,20.958558558558565,9.6990990990991,3.390196078431372,77.47027027027025,97.96036036036021,401.1261261261261,1.7756756756756753,15.809009009009012,15.798198198198195,14.875675675675675,15.597297297297299,15.3,20.4,10.1,0.2,79.9,99.9,377.0,1.7,15.5,16.0,15.1,15.8,16.8,17.7,11.3,0.0,73.3,99.9,0.0,1.5,5.4,15.7,14.8,15.2,1694.1,2326.4,1076.6,376.31176470588235,8599.199999999999,10873.599999999999,44525.0,197.1,1754.8000000000002,1753.6,1651.1999999999998,1731.3000000000002,7.8,11.6,-0.4,0.0,44.5,62.0,0.0,0.4,2.7,9.7,9.6,10.8,24.1,33.1,18.3,35.8,97.9,99.9,1440.0,3.7,29.9,20.5,19.0,19.5,3.1013209518190217,4.0747441295791464,3.404822662462373,6.5109908449122536,11.55460234628762,4.521630423546547,301.41596498457733,0.8021806888063668,7.467804223337669,2.206477323369125,1.9608076358395248,1.8781257320414586,13.2,18.45,7.65,0.0,68.7,97.85,159.0,1.2,9.75,14.8,13.85,14.350000000000001,15.3,20.4,10.1,0.2,79.9,99.9,377.0,1.7,15.5,16.0,15.1,15.8,16.9,23.3,12.1,3.390196078431372,85.6,99.9,585.5,2.2,22.25,17.1,16.0,16.9,1,0
