Plot_ID,GrainYield,Name,Line,Maturity_Date,Days2Heading,Days2Maturity,Blue,Green,Red,RedEdge,NIR,NDVI,MTCI,DVI,GDVI,MTCI_CI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR,Lodging,MEAN Average temperature at 2m altitude (TM),MEAN Maximum air temperature at 2m altitude (TX),MEAN Minimum air temperature at 2m altitude (TN),MEAN Precipitation (RR),MEAN Relative humidity in 2m,MEAN Relative humidity in 2m.1,MEAN last minute value (UU),MEAN Leaf moisture at 2m height (BT),MEAN 10 min lubricant (FF2),MEAN 5 sec medium,MEAN gusts of wind (FG2),MEAN Wind speed in 2m,MEDIAN Average temperature at 2m altitude (TM),MEDIAN Maximum air temperature at 2m altitude (TX),MEDIAN Minimum air temperature at 2m altitude (TN),MEDIAN Precipitation (RR),MEDIAN Relative humidity in 2m,MEDIAN Relative humidity in 2m.1,MEDIAN last minute value (UU),MEDIAN Leaf moisture at 2m height (BT),MEDIAN 10 min lubricant (FF2),MEDIAN 5 sec medium,MEDIAN gusts of wind (FG2),MEDIAN Wind speed in 2m,MODE Average temperature at 2m altitude (TM),MODE Maximum air temperature at 2m altitude (TX),MODE Minimum air temperature at 2m altitude (TN),MODE Precipitation (RR),MODE Relative humidity in 2m,MODE Relative humidity in 2m.1,MODE last minute value (UU),MODE Leaf moisture at 2m height (BT),MODE 10 min lubricant (FF2),MODE 5 sec medium,MODE gusts of wind (FG2),MODE Wind speed in 2m,SUM Average temperature at 2m altitude (TM),SUM Maximum air temperature at 2m altitude (TX),SUM Minimum air temperature at 2m altitude (TN),SUM Precipitation (RR),SUM Relative humidity in 2m,SUM Relative humidity in 2m.1,SUM last minute value (UU),SUM Leaf moisture at 2m height (BT),SUM 10 min lubricant (FF2),SUM 5 sec medium,SUM gusts of wind (FG2),SUM Wind speed in 2m,MIN Average temperature at 2m altitude (TM),MIN Maximum air temperature at 2m altitude (TX),MIN Minimum air temperature at 2m altitude (TN),MIN Precipitation (RR),MIN Relative humidity in 2m,MIN Relative humidity in 2m.1,MIN last minute value (UU),MIN Leaf moisture at 2m height (BT),MIN 10 min lubricant (FF2),MIN 5 sec medium,MIN gusts of wind (FG2),MIN Wind speed in 2m,MAX Average temperature at 2m altitude (TM),MAX Maximum air temperature at 2m altitude (TX),MAX Minimum air temperature at 2m altitude (TN),MAX Precipitation (RR),MAX Relative humidity in 2m,MAX Relative humidity in 2m.1,MAX last minute value (UU),MAX Leaf moisture at 2m height (BT),MAX 10 min lubricant (FF2),MAX 5 sec medium,MAX gusts of wind (FG2),MAX Wind speed in 2m,STD_DEV Average temperature at 2m altitude (TM),STD_DEV Maximum air temperature at 2m altitude (TX),STD_DEV Minimum air temperature at 2m altitude (TN),STD_DEV Precipitation (RR),STD_DEV Relative humidity in 2m,STD_DEV Relative humidity in 2m.1,STD_DEV last minute value (UU),STD_DEV Leaf moisture at 2m height (BT),STD_DEV 10 min lubricant (FF2),STD_DEV 5 sec medium,STD_DEV gusts of wind (FG2),STD_DEV Wind speed in 2m,QUANTILE_25 Average temperature at 2m altitude (TM),QUANTILE_25 Maximum air temperature at 2m altitude (TX),QUANTILE_25 Minimum air temperature at 2m altitude (TN),QUANTILE_25 Precipitation (RR),QUANTILE_25 Relative humidity in 2m,QUANTILE_25 Relative humidity in 2m.1,QUANTILE_25 last minute value (UU),QUANTILE_25 Leaf moisture at 2m height (BT),QUANTILE_25 10 min lubricant (FF2),QUANTILE_25 5 sec medium,QUANTILE_25 gusts of wind (FG2),QUANTILE_25 Wind speed in 2m,QUANTILE_50 Average temperature at 2m altitude (TM),QUANTILE_50 Maximum air temperature at 2m altitude (TX),QUANTILE_50 Minimum air temperature at 2m altitude (TN),QUANTILE_50 Precipitation (RR),QUANTILE_50 Relative humidity in 2m,QUANTILE_50 Relative humidity in 2m.1,QUANTILE_50 last minute value (UU),QUANTILE_50 Leaf moisture at 2m height (BT),QUANTILE_50 10 min lubricant (FF2),QUANTILE_50 5 sec medium,QUANTILE_50 gusts of wind (FG2),QUANTILE_50 Wind speed in 2m,QUANTILE_75 Average temperature at 2m altitude (TM),QUANTILE_75 Maximum air temperature at 2m altitude (TX),QUANTILE_75 Minimum air temperature at 2m altitude (TN),QUANTILE_75 Precipitation (RR),QUANTILE_75 Relative humidity in 2m,QUANTILE_75 Relative humidity in 2m.1,QUANTILE_75 last minute value (UU),QUANTILE_75 Leaf moisture at 2m height (BT),QUANTILE_75 10 min lubricant (FF2),QUANTILE_75 5 sec medium,QUANTILE_75 gusts of wind (FG2),QUANTILE_75 Wind speed in 2m
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.056249999999999,17.5125,3.7125,1.1375,56.05625,86.30000000000001,124.9375,2.14375,21.581249999999997,10.9375,9.768749999999999,10.14375,10.95,17.35,2.55,0.0,52.0,89.9,9.0,2.2,22.450000000000003,11.05,9.85,10.350000000000001,6.0,15.2,-1.7,0.0,40.0,94.4,0.0,2.2,26.9,7.7,9.7,7.4,176.9,280.2,59.4,18.2,896.8999999999999,1380.8000000000002,1999.0,34.300000000000004,345.29999999999995,175.0,156.29999999999998,162.3,6.0,10.0,-1.7,0.0,40.0,65.9,0.0,0.8,8.8,7.0,6.6,7.4,16.2,23.5,8.2,10.6,86.4,97.4,574.0,3.2,28.5,14.2,12.6,12.9,2.7707926062169768,3.7971699988280747,3.6645827411407517,2.8366353308100787,13.571537311594438,10.349428325596863,195.03212342244206,0.6742588523705121,6.454994836042345,2.2276669409945464,1.9119688804998893,1.8391913984139878,9.5,15.2,1.5250000000000001,0.0,47.325,79.575,0.0,1.65,16.7,9.600000000000001,8.45,8.65,10.95,17.35,2.55,0.0,52.0,89.9,9.0,2.2,22.450000000000003,11.05,9.85,10.350000000000001,12.799999999999999,19.049999999999997,7.025,0.05,59.675,94.42500000000001,145.0,2.7,26.924999999999997,12.850000000000001,11.274999999999999,11.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.056249999999999,17.5125,3.7125,1.1375,56.05625,86.30000000000001,124.9375,2.14375,21.581249999999997,10.9375,9.768749999999999,10.14375,10.95,17.35,2.55,0.0,52.0,89.9,9.0,2.2,22.450000000000003,11.05,9.85,10.350000000000001,6.0,15.2,-1.7,0.0,40.0,94.4,0.0,2.2,26.9,7.7,9.7,7.4,176.9,280.2,59.4,18.2,896.8999999999999,1380.8000000000002,1999.0,34.300000000000004,345.29999999999995,175.0,156.29999999999998,162.3,6.0,10.0,-1.7,0.0,40.0,65.9,0.0,0.8,8.8,7.0,6.6,7.4,16.2,23.5,8.2,10.6,86.4,97.4,574.0,3.2,28.5,14.2,12.6,12.9,2.7707926062169768,3.7971699988280747,3.6645827411407517,2.8366353308100787,13.571537311594438,10.349428325596863,195.03212342244206,0.6742588523705121,6.454994836042345,2.2276669409945464,1.9119688804998893,1.8391913984139878,9.5,15.2,1.5250000000000001,0.0,47.325,79.575,0.0,1.65,16.7,9.600000000000001,8.45,8.65,10.95,17.35,2.55,0.0,52.0,89.9,9.0,2.2,22.450000000000003,11.05,9.85,10.350000000000001,12.799999999999999,19.049999999999997,7.025,0.05,59.675,94.42500000000001,145.0,2.7,26.924999999999997,12.850000000000001,11.274999999999999,11.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.056249999999999,17.5125,3.7125,1.1375,56.05625,86.30000000000001,124.9375,2.14375,21.581249999999997,10.9375,9.768749999999999,10.14375,10.95,17.35,2.55,0.0,52.0,89.9,9.0,2.2,22.450000000000003,11.05,9.85,10.350000000000001,6.0,15.2,-1.7,0.0,40.0,94.4,0.0,2.2,26.9,7.7,9.7,7.4,176.9,280.2,59.4,18.2,896.8999999999999,1380.8000000000002,1999.0,34.300000000000004,345.29999999999995,175.0,156.29999999999998,162.3,6.0,10.0,-1.7,0.0,40.0,65.9,0.0,0.8,8.8,7.0,6.6,7.4,16.2,23.5,8.2,10.6,86.4,97.4,574.0,3.2,28.5,14.2,12.6,12.9,2.7707926062169768,3.7971699988280747,3.6645827411407517,2.8366353308100787,13.571537311594438,10.349428325596863,195.03212342244206,0.6742588523705121,6.454994836042345,2.2276669409945464,1.9119688804998893,1.8391913984139878,9.5,15.2,1.5250000000000001,0.0,47.325,79.575,0.0,1.65,16.7,9.600000000000001,8.45,8.65,10.95,17.35,2.55,0.0,52.0,89.9,9.0,2.2,22.450000000000003,11.05,9.85,10.350000000000001,12.799999999999999,19.049999999999997,7.025,0.05,59.675,94.42500000000001,145.0,2.7,26.924999999999997,12.850000000000001,11.274999999999999,11.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.056249999999999,17.5125,3.7125,1.1375,56.05625,86.30000000000001,124.9375,2.14375,21.581249999999997,10.9375,9.768749999999999,10.14375,10.95,17.35,2.55,0.0,52.0,89.9,9.0,2.2,22.450000000000003,11.05,9.85,10.350000000000001,6.0,15.2,-1.7,0.0,40.0,94.4,0.0,2.2,26.9,7.7,9.7,7.4,176.9,280.2,59.4,18.2,896.8999999999999,1380.8000000000002,1999.0,34.300000000000004,345.29999999999995,175.0,156.29999999999998,162.3,6.0,10.0,-1.7,0.0,40.0,65.9,0.0,0.8,8.8,7.0,6.6,7.4,16.2,23.5,8.2,10.6,86.4,97.4,574.0,3.2,28.5,14.2,12.6,12.9,2.7707926062169768,3.7971699988280747,3.6645827411407517,2.8366353308100787,13.571537311594438,10.349428325596863,195.03212342244206,0.6742588523705121,6.454994836042345,2.2276669409945464,1.9119688804998893,1.8391913984139878,9.5,15.2,1.5250000000000001,0.0,47.325,79.575,0.0,1.65,16.7,9.600000000000001,8.45,8.65,10.95,17.35,2.55,0.0,52.0,89.9,9.0,2.2,22.450000000000003,11.05,9.85,10.350000000000001,12.799999999999999,19.049999999999997,7.025,0.05,59.675,94.42500000000001,145.0,2.7,26.924999999999997,12.850000000000001,11.274999999999999,11.8
1105.0,713.3333333333335,T9040,6.0,2020-08-11,66.0,88.0,0.4337560633818347,1.1558175285657226,1.1773783663908692,2.634301741917931,4.768734693527222,9.669176747338415,24.511565960983123,3.591356327136352,3.6129171649614986,24.511565960983123,0.7005006273587411,0.20798844297724656,5.8912740712741964,6.622003884006496,9.746129418202878,4.6129606411715205,7.752944965866126,-6.830088524700791,214.61894611517522,0.09826165608708755,8.353159541244581,50.30839235170494,-1.7682266029847693,1.6770931361938572,0.5791225464916697,6.17870026512538,6.217899131608972,6.754956412349172,6.801798048525808,18.633657367318108,61.11283327040818,66.30839235170494,-6.486471486268759,69.04664009491424,0.0,11.056249999999999,17.5125,3.7125,1.1375,56.05625,86.30000000000001,124.9375,2.14375,21.581249999999997,10.9375,9.768749999999999,10.14375,10.95,17.35,2.55,0.0,52.0,89.9,9.0,2.2,22.450000000000003,11.05,9.85,10.350000000000001,6.0,15.2,-1.7,0.0,40.0,94.4,0.0,2.2,26.9,7.7,9.7,7.4,176.9,280.2,59.4,18.2,896.8999999999999,1380.8000000000002,1999.0,34.300000000000004,345.29999999999995,175.0,156.29999999999998,162.3,6.0,10.0,-1.7,0.0,40.0,65.9,0.0,0.8,8.8,7.0,6.6,7.4,16.2,23.5,8.2,10.6,86.4,97.4,574.0,3.2,28.5,14.2,12.6,12.9,2.7707926062169768,3.7971699988280747,3.6645827411407517,2.8366353308100787,13.571537311594438,10.349428325596863,195.03212342244206,0.6742588523705121,6.454994836042345,2.2276669409945464,1.9119688804998893,1.8391913984139878,9.5,15.2,1.5250000000000001,0.0,47.325,79.575,0.0,1.65,16.7,9.600000000000001,8.45,8.65,10.95,17.35,2.55,0.0,52.0,89.9,9.0,2.2,22.450000000000003,11.05,9.85,10.350000000000001,12.799999999999999,19.049999999999997,7.025,0.05,59.675,94.42500000000001,145.0,2.7,26.924999999999997,12.850000000000001,11.274999999999999,11.8
1106.0,677.3333333333334,GN13576,1543.0,2020-08-12,68.0,89.0,0.6167129359111057,1.5769834601475512,1.6479348504760614,3.4890807317414585,6.581297098565845,12.735712627098463,36.850242470707215,4.933362248089784,5.004313638418295,36.850242470707215,0.8893191339079357,0.15919380338900155,7.9193625570006985,9.021056554797644,12.861391994065027,6.453911155062773,10.843091694631937,-9.587595142926421,293.1636792722466,0.5567130290300852,11.299160108057889,68.45288861934056,-2.2640502322728424,3.064795503612416,1.0084125653322673,8.324639525195888,8.433286201300731,8.999138144647503,9.104934835073632,25.104718917890814,90.83370126979273,89.45288861934057,-7.866183626680789,101.17328532813997,0.0,11.056249999999999,17.5125,3.7125,1.1375,56.05625,86.30000000000001,124.9375,2.14375,21.581249999999997,10.9375,9.768749999999999,10.14375,10.95,17.35,2.55,0.0,52.0,89.9,9.0,2.2,22.450000000000003,11.05,9.85,10.350000000000001,6.0,15.2,-1.7,0.0,40.0,94.4,0.0,2.2,26.9,7.7,9.7,7.4,176.9,280.2,59.4,18.2,896.8999999999999,1380.8000000000002,1999.0,34.300000000000004,345.29999999999995,175.0,156.29999999999998,162.3,6.0,10.0,-1.7,0.0,40.0,65.9,0.0,0.8,8.8,7.0,6.6,7.4,16.2,23.5,8.2,10.6,86.4,97.4,574.0,3.2,28.5,14.2,12.6,12.9,2.7707926062169768,3.7971699988280747,3.6645827411407517,2.8366353308100787,13.571537311594438,10.349428325596863,195.03212342244206,0.6742588523705121,6.454994836042345,2.2276669409945464,1.9119688804998893,1.8391913984139878,9.5,15.2,1.5250000000000001,0.0,47.325,79.575,0.0,1.65,16.7,9.600000000000001,8.45,8.65,10.95,17.35,2.55,0.0,52.0,89.9,9.0,2.2,22.450000000000003,11.05,9.85,10.350000000000001,12.799999999999999,19.049999999999997,7.025,0.05,59.675,94.42500000000001,145.0,2.7,26.924999999999997,12.850000000000001,11.274999999999999,11.8
1108.0,697.3333333333335,GN10603,1526.0,2020-08-10,67.0,87.0,0.4556932499011333,1.2927025953928615,1.2452889134486478,2.9693153897921243,5.307180205980936,9.908389313845044,22.341128874727715,4.061891292532288,4.014477610588075,22.341128874727715,0.8844230274359416,0.43372114400069606,6.34199311597205,7.344545496385739,9.715869842476941,4.51451272870028,7.381002623748378,-7.705015842481797,245.61002482970576,0.6379759762027765,8.689214646857934,49.69479774033304,-1.450286814953523,2.8513808491944137,1.1511449276624115,6.691574929187574,6.5856402129217475,7.1230620998954475,6.996230616956784,19.782284210279542,64.51093798676101,65.69479774033303,-6.172357600738081,72.25578497024757,0.0,11.056249999999999,17.5125,3.7125,1.1375,56.05625,86.30000000000001,124.9375,2.14375,21.581249999999997,10.9375,9.768749999999999,10.14375,10.95,17.35,2.55,0.0,52.0,89.9,9.0,2.2,22.450000000000003,11.05,9.85,10.350000000000001,6.0,15.2,-1.7,0.0,40.0,94.4,0.0,2.2,26.9,7.7,9.7,7.4,176.9,280.2,59.4,18.2,896.8999999999999,1380.8000000000002,1999.0,34.300000000000004,345.29999999999995,175.0,156.29999999999998,162.3,6.0,10.0,-1.7,0.0,40.0,65.9,0.0,0.8,8.8,7.0,6.6,7.4,16.2,23.5,8.2,10.6,86.4,97.4,574.0,3.2,28.5,14.2,12.6,12.9,2.7707926062169768,3.7971699988280747,3.6645827411407517,2.8366353308100787,13.571537311594438,10.349428325596863,195.03212342244206,0.6742588523705121,6.454994836042345,2.2276669409945464,1.9119688804998893,1.8391913984139878,9.5,15.2,1.5250000000000001,0.0,47.325,79.575,0.0,1.65,16.7,9.600000000000001,8.45,8.65,10.95,17.35,2.55,0.0,52.0,89.9,9.0,2.2,22.450000000000003,11.05,9.85,10.350000000000001,12.799999999999999,19.049999999999997,7.025,0.05,59.675,94.42500000000001,145.0,2.7,26.924999999999997,12.850000000000001,11.274999999999999,11.8
1109.0,664.0,GN13606,1614.0,2020-08-11,68.0,88.0,0.47355490177869597,1.2661453684171011,1.2376746286948506,2.8231909076372768,4.7951810757319135,9.415721905436541,20.737720901852377,3.5575064470370634,3.5290357073148124,20.737720901852377,0.8210612063606557,0.35446209460496625,5.786428253737547,6.532368390563512,9.300000739595164,4.138907243517059,7.133061850118262,-6.539374349055981,214.5892164111138,0.45298553590314816,8.337174051774952,44.550551809035916,-1.6305083370277549,1.2981625874132288,0.4720203831156831,6.076508753136354,6.011682219152979,6.612318147578556,6.53464839225655,18.55232613957319,57.148263625630165,60.550551809035916,-6.848331809642873,65.28200616427891,0.0,11.056249999999999,17.5125,3.7125,1.1375,56.05625,86.30000000000001,124.9375,2.14375,21.581249999999997,10.9375,9.768749999999999,10.14375,10.95,17.35,2.55,0.0,52.0,89.9,9.0,2.2,22.450000000000003,11.05,9.85,10.350000000000001,6.0,15.2,-1.7,0.0,40.0,94.4,0.0,2.2,26.9,7.7,9.7,7.4,176.9,280.2,59.4,18.2,896.8999999999999,1380.8000000000002,1999.0,34.300000000000004,345.29999999999995,175.0,156.29999999999998,162.3,6.0,10.0,-1.7,0.0,40.0,65.9,0.0,0.8,8.8,7.0,6.6,7.4,16.2,23.5,8.2,10.6,86.4,97.4,574.0,3.2,28.5,14.2,12.6,12.9,2.7707926062169768,3.7971699988280747,3.6645827411407517,2.8366353308100787,13.571537311594438,10.349428325596863,195.03212342244206,0.6742588523705121,6.454994836042345,2.2276669409945464,1.9119688804998893,1.8391913984139878,9.5,15.2,1.5250000000000001,0.0,47.325,79.575,0.0,1.65,16.7,9.600000000000001,8.45,8.65,10.95,17.35,2.55,0.0,52.0,89.9,9.0,2.2,22.450000000000003,11.05,9.85,10.350000000000001,12.799999999999999,19.049999999999997,7.025,0.05,59.675,94.42500000000001,145.0,2.7,26.924999999999997,12.850000000000001,11.274999999999999,11.8
1110.0,456.0,SHA3/CBRD,29.0,2020-08-10,66.0,87.0,0.4377480248610133,1.3847069442272186,1.3654105067253124,3.181917369365693,5.242072184880571,9.383336777053731,19.69646864165974,3.8766616781552585,3.857365240653352,19.69646864165974,0.9662553568681115,0.43938759167989316,6.030276243956321,6.989815174824015,9.30626368147072,3.944684199546373,6.779878489232229,-7.209140952362038,233.37155818939178,0.5174813334887645,9.327391632231775,45.20311027677623,-1.3922659941207378,1.999004138741893,0.7960511343691398,6.366063240316479,6.319089790044129,6.762086922418899,6.7072745922377175,19.372936369338,59.97552263581849,61.20311027677623,-6.7248595456645335,68.12164792105287,0.0,11.056249999999999,17.5125,3.7125,1.1375,56.05625,86.30000000000001,124.9375,2.14375,21.581249999999997,10.9375,9.768749999999999,10.14375,10.95,17.35,2.55,0.0,52.0,89.9,9.0,2.2,22.450000000000003,11.05,9.85,10.350000000000001,6.0,15.2,-1.7,0.0,40.0,94.4,0.0,2.2,26.9,7.7,9.7,7.4,176.9,280.2,59.4,18.2,896.8999999999999,1380.8000000000002,1999.0,34.300000000000004,345.29999999999995,175.0,156.29999999999998,162.3,6.0,10.0,-1.7,0.0,40.0,65.9,0.0,0.8,8.8,7.0,6.6,7.4,16.2,23.5,8.2,10.6,86.4,97.4,574.0,3.2,28.5,14.2,12.6,12.9,2.7707926062169768,3.7971699988280747,3.6645827411407517,2.8366353308100787,13.571537311594438,10.349428325596863,195.03212342244206,0.6742588523705121,6.454994836042345,2.2276669409945464,1.9119688804998893,1.8391913984139878,9.5,15.2,1.5250000000000001,0.0,47.325,79.575,0.0,1.65,16.7,9.600000000000001,8.45,8.65,10.95,17.35,2.55,0.0,52.0,89.9,9.0,2.2,22.450000000000003,11.05,9.85,10.350000000000001,12.799999999999999,19.049999999999997,7.025,0.05,59.675,94.42500000000001,145.0,2.7,26.924999999999997,12.850000000000001,11.274999999999999,11.8
1111.0,493.33333333333326,C80.1/3*QT4522//2*ATTILA,1332.0,2020-08-13,66.0,90.0,0.7980012295185634,1.991798290447336,2.279560089351916,4.173007711364575,6.8983535664776925,10.591864784457208,33.39828554270221,4.618793477125776,4.906555276030355,33.39828554270221,0.9060352620241925,-0.29355057262115347,6.991331547686418,8.197255446543767,11.552372496855075,5.174908437673807,10.551879961939466,-7.786220431409647,265.61713667136337,-1.0352888947996086,13.51964395153271,53.0118738773636,-2.973232613865793,0.36622024159752997,0.05791144952510219,7.394903430863635,7.945063167967264,7.743371721132712,8.379412209348722,24.481955809339013,63.34190253245557,74.0118738773636,-10.450348791588464,75.37237395868064,0.0,11.056249999999999,17.5125,3.7125,1.1375,56.05625,86.30000000000001,124.9375,2.14375,21.581249999999997,10.9375,9.768749999999999,10.14375,10.95,17.35,2.55,0.0,52.0,89.9,9.0,2.2,22.450000000000003,11.05,9.85,10.350000000000001,6.0,15.2,-1.7,0.0,40.0,94.4,0.0,2.2,26.9,7.7,9.7,7.4,176.9,280.2,59.4,18.2,896.8999999999999,1380.8000000000002,1999.0,34.300000000000004,345.29999999999995,175.0,156.29999999999998,162.3,6.0,10.0,-1.7,0.0,40.0,65.9,0.0,0.8,8.8,7.0,6.6,7.4,16.2,23.5,8.2,10.6,86.4,97.4,574.0,3.2,28.5,14.2,12.6,12.9,2.7707926062169768,3.7971699988280747,3.6645827411407517,2.8366353308100787,13.571537311594438,10.349428325596863,195.03212342244206,0.6742588523705121,6.454994836042345,2.2276669409945464,1.9119688804998893,1.8391913984139878,9.5,15.2,1.5250000000000001,0.0,47.325,79.575,0.0,1.65,16.7,9.600000000000001,8.45,8.65,10.95,17.35,2.55,0.0,52.0,89.9,9.0,2.2,22.450000000000003,11.05,9.85,10.350000000000001,12.799999999999999,19.049999999999997,7.025,0.05,59.675,94.42500000000001,145.0,2.7,26.924999999999997,12.850000000000001,11.274999999999999,11.8
