iter	Passed	Remaining
0	3	3359
1	6	3187
2	9	3166
3	11	2987
4	15	2995
5	18	3063
6	21	3108
7	25	3104
8	28	3149
9	32	3264
10	39	3558
11	42	3509
12	47	3619
13	52	3700
14	60	3947
15	63	3929
16	69	3993
17	71	3920
18	75	3880
19	77	3812
20	83	3897
21	86	3865
22	90	3861
23	94	3823
24	98	3822
25	102	3837
26	107	3866
27	111	3858
28	114	3824
29	119	3867
30	122	3814
31	125	3795
32	131	3840
33	139	3952
34	143	3945
35	150	4029
36	153	4002
37	159	4036
38	165	4071
39	174	4192
40	179	4196
41	184	4212
42	189	4226
43	194	4232
44	199	4223
45	202	4209
46	208	4227
47	213	4228
48	218	4232
49	222	4235
50	227	4241
51	234	4275
52	239	4282
53	245	4303
54	249	4289
55	255	4309
56	260	4307
57	268	4366
58	278	4438
59	286	4491
60	294	4539
61	301	4554
62	305	4537
63	310	4542
64	315	4537
65	318	4505
66	322	4485
67	327	4495
68	331	4472
69	335	4461
70	342	4478
71	346	4463
72	350	4448
73	355	4447
74	360	4440
75	365	4441
76	368	4416
77	374	4424
78	377	4402
79	380	4374
80	388	4409
81	392	4395
82	397	4392
83	402	4391
84	406	4378
85	409	4354
86	414	4345
87	418	4340
88	422	4326
89	425	4304
90	429	4289
91	432	4264
92	434	4241
93	437	4215
94	441	4207
95	444	4188
96	454	4229
97	462	4258
98	465	4238
99	470	4232
100	479	4265
101	483	4260
102	487	4241
103	492	4239
104	496	4235
105	499	4215
106	504	4209
107	515	4260
108	524	4290
109	535	4332
110	543	4354
111	549	4356
112	557	4374
113	561	4367
114	566	4360
115	571	4354
116	576	4351
117	581	4347
118	588	4355
119	592	4345
120	597	4339
121	601	4327
122	606	4322
123	611	4322
124	617	4321
125	622	4318
126	625	4299
127	630	4293
128	633	4277
129	638	4271
130	642	4263
131	649	4271
132	653	4261
133	658	4257
134	662	4247
135	668	4244
136	674	4250
137	683	4267
138	689	4268
139	694	4264
140	700	4267
141	707	4276
142	714	4279
143	719	4276
144	722	4259
145	727	4253
146	731	4246
147	738	4248
148	743	4244
149	748	4240
150	753	4233
151	756	4222
152	762	4221
153	765	4207
154	770	4202
155	775	4197
156	781	4193
157	785	4185
158	793	4196
159	799	4197
160	806	4201
161	809	4186
162	812	4170
163	815	4157
164	821	4156
165	829	4168
166	834	4164
167	838	4150
168	841	4138
169	844	4125
170	848	4112
171	851	4100
172	856	4096
173	860	4083
174	863	4071
175	867	4060
176	871	4051
177	874	4037
178	877	4025
179	880	4010
180	884	4002
181	889	3996
182	892	3985
183	896	3973
184	899	3962
185	902	3949
186	905	3937
187	908	3923
188	911	3911
189	915	3901
190	918	3891
191	921	3878
192	924	3866
193	926	3851
194	931	3847
195	934	3833
196	937	3822
197	941	3812
198	944	3799
199	946	3786
200	951	3783
201	954	3772
202	957	3758
203	961	3751
204	964	3739
205	966	3727
206	972	3724
207	979	3730
208	987	3736
209	993	3736
210	999	3738
211	1005	3736
212	1012	3741
213	1019	3744
214	1027	3751
215	1031	3744
216	1035	3737
217	1039	3729
218	1044	3723
219	1049	3721
220	1053	3715
221	1060	3715
222	1064	3707
223	1068	3700
224	1072	3695
225	1075	3682
226	1079	3675
227	1083	3667
228	1085	3655
229	1088	3644
230	1092	3637
231	1099	3638
232	1102	3630
233	1105	3618
234	1127	3668
235	1137	3682
236	1145	3686
237	1147	3674
238	1152	3668
239	1167	3695
240	1172	3694
241	1178	3692
242	1189	3705
243	1196	3708
244	1206	3718
245	1211	3713
246	1218	3714
247	1226	3719
248	1232	3715
249	1240	3721
250	1251	3735
251	1258	3734
252	1264	3734
253	1268	3726
254	1273	3721
255	1276	3710
256	1280	3701
257	1283	3690
258	1288	3686
259	1292	3679
260	1295	3669
261	1299	3660
262	1303	3653
263	1307	3643
264	1312	3641
265	1316	3632
266	1319	3623
267	1325	3619
268	1330	3615
269	1337	3615
270	1340	3605
271	1343	3596
272	1347	3589
273	1351	3581
274	1355	3573
275	1358	3563
276	1362	3555
277	1366	3548
278	1369	3539
279	1373	3530
280	1375	3520
281	1378	3509
282	1381	3500
283	1384	3490
284	1388	3483
285	1393	3478
286	1397	3471
287	1401	3463
288	1405	3458
289	1409	3451
290	1414	3446
291	1418	3440
292	1421	3431
293	1425	3422
294	1429	3415
295	1432	3408
296	1439	3406
297	1445	3404
298	1448	3396
299	1452	3388
300	1456	3382
301	1460	3375
302	1463	3366
303	1467	3360
304	1474	3358
305	1480	3357
306	1483	3349
307	1488	3343
308	1492	3338
309	1497	3332
310	1502	3328
311	1506	3322
312	1512	3319
313	1517	3314
314	1520	3306
315	1524	3300
316	1529	3295
317	1534	3290
318	1538	3284
319	1544	3281
320	1547	3273
321	1551	3267
322	1555	3259
323	1559	3252
324	1562	3245
325	1565	3237
326	1568	3228
327	1572	3220
328	1576	3214
329	1580	3208
330	1583	3201
331	1586	3191
332	1590	3186
333	1595	3181
334	1601	3180
335	1608	3179
336	1615	3179
337	1620	3174
338	1625	3169
339	1629	3163
340	1633	3156
341	1636	3149
342	1639	3140
343	1644	3135
344	1648	3130
345	1652	3123
346	1656	3116
347	1660	3110
348	1663	3103
349	1667	3096
350	1670	3089
351	1674	3082
352	1677	3074
353	1680	3067
354	1683	3058
355	1686	3051
356	1690	3044
357	1693	3037
358	1697	3030
359	1700	3023
360	1703	3015
361	1707	3009
362	1710	3000
363	1714	2995
364	1717	2987
365	1719	2979
366	1723	2972
367	1726	2965
368	1729	2957
369	1732	2949
370	1735	2942
371	1740	2938
372	1744	2931
373	1748	2927
374	1753	2921
375	1756	2915
376	1761	2910
377	1764	2903
378	1769	2899
379	1776	2898
380	1781	2894
381	1786	2890
382	1792	2888
383	1799	2886
384	1805	2884
385	1811	2881
386	1814	2874
387	1818	2868
388	1822	2862
389	1827	2857
390	1830	2850
391	1833	2843
392	1836	2836
393	1839	2829
394	1844	2824
395	1847	2817
396	1851	2812
397	1854	2804
398	1859	2800
399	1864	2796
400	1868	2791
401	1873	2787
402	1879	2784
403	1883	2779
404	1887	2772
405	1889	2765
406	1893	2758
407	1895	2750
408	1898	2743
409	1901	2736
410	1904	2729
411	1908	2723
412	1911	2716
413	1915	2711
414	1918	2704
415	1922	2698
416	1925	2691
417	1928	2684
418	1931	2678
419	1936	2673
420	1940	2668
421	1943	2662
422	1947	2656
423	1951	2650
424	1954	2644
425	1959	2639
426	1962	2633
427	1966	2628
428	1970	2622
429	1974	2617
430	1977	2610
431	1980	2604
432	1984	2599
433	1988	2593
434	1992	2587
435	1995	2581
436	1999	2575
437	2001	2568
438	2005	2563
439	2008	2556
440	2013	2552
441	2016	2546
442	2020	2540
443	2024	2535
444	2027	2528
445	2031	2522
446	2035	2518
447	2038	2512
448	2041	2505
449	2046	2501
450	2050	2495
451	2054	2490
452	2057	2484
453	2060	2477
454	2062	2470
455	2065	2464
456	2069	2459
457	2072	2452
458	2075	2446
459	2079	2441
460	2082	2434
461	2085	2428
462	2089	2423
463	2093	2418
464	2095	2411
465	2099	2405
466	2103	2400
467	2107	2395
468	2110	2389
469	2114	2383
470	2116	2377
471	2119	2371
472	2122	2364
473	2125	2358
474	2128	2352
475	2132	2346
476	2136	2342
477	2139	2336
478	2142	2330
479	2145	2324
480	2149	2318
481	2152	2313
482	2156	2307
483	2159	2302
484	2164	2298
485	2168	2293
486	2173	2289
487	2178	2285
488	2181	2279
489	2184	2273
490	2190	2270
491	2194	2266
492	2197	2260
493	2201	2254
494	2204	2248
495	2207	2242
496	2210	2236
497	2214	2231
498	2217	2226
499	2220	2220
500	2224	2215
501	2226	2209
502	2230	2204
503	2234	2198
504	2238	2193
505	2242	2189
506	2248	2186
507	2254	2183
508	2258	2178
509	2262	2173
510	2267	2169
511	2270	2164
512	2274	2159
513	2277	2153
514	2280	2147
515	2283	2141
516	2287	2137
517	2290	2131
518	2296	2128
519	2300	2123
520	2303	2117
521	2306	2112
522	2311	2107
523	2313	2101
524	2318	2097
525	2320	2091
526	2325	2087
527	2330	2083
528	2333	2077
529	2337	2072
530	2340	2066
531	2343	2061
532	2346	2056
533	2350	2051
534	2355	2047
535	2360	2043
536	2363	2037
537	2366	2032
538	2369	2026
539	2372	2021
540	2377	2017
541	2383	2014
542	2389	2010
